,SMILES
0,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
4,COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1
7,NC[C@H](CC(=O)O)c1ccc(Cl)cc1
9,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1
12,CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O
14,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2
15,c1ccc(C[C@H](c2ccccc2)N2CCCCC2)cc1
17,Cc1ccc(Cl)c(OC[C@H](O)CNC(C)C)c1
18,CC(=O)N1CCN(C)CC1
20,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1
22,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O
24,CCn1c(=O)[nH]c2ccccc21
27,CCN1CCCC1=O
28,CCCCCCCCCCCCCCCC=O
29,CCCCCCCCCCCCCCCCO
32,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21
34,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO
35,CCCCCCCCO
37,N=C(N=C(N)N)Nc1ccccc1
39,CCNCCCNCCCCNCCCNCC
40,BrC1C(Br)C(Br)C(Br)C(Br)C1Br
42,CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CCC)c1=O
44,OCCCCO
45,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@H]1O
47,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C
50,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21
53,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1
56,CCc1ccc(/C=C2/SC(=S)NC2=O)cc1
59,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O
61,CC(=N)NCc1cccc(CN)c1
62,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
