,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.7188346072562919,0.03920002124906558,0.9345394736842106,0.007835118458311365,0.7708142073568365,0.03467540482150578,0.7966459627329192,0.04216535922548567,0.775,0.03333333333333334,0.9368421052631579,0.015344610249592895
asp,0.6351109876271442,0.06277165298339406,0.9255482456140351,0.02533677823809909,0.8603813104738081,0.03170465332917658,0.8865916692003649,0.07770612015169998,0.5666666666666667,0.15275252316519466,0.9710526315789474,0.025514104512717514
avalon,0.5616549006259468,0.06296928328051354,0.8689692982456141,0.02835442360461838,0.7100543366248019,0.0545401234007389,0.5744855246173705,0.05286778065504153,0.8166666666666667,0.05000000000000001,0.8052631578947368,0.04434815670092819
daylight,0.6120475620356942,0.022251825786267724,0.8922149122807017,0.010863566733772687,0.7772344178395383,0.02096863782798291,0.6552191486674246,0.014326251237704068,0.775,0.033333333333333305,0.8710526315789474,0.00984646680729983
dfs,0.6325282889267348,0.04473285340776634,0.9450657894736842,0.015391550127514522,0.8774422036046816,0.012992957685446262,0.6577165725986053,0.020914591057432458,0.8083333333333332,0.09718253158075502,0.8657894736842107,0.026836944808383084
ecfp,0.5098836191960401,0.03585391295946613,0.8810307017543859,0.019951922631216656,0.7611494072518388,0.03444152126137687,0.5975763766468415,0.03340895479674134,0.675,0.04859126579037751,0.8552631578947368,0.02201736911931778
estate,0.544323349305947,0.051928416815927435,0.8710526315789473,0.017928218376576124,0.7443717839327786,0.023354147277421966,0.674433465085639,0.027203951138563907,0.625,0.058925565098878974,0.905263157894737,0.0052631578947368585
fcfp,0.5871566849452172,0.04436902386682112,0.9335526315789473,0.008346307997361883,0.8520172467453966,0.010019578040765852,0.5412853271389857,0.03886594218179968,0.925,0.0311804782231162,0.75,0.036273812505500574
kr,0.6533525496789494,0.053298648183233814,0.9264254385964913,0.013713375283464243,0.7966194603459738,0.02423247823119793,0.6430622009569379,0.08061483931598104,0.875,0.02635231383473647,0.8394736842105264,0.05020732639036557
lingo,0.6741165045255642,0.019255335710310576,0.9292763157894737,0.019571677342952,0.8474942247646329,0.022364029862551645,0.7049137529137528,0.04589872367232861,0.8166666666666667,0.033333333333333354,0.8894736842105264,0.029539400421899557
lstar,0.7413863607768754,0.08276869601291437,0.9662280701754387,0.009474344112819293,0.9059731328177252,0.02104102292273167,0.9120448179271708,0.042420099999797393,0.6916666666666667,0.10736748938937606,0.9789473684210526,0.010526315789473667
maccs,0.5361501702934209,0.04535405751625101,0.8300438596491228,0.014554862724601022,0.5585789630625306,0.027280780062622308,0.6291623931623931,0.040143611160036514,0.675,0.0311804782231162,0.8736842105263157,0.017848236797698074
map4,0.44433851627418386,0.2225398943074548,0.9368421052631579,0.010375611615950566,0.7962993548300554,0.02761937677827818,0.6001587301587301,0.0892063492063492,0.6000000000000001,0.40875828228102407,0.8473684210526317,0.14713327103678275
mhfp,0.7335609127892907,0.04437569662990393,0.9628289473684211,0.014390376944318347,0.9150123448656062,0.029763640657650418,0.7683885484800818,0.09538243999854913,0.8416666666666668,0.06666666666666668,0.9105263157894736,0.05789473684210524
ph2,0.3200178078337643,0.00776957067647641,0.719517543859649,0.00921052631578947,0.4213541666666667,0.0140625,0.3416666666666667,0.004166666666666674,0.9166666666666666,0.0,0.4421052631578948,0.010526315789473694
ph3,0.23125374600040827,0.04288953738291097,0.6393640350877193,0.029125003219874643,0.3742441689654554,0.03392619208731216,0.3548140883506737,0.015501114673672949,0.625,0.06972166887783963,0.6421052631578947,0.025514104512717524
pubchem,0.5455178828084373,0.07134929869945308,0.8603070175438597,0.029483994646067168,0.619960963384492,0.030912687659667173,0.607173645320197,0.033906834556142004,0.725,0.08975274678557507,0.8526315789473685,0.01534461024959291
rad2d,0.6617294601428256,0.042542040282532285,0.9301535087719298,0.008326116450249844,0.8452459316309225,0.01775779787183955,0.7278571428571429,0.06390806179827231,0.7666666666666667,0.06770032003863302,0.9052631578947368,0.03665365336101085
rdkit,0.588951670043375,0.056675465662738414,0.900109649122807,0.011280544868080397,0.767033544724798,0.03307403290563555,0.5977297370561128,0.04183112681269666,0.825,0.040824829046386304,0.8236842105263158,0.024404259198672885
tt,0.5795571821121921,0.04447307365947174,0.8633771929824562,0.015450024428707064,0.706810763414141,0.03575020790843847,0.6917522477522478,0.04122644303320448,0.6666666666666666,0.045643546458763846,0.9052631578947368,0.019338076916709284
