,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.6446137912271335,0.02705024441365507,0.9544956140350876,0.0015114088543958524,0.832645207074853,0.008531780112815066,0.7917703349282297,0.036971004238659275,0.6583333333333332,0.016666666666666653,0.9447368421052632,0.0128920512778062
fcfp,0.6497650963539773,0.022301366906406352,0.9513157894736842,0.0021764729431227,0.8728800045106272,0.011060389689078812,0.769038208168643,0.023017124644563857,0.6916666666666667,0.020412414523193187,0.9342105263157894,0.008321783316232567
estate,0.5246841322105603,0.004892392398702005,0.8824561403508773,0.009662819226696599,0.6855432685342623,0.015340013229614051,0.4867632850241546,0.004251207729468587,0.9166666666666666,0.0,0.6947368421052631,0.005263157894736814
pubchem,0.5161810477347956,0.016196808279500898,0.911842105263158,0.001880090811346721,0.752133117539616,0.007810752234632799,0.5472899159663864,0.01202745312014582,0.7749999999999999,0.020412414523193135,0.7973684210526315,0.010526315789473679
rdkit,0.574426757883133,0.04487287753730303,0.9110745614035087,0.0034743376135427206,0.7727681679613585,0.008584480271986212,0.6539487179487179,0.03251524701775927,0.7083333333333333,0.03726779962499651,0.881578947368421,0.011768778828946249
rad2d,0.6775021657048466,0.015438040136847579,0.9328947368421053,0.002765245660727763,0.8542028659228844,0.005671509472505169,0.7948767174854131,0.014808274017464224,0.7083333333333334,0.026352313834736508,0.9421052631578947,0.006446025638903066
ap,0.6717710757497504,0.025601088918798223,0.9507675438596491,0.0016773090505239115,0.868167607376732,0.0058903911573598595,0.7516363636363635,0.035875818877975335,0.75,0.0,0.9210526315789475,0.01441375151329381
ph2,0.28516339222545495,0.0,0.7017543859649122,0.0,0.41106204710144933,5.551115123125783e-17,0.3333333333333333,0.0,0.875,0.0,0.4473684210526316,0.0
maccs,0.6085803963969291,0.016765541731454024,0.9057017543859649,0.0023517116874481802,0.7436356735615689,0.004732056829829997,0.6139888448047841,0.011378181606958805,0.8333333333333333,0.03726779962499651,0.8342105263157894,0.013418472404191532
mhfp,0.650127365072376,0.020129187599948976,0.9604166666666666,0.003351032190775437,0.870113144091053,0.016122384703475934,0.8787535014005602,0.04601644149114472,0.5833333333333334,0.026352313834736508,0.9736842105263157,0.011768778828946249
lstar,0.5024095412569943,0.029963760932755826,0.9569078947368421,0.006455344749796037,0.8819729668390186,0.014120003522375506,1.0,0.0,0.3083333333333333,0.033333333333333326,1.0,0.0
daylight,0.5082066153593678,0.037238995462100424,0.8816885964912281,0.006138392544858947,0.714635322229231,0.014863843614246698,0.5567045454545455,0.025916842717728254,0.7416666666666667,0.031180478223116155,0.8131578947368421,0.015344610249592895
lingo,0.5894437256204872,0.02269179570628721,0.9344298245614036,0.005797940380000976,0.8024787146542115,0.016031873760409255,0.6500638569604086,0.020529789320470084,0.7416666666666667,0.016666666666666653,0.8736842105263157,0.010526315789473667
dfs,0.7023508546501183,0.0368000250840895,0.931688596491228,0.004911007823806735,0.8443230218749841,0.007340876466772017,0.8098201798201797,0.037346147536174,0.7333333333333334,0.05651941652604392,0.9447368421052632,0.015344610249592895
asp,0.6678502407565414,0.02520804458326552,0.9662280701754387,0.0025147686274516585,0.9031984865475036,0.009076489603093473,0.8792483660130719,0.005598641078108416,0.6083333333333334,0.033333333333333305,0.9736842105263157,1.1102230246251565e-16
ecfp,0.59833082082798,0.020900963173659803,0.9349780701754385,0.00182162804011363,0.7793821622681734,0.01913092978940938,0.6666666666666666,0.014044168141158097,0.7333333333333334,0.020412414523193135,0.8842105263157893,0.0052631578947368585
avalon,0.6102640312867296,0.016155090800762547,0.9389254385964912,0.003807841086444119,0.8386545862101669,0.006797658465777262,0.7547619047619047,0.0058321184351980224,0.6416666666666666,0.02041241452319313,0.9342105263157896,1.1102230246251565e-16
ph3,0.14977490360087756,0.05720975444964215,0.6520833333333332,0.016864591166430132,0.41423470068541307,0.024337064939828318,0.28384474627792455,0.01495701381508823,0.7999999999999999,0.06123724356957944,0.3631578947368421,0.0244042591986729
tt,0.5995486018682458,0.013873229285964388,0.9450657894736842,0.003010861889856559,0.8063535233688667,0.010218679623636965,0.8202777777777778,0.03994208770670821,0.5583333333333333,0.020412414523193187,0.9605263157894738,0.011768778828946298
kr,0.4979541038565382,0.019614313405826637,0.9017543859649123,0.000943237419631819,0.7232374166219604,0.004257844158237445,0.5500183284457478,0.011724533544503962,0.7333333333333334,0.02041241452319313,0.8105263157894737,0.006446025638903066
