,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.0974976243153415,0.05528191893901875,0.59369918699187,0.04069870662599466,0.2652619768312693,0.019708074237436125,0.2717457980615875,0.05147206542336492,0.21111111111111108,0.06478835438717001,0.878048780487805,0.02558070361390616
asp,0.2574770715359928,0.08694328331819927,0.6920054200542006,0.03505166274598631,0.3830354932675249,0.012383335652579503,0.4270807453416149,0.05346899018626503,0.3333333333333333,0.14487116456005888,0.902439024390244,0.03361963110265908
avalon,0.12316135510633515,0.047931810817545016,0.6743902439024391,0.023005719978086116,0.30355165945672685,0.016128750648611207,0.28304093567251465,0.0422269197626566,0.2777777777777778,0.03513641844631533,0.8439024390243903,0.019512195121951237
daylight,0.14092375116141825,0.05239030920150944,0.7119241192411925,0.02218418318781336,0.3056810249837592,0.008741656157105182,0.30713979518933077,0.05208312749710942,0.2666666666666667,0.041573970964154904,0.8658536585365854,0.023138617025622307
dfs,0.1241524251195523,0.015186056300087899,0.6955962059620596,0.03038797265342487,0.35785798226463694,0.0397317947904752,0.28822843822843824,0.03564147537375892,0.28888888888888886,0.08888888888888889,0.8317073170731708,0.08140643545501776
ecfp,0.1615895810824543,0.07963661829840957,0.6826558265582655,0.030367422676529254,0.30743749274868176,0.02593807436938257,0.31159700722394224,0.06454211697314848,0.31111111111111106,0.07535922203472521,0.8512195121951219,0.009125993626277914
estate,0.18498351606676244,0.03845846534958951,0.6155149051490515,0.020428823490226986,0.29405885315180524,0.02633149762014606,0.3276336898395722,0.031256089800978465,0.34444444444444444,0.041573970964154904,0.8439024390243903,0.022354027780272373
fcfp,0.1646890038168462,0.016719884124179497,0.6379403794037941,0.03661195460598021,0.32382469389383645,0.03145028378199443,0.3302521008403361,0.020284444806982264,0.2777777777777778,0.0,0.875609756097561,0.01194873045260088
kr,0.19755814112175912,0.06437997417500986,0.6992547425474254,0.0617157726829299,0.36218642068285595,0.04273309052070685,0.3622619047619048,0.06102813373007538,0.3,0.056655772373253165,0.8829268292682928,0.021262921675808184
lingo,0.19526327433437102,0.07898151774398626,0.6907859078590786,0.05489494202831317,0.35751931910012014,0.050210491568293526,0.34025974025974026,0.06952723274930733,0.3444444444444444,0.07370277311900889,0.8512195121951219,0.03123475237772121
lstar,0.25009663087741335,0.04729611768776132,0.6554200542005421,0.013245907219349533,0.36486462368805805,0.013680358279459763,0.3905108359133127,0.04917743358810048,0.37777777777777777,0.022222222222222233,0.8682926829268294,0.022354027780272408
maccs,0.4347932229972865,0.07416446829542178,0.8185636856368564,0.024134461261568724,0.4265353432543284,0.05989968260058497,0.4387022828455053,0.05587868839011752,0.7222222222222222,0.09296222517045283,0.7926829268292683,0.046915570882125224
map4,0.06934515527644812,0.06349562807685474,0.5696476964769648,0.051471612562392695,0.306286553215213,0.051451926110590344,0.21148365846040265,0.027848139779799032,0.48888888888888893,0.0737027731190089,0.6,0.02604165427324709
mhfp,0.1573271773930543,0.05609926820360998,0.6323848238482386,0.011470491834725368,0.339712400014274,0.034087824502245304,0.3290889665889666,0.0416634245093136,0.25555555555555554,0.07535922203472521,0.8878048780487806,0.019512195121951237
ph2,0.08025596097053367,0.0,0.563821138211382,0.0013137343787036342,0.28623382593823865,0.00019393957198515386,0.203125,0.0,0.7222222222222222,0.0,0.3780487804878049,0.0
ph3,0.17271748454380756,0.051084539213073696,0.6887533875338754,0.02409334500909797,0.2752898543643765,0.013529956093699698,0.283395225464191,0.028649474318990766,0.45555555555555555,0.06478835438717001,0.748780487804878,0.00597436522630044
pubchem,0.20296611489591512,0.05127782063297534,0.6240514905149052,0.041057357765861696,0.2949878831162181,0.01877987766266847,0.35658730158730156,0.04202573927250844,0.3222222222222222,0.05443310539518174,0.8731707317073172,0.012436632959982413
rad2d,0.21253488803841467,0.06988306608020699,0.6673441734417345,0.029683766943100164,0.3193377178185878,0.02453030889831532,0.3383116883116883,0.04674322483575508,0.38888888888888884,0.08606629658238703,0.8365853658536585,0.009756097560975618
rdkit,0.1734840452406256,0.04780799964237748,0.603658536585366,0.034018666975328814,0.27660667538085715,0.024218129848574025,0.33252801120448183,0.050153404557744106,0.3,0.027216552697590855,0.8658536585365854,0.018892601688816683
tt,0.16984691576488506,0.03328851189716788,0.647018970189702,0.008429447704604775,0.32065350912795737,0.008112257682210296,0.2750327839801524,0.016508325961886935,0.48888888888888893,0.06478835438717004,0.7170731707317073,0.03217294136164126
