,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.1868654629579889,0.03322084857950373,0.7336043360433604,0.015242547365246098,0.4311909770968331,0.009994951041106327,0.4523809523809524,0.06563832739090582,0.16666666666666666,0.0,0.9536585365853657,0.014221833889866555
fcfp,0.2537575034418271,0.038188428704099144,0.7565040650406504,0.005480690627684734,0.4115776102807279,0.012105184251953598,0.3184350621969218,0.024760331518549592,0.5888888888888889,0.027216552697590882,0.7219512195121951,0.023647218816665004
estate,0.15618032832999212,0.03609675479438169,0.6893631436314364,0.007507802264062353,0.3663355870651001,0.012966253502448226,0.2595360195360195,0.018109815031989513,0.5222222222222221,0.04444444444444447,0.6731707317073171,0.014221833889866599
pubchem,0.05427951099464436,0.00396287864046366,0.6663956639566396,0.005310546867822608,0.3962725232661907,0.014110327435203322,0.20620782726045883,0.0021592442645074206,0.4444444444444445,5.551115123125783e-17,0.624390243902439,0.004878048780487809
rdkit,0.08941569523147255,0.020693942131753653,0.674390243902439,0.011894827288539163,0.2705612821491834,0.004400096422321347,0.2617366946778711,0.022682919246385772,0.22222222222222224,2.7755575615628914e-17,0.8609756097560975,0.01654226825152506
rad2d,0.24325762407403678,0.039212442051762234,0.7558265582655826,0.01529185472050502,0.3607327678173231,0.03984604242189883,0.3043807412100095,0.021578664835425615,0.611111111111111,0.0496903994999953,0.6926829268292684,0.027159826160146425
ap,0.2136648876061217,0.030459650371835442,0.7612466124661246,0.006618793898005367,0.4092538817326609,0.010679457146418736,0.39562104562104566,0.023638591039979805,0.2777777777777778,0.03513641844631533,0.9073170731707318,0.00597436522630044
ph2,0.07094298747537957,0.0,0.49593495934959353,0.0024985215331417084,0.18194929200035007,0.0004049777442154199,0.2,0.0,0.7222222222222222,0.0,0.36585365853658536,0.0
maccs,0.34750724426191054,0.030516091809129335,0.7341463414634146,0.01875898689846016,0.3944531467881414,0.02857534632325551,0.34920645384060023,0.015516799009463735,0.7444444444444445,0.04444444444444447,0.6951219512195121,0.020406342110587172
mhfp,0.15131852566989948,0.031680587666091206,0.6620596205962059,0.010358544636106469,0.3560795001929179,0.015610053405480459,0.35212121212121217,0.03354752121963164,0.19999999999999998,0.02721655269759087,0.9195121951219513,0.00597436522630044
lstar,0.23447118530887026,0.06310475724994433,0.7504065040650406,0.008850219941901277,0.42643609803815075,0.031137060939432932,0.5083333333333333,0.1032081752461583,0.19999999999999998,0.02721655269759087,0.9560975609756097,0.012436632959982413
daylight,0.2076393961210632,0.024573527945383106,0.7234417344173443,0.013933598472179133,0.30107314494363285,0.01004450171594386,0.34350877192982454,0.017758338094209916,0.36666666666666664,0.027216552697590882,0.8463414634146341,0.00597436522630044
lingo,0.15290415143565142,0.021968567567358998,0.75420054200542,0.006993760379709428,0.39225748635325935,0.004494892698629762,0.3196428571428571,0.018785397426261306,0.2666666666666667,0.022222222222222233,0.875609756097561,0.004878048780487809
dfs,0.1167416297599404,0.049176405424832065,0.6352303523035231,0.024260419314184364,0.2959528155089577,0.01336110412010344,0.25656951743908263,0.03239108578749038,0.3666666666666666,0.044444444444444446,0.7658536585365855,0.020981281139128376
asp,0.11617185742669647,0.06954881116515346,0.6753387533875339,0.027240153889900805,0.28870883667102437,0.027173687943235682,0.24191599957728988,0.03747716443580719,0.45555555555555555,0.08164965809277261,0.6878048780487804,0.022618581696330953
ecfp,0.15564548722841826,0.010121395321512763,0.7017615176151761,0.008775216725578397,0.3563741616444113,0.009749628449582888,0.3454545454545454,0.014845392380504124,0.22222222222222224,2.7755575615628914e-17,0.9073170731707318,0.00597436522630044
avalon,0.1824606610086328,0.0284117878831087,0.7559620596205963,0.0047212063388033815,0.3188129469812171,0.007048178875862724,0.35824175824175825,0.028102663412185543,0.2666666666666667,0.022222222222222233,0.8951219512195122,0.00597436522630044
ph3,0.004830538034583375,0.03133387631217341,0.6109756097560977,0.0060658615950134,0.23256247658329535,0.0018880599472020552,0.1809090909090909,0.017502459488719587,0.2777777777777778,0.1111111111111111,0.7292682926829267,0.08030281772270406
tt,0.15331275039658837,0.005722022984035436,0.6970189701897018,0.008346267530858799,0.27886111697983385,0.004251797143197503,0.2971428571428571,0.005714285714285716,0.3333333333333333,0.0,0.8268292682926829,0.004878048780487809
kr,0.21407855148454663,0.02168796547176808,0.7296747967479675,0.027547128875988203,0.3898128110823048,0.02053311893755173,0.31830605988214683,0.02277193155506437,0.4666666666666666,0.027216552697590882,0.7780487804878049,0.03397167872483932
