,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.6413112358556056,0.007164339885207992,0.8926666666666666,0.007842193570679092,0.863164918674616,0.007398597311444366,0.8684310323353704,0.03072578038848282,0.675,0.04183300132670378,0.93,0.02449489742783178
asp,0.651821271126182,0.028331799728635396,0.8809166666666666,0.0073048690002704255,0.8589938685255365,0.017445542666939484,0.9198469117089807,0.01228333109466769,0.63,0.036742346141747706,0.9633333333333333,0.006666666666666688
avalon,0.4883337902195765,0.08939026756114872,0.8271666666666668,0.03603735523345496,0.7380241099907642,0.03120823678275742,0.7051537893001308,0.050471009969114564,0.6699999999999999,0.07483314773547885,0.8133333333333332,0.035590260840104374
daylight,0.4821263861489162,0.0181057279731357,0.81075,0.014590236461414881,0.7575260711382187,0.018371488317198092,0.7115346925873242,0.01991846609611006,0.6499999999999999,0.035355339059327376,0.8233333333333333,0.022607766610417565
dfs,0.5841251949787069,0.06449509649907079,0.8535833333333332,0.022190150467668732,0.8286879293299452,0.01392058867543748,0.7875499967428833,0.043804104916822566,0.695,0.0748331477354788,0.8733333333333333,0.03431876713662331
ecfp,0.4785531971640002,0.019088534503697796,0.7796666666666667,0.017269111795984855,0.7760583264042421,0.017699575474113487,0.7591800356506239,0.038094280602497796,0.5700000000000001,0.04847679857416328,0.8766666666666666,0.030912061651652355
estate,0.5355307558021675,0.05348531469471901,0.8200000000000001,0.014351732377041525,0.7982403016670923,0.01199359370632687,0.7062499629873091,0.013277583468710752,0.745,0.08124038404635961,0.7933333333333333,0.02494438257849294
fcfp,0.5493333469802949,0.021292846397077837,0.7980416666666666,0.00962274504609896,0.7926268150871586,0.01490723540443904,0.8036891429073239,0.028437568332263345,0.62,0.06403124237432847,0.8966666666666667,0.028674417556808766
kr,0.685486635997738,0.044390891100523897,0.9025833333333333,0.026790597438487853,0.8998823710352178,0.02155451922707717,0.9083794403594181,0.03263065312584841,0.6900000000000001,0.04062019202317979,0.9533333333333334,0.016329931618554505
lingo,0.5098630774169031,0.016241530964804993,0.7734166666666666,0.02496859138108427,0.7648971098507988,0.026708002503366777,0.8015200283587379,0.022439579960767862,0.5599999999999999,0.03391164991562632,0.9066666666666666,0.016996731711975955
lstar,0.6008780161570811,0.024839438865049232,0.8764166666666666,0.01637579514608886,0.8439263274185862,0.014559735995144511,0.8030121680121681,0.03587185352099002,0.7,0.04472135954999579,0.8833333333333332,0.029814239699997202
maccs,0.6259282195422098,0.02778581455472647,0.8961666666666666,0.016371129737708674,0.8681104553680669,0.021399450173636612,0.8041043785935427,0.024507883033650094,0.735,0.025495097567963948,0.8800000000000001,0.01943650631615101
map4,0.32983902498467815,0.015157168947882084,0.7521666666666667,0.024116902786220258,0.6977325734140567,0.04171975397742127,0.6534982508745627,0.026748696526390718,0.475,0.03872983346207416,0.8300000000000001,0.03055050463303891
mhfp,0.5955749855474824,0.031947803349592574,0.8437916666666666,0.010610202113479655,0.8077934958822388,0.007081025012459369,0.8219986922406278,0.02517863178487787,0.665,0.040620192023179805,0.9033333333333333,0.019436506316150973
ph2,0.25599663472559736,0.013201845239767987,0.6981666666666666,0.006305861470797564,0.6031242775339789,0.008194086810045681,0.49523809523809526,0.0038880789567987085,0.785,0.012247448713915901,0.4666666666666667,0.0
ph3,0.19405507259365545,0.10533514168287551,0.6308333333333334,0.04514598234862348,0.6144885114222747,0.04449984177079082,0.6147222222222222,0.1181702057663614,0.38,0.2105943968865269,0.7666666666666666,0.28382310609877337
pubchem,0.6217305079003415,0.04454488390002333,0.8842916666666666,0.014581904691927055,0.8400490260928007,0.027788992455043553,0.8401325026325027,0.023476574577007733,0.68,0.05787918451395114,0.9133333333333334,0.016329931618554516
rad2d,0.619747131130125,0.031587801726407946,0.8683333333333334,0.02167147382569483,0.863720793426946,0.010371706158660407,0.9118717948717949,0.047982820725887124,0.595,0.018708286933869722,0.96,0.024944382578492942
rdkit,0.5493273029908656,0.03493998370207189,0.8189583333333333,0.026775818277775275,0.7599826068962494,0.023142324129206696,0.7654010695187166,0.04031234395755792,0.675,0.015811388300841875,0.86,0.034318767136623324
tt,0.43109234112513206,0.04175343690628199,0.8051666666666666,0.01768228476313069,0.7381130960489621,0.01975975184157364,0.6676469856103724,0.022932606977900463,0.64,0.06633249580710802,0.7866666666666667,0.03231786571610889
