,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.5091872138754203,0.03461345468141107,0.8380000000000001,0.00873768975314536,0.7977289309357785,0.006167031767610245,0.8546442687747036,0.03957281994911457,0.495,0.010000000000000009,0.9433333333333331,0.01699673171197595
fcfp,0.6052851428926569,0.02595132446654285,0.8371666666666666,0.005318991132410926,0.825579108736685,0.009138055013142347,0.8782338989235541,0.026604613921562884,0.6100000000000001,0.012247448713915901,0.9433333333333334,0.013333333333333324
estate,0.466671997099353,0.02874269898708809,0.8351666666666666,0.005643334317778966,0.7807000652703725,0.010904628014406748,0.6835307781649245,0.030703382513307256,0.675,0.02236067977499787,0.7899999999999999,0.030912061651652323
pubchem,0.6866193133947774,0.021096752143360386,0.8936666666666667,0.0035881750236018543,0.8350252561770668,0.011454023341474526,0.795257002403911,0.01054334347054823,0.835,0.01999999999999998,0.8566666666666667,0.008164965809277286
rdkit,0.5861880667508398,0.017182919977847544,0.8815833333333334,0.0018521758975743707,0.8225518373097914,0.0076287868426370194,0.8146994134897362,0.004674292706538187,0.6599999999999999,0.020000000000000018,0.9,0.0
rad2d,0.6001175287223252,0.024114902430314136,0.8510833333333334,0.00719567771497431,0.7894924236178531,0.015186895104906787,0.8020614162549646,0.03539998079066994,0.7,0.015811388300841875,0.8833333333333334,0.02581988897471611
ap,0.5237616215704441,0.01889341174705897,0.8790833333333333,0.003242512743057278,0.8538891686726338,0.002709230441493942,0.8693675889328064,0.005082933260716076,0.5,0.022360679774997918,0.95,0.0
ph2,0.19251075169819973,0.0,0.6575,0.0017280367794439899,0.5580443245271669,0.0007120094314726776,0.47540983606557374,0.0,0.725,0.0,0.4666666666666667,0.0
maccs,0.6379149903597463,0.03462731163554821,0.8952499999999999,0.002917856900001944,0.8787133893080851,0.003376656228831512,0.8393328240387063,0.023462422428597928,0.7050000000000001,0.024494897427831747,0.9099999999999999,0.013333333333333324
mhfp,0.5153034037203719,0.01709779013048045,0.85375,0.005458174297937588,0.8075409136537172,0.008858590030760642,0.867080745341615,0.004968944099378892,0.49000000000000005,0.019999999999999997,0.95,0.0
lstar,0.5436242304484594,0.010125381213424612,0.8485833333333334,0.0043748015828022875,0.795575297063608,0.00926313469787514,0.9073593073593074,0.002120770340071998,0.49000000000000005,0.012247448713915901,0.9666666666666666,1.1102230246251565e-16
daylight,0.5560838155301807,0.030806038351893352,0.8700833333333333,0.008785246470962309,0.833423098380592,0.01226316976289545,0.7742975978270096,0.014509151522750632,0.6700000000000002,0.029154759474226483,0.8699999999999999,0.006666666666666644
lingo,0.5187462027866937,0.036494964518670105,0.8391666666666667,0.006112373606964101,0.8188808736237096,0.012544666471758444,0.8629776021080369,0.038582426040188925,0.5,0.01581138830084191,0.9466666666666667,0.01632993161855453
dfs,0.4958382787127481,0.03067863416109991,0.8228333333333333,0.0055364950806243915,0.7848598444381971,0.00971055724964374,0.8238019323671498,0.033970372837476615,0.51,0.020000000000000018,0.9266666666666665,0.016996731711975938
asp,0.49955458964010946,0.0179301174065155,0.8489166666666665,0.0044612529381080485,0.818489246532244,0.0044756560770328425,0.8461697722567288,0.029430188487509997,0.49000000000000005,0.012247448713915901,0.9400000000000001,0.01333333333333333
ecfp,0.5123889640982541,0.010163771774822283,0.8634999999999999,0.005753018531364357,0.8498932606725379,0.00456267573167687,0.9431372549019608,0.0016009736880935748,0.4149999999999999,0.012247448713915874,0.9833333333333332,1.1102230246251565e-16
avalon,0.46525081113023525,0.022090159540151578,0.8393333333333333,0.003914006188605799,0.7791616994180005,0.005730782174366371,0.7205228758169935,0.012758330653653902,0.605,0.03316624790355399,0.8433333333333334,0.013333333333333324
ph3,0.2005079960429356,0.03247844699122625,0.6475416666666667,0.014168137178581765,0.6153191476367332,0.009099371942320779,0.6334554334554335,0.040460303292618155,0.24000000000000005,0.03391164991562635,0.9066666666666666,0.02000000000000001
tt,0.5359922071102554,0.04167105357450114,0.8456666666666667,0.0147892603676527,0.8017619156075986,0.013551210046611693,0.8910502540937323,0.025413165188191575,0.495,0.03674234614174769,0.96,0.008164965809277286
kr,0.4770946530232553,0.02940425953827768,0.8380833333333333,0.006617527232030626,0.7763310772391521,0.007879601638527625,0.7459628543499512,0.026110168108554373,0.585,0.020000000000000018,0.8666666666666668,0.018257418583505512
