,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.3104217095920901,0.09483861332791041,0.921875,0.018706546870904135,0.34187775473165677,0.09613063382461658,0.2696825396825397,0.0891724502048441,0.45,0.1,0.9458333333333334,0.015309310892394859
asp,0.20547361056169106,0.038069949659646544,0.7843749999999999,0.05141234449688772,0.4074068084642186,0.07629596664153786,0.2333333333333333,0.06236095644623236,0.25,0.0,0.9625,0.012500000000000008
avalon,0.3572829963057334,0.11077884742137653,0.7328124999999999,0.01910826700817101,0.5575007150563309,0.07070148855040721,0.262987012987013,0.09039744704049274,0.6,0.1224744871391589,0.925,0.020198666072568053
daylight,0.021030094986213027,0.018343054558079924,0.671875,0.07958701453091736,0.37950914867576174,0.03715959969498553,0.04074758324382384,0.0007707797922780342,1.0,0.0,0.01875,0.019094065395649337
dfs,0.027960442743576265,0.08767955349272566,0.7484375,0.08076444121813618,0.5398116900071045,0.08844948230639153,0.043443407028792,0.007794331970036413,0.9,0.1224744871391589,0.16666666666666666,0.05392574627310328
ecfp,0.20151686614654146,0.03219411725422672,0.8552083333333333,0.06897060565519518,0.4009083461341526,0.04823400469776823,0.08289635485287658,0.007514812168822038,0.95,0.09999999999999999,0.5604166666666667,0.049035842899749264
estate,0.1075556014476587,0.04521475694686776,0.7388020833333334,0.04025607053945749,0.119750763219173,0.02048297459129231,0.0646661395652934,0.012878493071093762,0.7,0.09999999999999999,0.56875,0.07557648811340438
fcfp,0.5291070012170036,0.04077611241073686,0.8197916666666666,0.05966668121508203,0.5642035089702999,0.016110833807538357,0.5999999999999999,0.08164965809277258,0.5,0.0,0.9854166666666668,0.0051031036307983245
kr,-0.036882978395593624,0.11368469135221738,0.7416666666666666,0.09624007885375911,0.5500480356152927,0.02312863225100224,0.038592905703362254,0.0038444929889663703,0.95,0.09999999999999999,0.014583333333333332,0.008333333333333333
lingo,0.21218392784409884,0.07040385430222587,0.7416666666666666,0.036732599338553044,0.5178550163056979,0.06138780318354001,0.1191818181818182,0.029216207434564535,0.65,0.1224744871391589,0.7958333333333333,0.024295632895188747
lstar,0.4151392053204768,0.09729200513736869,0.790625,0.10613504811088557,0.4380405780831045,0.11465137561367826,0.7666666666666666,0.2905932629027116,0.25,0.0,0.99375,0.008333333333333342
maccs,0.3242714748626827,0.2197568696735963,0.8083333333333333,0.10764504910687826,0.39428169947891184,0.14969532396704502,0.2869047619047619,0.17449311105309762,0.45,0.24494897427831783,0.95,0.016666666666666656
map4,0.18594703076190192,0.1795038620864527,0.8281249999999998,0.01781524101717401,0.31542033853015544,0.13109091881870638,0.20666666666666664,0.19367785395111933,0.2,0.18708286933869708,0.9833333333333332,0.015590239111558081
mhfp,0.19705860152348972,0.054123419378437086,0.7625,0.03404991485141905,0.46364429169709875,0.0735947347168945,0.12277777777777776,0.02333333333333333,0.55,0.09999999999999999,0.8354166666666668,0.013819269959814154
ph2,0.05876495870637205,0.028142401148836257,0.58515625,0.00821861137398937,0.048361709562367454,0.0005258923797350641,0.04774222488038278,0.0025058131345817936,0.8,0.09999999999999999,0.33749999999999997,0.044487826050130456
ph3,0.11019669509544709,0.031316491462914285,0.6916666666666667,0.10000610332937185,0.20701848848734894,0.27903506736794453,0.06355866355866356,0.010774034096776625,0.75,0.0,0.5270833333333333,0.07412686197773832
pubchem,0.5564665698367168,0.09415644787439637,0.9619791666666666,0.011599509089229233,0.6003679653679653,0.04810133572110118,0.52,0.11274356350191841,0.65,0.1224744871391589,0.9729166666666668,0.010622957319984964
rad2d,0.44939498248898524,0.08632255687895939,0.8598958333333332,0.1027956652039483,0.5990163852955843,0.08499664928475692,0.3814285714285714,0.06694499722205703,0.6,0.1224744871391589,0.9583333333333334,0.011410886614690962
rdkit,0.571035985083026,0.1736103546741857,0.7182291666666666,0.11853278745304563,0.5146070600759521,0.17881265789100556,0.8666666666666666,0.26666666666666666,0.4,0.1224744871391589,0.9958333333333332,0.008333333333333349
tt,0.38749456515882075,0.18325613397607743,0.6744791666666667,0.10414062174397762,0.39432001198837796,0.08357722748035686,0.5833333333333333,0.3415650255319866,0.3,0.1,0.9854166666666666,0.012500000000000008
