,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.4923659639173309,0.0,0.8848958333333332,0.011458333333333348,0.41156836436307176,0.017178013860253586,1.0,0.0,0.25,0.0,1.0,0.0
fcfp,0.5338636135786177,0.08299529932257368,0.9567708333333333,0.006293253111247161,0.6387675070028012,0.06824764276776284,1.0,0.0,0.3,0.10000000000000002,1.0,0.0
estate,0.27290993439717876,0.047549121807772585,0.8549479166666666,0.017693008074440655,0.15758262935894513,0.02073080072129453,0.11762332710862122,0.017458409599020938,0.95,0.09999999999999999,0.7,0.03118047822311615
pubchem,0.4923659639173309,0.0,0.8927083333333334,0.00951857650130055,0.4004587762379754,0.014732415100116511,1.0,0.0,0.25,0.0,1.0,0.0
rdkit,0.33534681002388744,0.0,0.8416666666666666,0.01085034721666646,0.3557775708700254,0.01209421663201717,0.5,0.0,0.25,0.0,0.9895833333333334,0.0
rad2d,0.32092771298441075,0.028838194078953383,0.9510416666666666,0.00761913481162906,0.5002686202686203,0.0337408029658273,0.4666666666666666,0.06666666666666668,0.25,0.0,0.9875,0.004166666666666697
ap,0.0,0.0,0.8739583333333334,0.013838885682902534,0.2999959359862106,0.013693061828439886,0.0,0.0,0.0,0.0,1.0,0.0
ph2,0.042796049251091296,0.0,0.5796875,0.008168951636124078,0.048083531052281046,0.0005666921990838872,0.046153846153846156,0.0,0.75,0.0,0.3541666666666667,0.0
maccs,0.14078568035768257,0.00643785572702641,0.8114583333333334,0.006073908223797202,0.3320551948051948,0.0019089458040395977,0.1392857142857143,0.00714285714285714,0.25,0.0,0.9354166666666666,0.004166666666666652
mhfp,0.4923659639173309,0.0,0.9453125,0.023175620272173916,0.6533332368114977,0.06826061517054982,1.0,0.0,0.25,0.0,1.0,0.0
lstar,0.2851515866482586,0.05485569290436921,0.9010416666666667,0.017036903368537616,0.3201528099586571,0.04905900982884248,0.16363636363636364,0.014845392380504113,0.7,0.18708286933869706,0.85,0.03985651347856041
daylight,0.4295583023599535,0.07692336137649661,0.8088541666666667,0.012926743381240502,0.33089501124577747,0.0053184522969816255,0.8,0.2449489742783178,0.25,0.0,0.9958333333333333,0.00510310363079827
lingo,0.21351090775326362,0.08232840496733085,0.8421875,0.009964128369640108,0.1886526680737241,0.014093823942418685,0.1696969696969697,0.05005863310450047,0.4,0.1224744871391589,0.91875,0.007795119555779065
dfs,0.42955830235995346,0.07692336137649661,0.828125,0.0341930157545205,0.4198796772586406,0.030875854627182345,0.8,0.2449489742783178,0.25,0.0,0.9958333333333333,0.00510310363079827
asp,0.33534681002388744,0.0,0.9703125,0.0026557393299962394,0.5812896825396826,0.018995837352817443,0.5,0.0,0.25,0.0,0.9895833333333334,0.0
ecfp,0.23404239488112336,0.09275886382421121,0.8260416666666668,0.07191273164205501,0.1995839620619032,0.08658498472302655,0.13205186880244088,0.026883490670968093,0.65,0.25495097567963926,0.8291666666666666,0.041978003499187275
avalon,0.2976083509796333,0.048314839621835415,0.8380208333333332,0.02738216547519774,0.34848070494300043,0.04546614791463788,0.41666666666666663,0.10540925533894598,0.25,0.0,0.9833333333333334,0.008333333333333354
ph3,0.14496458172088847,0.05842646387126693,0.6885416666666666,0.033697554415878773,0.07550812990871088,0.0066961477277767256,0.08183179723502305,0.01745592641016986,0.65,0.1224744871391589,0.6937499999999999,0.020412414523193145
tt,0.4609621331386422,0.06280766155737738,0.946875,0.0074753646325038245,0.563228335991494,0.05765025822116566,0.9,0.2,0.25,0.0,0.9979166666666668,0.004166666666666652
kr,0.3733337323763592,0.07514772752716516,0.90625,0.005462546084219525,0.3970091058366921,0.047571556902176876,0.258989898989899,0.04094885210759516,0.65,0.1224744871391589,0.9229166666666668,0.0051031036307983245
