,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.49290526619933406,0.02740887480343847,0.9019607843137255,0.009933264438580459,0.6453533475795413,0.013113015815911558,0.5289232886136911,0.01773313520943561,0.6266666666666666,0.053333333333333316,0.9011764705882352,0.011997692973159486
asp,0.49515356765522445,0.04279804809502724,0.868235294117647,0.010604200019548593,0.6573647652920228,0.05229706844299518,0.573939393939394,0.04626946268573705,0.5733333333333334,0.09977753031397174,0.9223529411764707,0.024225012096439964
avalon,0.3978877588458788,0.042081228652800215,0.8069803921568628,0.0180023493703669,0.4098846679016582,0.024905565118795662,0.4151900158252769,0.05977815227252977,0.6266666666666667,0.053333333333333316,0.8376470588235294,0.04489125653726805
daylight,0.1898695025778246,0.08735971462816759,0.6779607843137254,0.07033610745771304,0.31259382018328,0.05899177984492618,0.2859088623794507,0.04850435187638005,0.37333333333333335,0.13727506854649335,0.8399999999999999,0.031215292144521418
dfs,0.47330815713545515,0.08377263694535754,0.8178039215686275,0.05353571750548767,0.573636116092614,0.10956070434340665,0.6058823529411764,0.09168632482931911,0.49333333333333335,0.09043106644167022,0.9411764705882353,0.02232195995412974
ecfp,0.4733439403179299,0.09289473590502302,0.8552156862745098,0.04835241638949988,0.6207321447020894,0.08078578040248455,0.627995337995338,0.09772345784309558,0.4666666666666667,0.07302967433402213,0.9505882352941176,0.015607646072260686
estate,0.31319260358199497,0.022445045149020997,0.8040784313725491,0.017610594134194413,0.3743939698657718,0.027976067306621347,0.3535243741765481,0.014394956895805795,0.5466666666666666,0.02666666666666666,0.8235294117647058,0.007440653318043254
fcfp,0.3548395900359259,0.05599658488768025,0.7905882352941177,0.021179375254676214,0.49111515816801693,0.030622746622380417,0.43450980392156857,0.046493334385188795,0.48,0.04988876515698587,0.8894117647058823,0.011997692973159498
kr,0.5167865755229671,0.04560676440067982,0.8261960784313725,0.02585905071058178,0.578596781414068,0.046712022590852394,0.5269005847953216,0.03697211454628193,0.6799999999999999,0.04988876515698587,0.891764705882353,0.013719886811400708
lingo,0.4764742343278193,0.047383713478911745,0.8658823529411765,0.02643963331665665,0.6190404648899838,0.06582996100562283,0.5071532999164579,0.04168634363888314,0.6266666666666666,0.053333333333333316,0.891764705882353,0.015607646072260695
lstar,0.5079929747406966,0.06270183815547355,0.8749803921568627,0.017778854254221467,0.678249047281615,0.01074107662168862,0.5801623376623377,0.036743780617493,0.5866666666666667,0.10666666666666665,0.924705882352941,0.017607799467171472
maccs,0.4924176635910934,0.04049423860623373,0.8587450980392157,0.016173606401218336,0.48506445825526245,0.03382450595805064,0.5373839009287926,0.04313399508596918,0.6133333333333334,0.026666666666666665,0.9058823529411765,0.014881306636086472
map4,0.4687039764555033,0.04519858528380255,0.8393725490196079,0.018208244749427543,0.6004848919708502,0.013029663165585932,0.5099298245614035,0.04635506043781295,0.6133333333333334,0.1222020185321557,0.891764705882353,0.03675411612191365
mhfp,0.2989331554525433,0.03838356412915432,0.8240000000000001,0.010553027884896718,0.5358330815684308,0.04478863939442747,0.36017771701982226,0.03023120877501087,0.49333333333333335,0.03265986323710903,0.8447058823529412,0.013719886811400692
ph2,0.2820326408338495,0.10673572128767543,0.7713725490196077,0.0,0.47602135689956737,0.0,0.32333333333333336,0.21333333333333335,0.7733333333333333,0.18666666666666665,0.5529411764705883,0.2117647058823529
ph3,0.17969723313596236,0.05884969186336135,0.6625098039215687,0.031350580543634515,0.49306849683320386,0.04439126817937202,0.24289611005692602,0.027717354085511004,0.52,0.07774602526460399,0.7152941176470589,0.00470588235294116
pubchem,0.36310090096456055,0.07371281877241635,0.8335686274509804,0.031577370607552696,0.5168773997370375,0.01958801583871263,0.46379120879120883,0.07703605322155722,0.4533333333333333,0.04988876515698588,0.9058823529411766,0.018225803982152528
rad2d,0.5066373704134132,0.05981269741634214,0.863843137254902,0.025061738453925092,0.6827398313907003,0.059771882700247456,0.46440313176744963,0.04937472485180103,0.7733333333333332,0.05333333333333337,0.8400000000000001,0.030315526415823826
rdkit,0.4494826525695744,0.05060663286907566,0.8500392156862745,0.007802246346946461,0.49624166940946957,0.042699108202782485,0.4708587708587709,0.06274890414346695,0.64,0.09977753031397174,0.8658823529411764,0.04682293821678213
tt,0.4726291144054722,0.031297608775425256,0.8334117647058823,0.025042094511061968,0.6094809003700805,0.024434848060673073,0.5804395604395605,0.0433050697556055,0.5199999999999999,0.06531972647421806,0.931764705882353,0.020240765334217915
