,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.3648843158213476,0.033545456099540606,0.8547450980392158,0.00985118021528323,0.5411865968582654,0.008014294532110725,0.6035714285714285,0.02624453295839121,0.30666666666666664,0.03265986323710903,0.9647058823529411,1.1102230246251565e-16
fcfp,0.29985533625512,0.09170476472814276,0.7667450980392156,0.06208396789500986,0.37827880792478175,0.06845946244007955,0.279658528605897,0.041737802186711394,0.76,0.0997775303139718,0.651764705882353,0.039791845941853546
estate,0.31519026789414983,0.02251918486844224,0.7800784313725491,0.006440930248673835,0.33650599661260727,0.0057799393981118295,0.3156245034164945,0.019054417433391476,0.6666666666666666,0.0,0.7435294117647059,0.02281261109372389
pubchem,0.5414749935164918,0.030908329436293125,0.9074509803921569,0.005365531412231223,0.5694714529614358,0.023873786532730295,0.49630769230769234,0.01903220565439029,0.7866666666666667,0.04988876515698592,0.8588235294117649,0.012887589588356846
rdkit,0.4150139836861652,0.04445159525309735,0.8500392156862745,0.00514069634766242,0.5754625326943792,0.021544701085438846,0.5296703296703297,0.036380099686256794,0.4666666666666667,0.04216370213557838,0.9270588235294118,0.004705882352941204
rad2d,0.5000652885110659,0.03989671041965016,0.9018039215686274,0.0031529021556457597,0.6749847181161283,0.010131300131490259,0.6225607725607726,0.05517405532349166,0.5199999999999999,0.026666666666666665,0.943529411764706,0.011527010554273779
ap,0.5500986655567693,0.028772855752389775,0.8654117647058823,0.008657345710774315,0.6546249240925023,0.037561261970206865,0.6688977688977689,0.038736055297390035,0.5599999999999999,0.03265986323710904,0.9505882352941176,0.008803899733585748
ph2,0.388768362121525,0.13072402724136253,0.7690196078431372,0.0,0.44374239786004493,0.0,0.5366666666666667,0.26127890589687236,0.5866666666666667,0.2286190426597633,0.7647058823529412,0.25935773747116
maccs,0.447812122019376,0.05062748142114848,0.8581960784313726,0.006456193137962857,0.5169472390940879,0.029489293000427082,0.4176524216524216,0.035671161317544615,0.7333333333333334,0.04216370213557842,0.8188235294117646,0.015958423489706497
mhfp,0.39814479901157973,0.06402109912292975,0.8879999999999999,0.01636492719152312,0.5970940827959431,0.03802945969059649,0.6795238095238096,0.08618060980098097,0.30666666666666664,0.05333333333333332,0.9741176470588236,0.00880389973358575
lstar,0.33459366901238863,0.07686206481557674,0.8872156862745099,0.020508866622754668,0.6234663587137799,0.037048412154395735,0.8433333333333334,0.13482498944104457,0.17333333333333334,0.0679869268479038,0.9929411764705882,0.005763505277136869
daylight,0.3751279336801566,0.009160368654066628,0.8705882352941178,0.0045191718559648205,0.5638198482273105,0.0130876642376849,0.4304093567251462,0.011459601135827733,0.5333333333333333,0.0,0.8752941176470589,0.005763505277136869
lingo,0.36370515152554533,0.06775319893976249,0.8853333333333333,0.008640275673048115,0.5961770627337457,0.02778035314234474,0.46256410256410263,0.04218240968754623,0.4533333333333333,0.08844332774281066,0.908235294117647,0.008803899733585713
dfs,0.3877709689332689,0.036557653511443584,0.8916078431372549,0.019493943696195778,0.5870385023579188,0.03699891238364145,0.78,0.024494897427831803,0.24,0.03265986323710903,0.9882352941176471,0.0
asp,0.3982520306652881,0.06855857529201327,0.8230588235294117,0.0038615007451266448,0.5630999451319942,0.014780357311973961,0.47720588235294115,0.06180865227739204,0.5066666666666667,0.053333333333333316,0.9011764705882352,0.015958423489706507
ecfp,0.589568506532413,0.018331188507408225,0.8903529411764705,0.002008823290174998,0.6867146187188187,0.008065783454551254,0.8555555555555555,0.03888888888888888,0.4666666666666667,0.0,0.9858823529411765,0.004705882352941204
avalon,0.28219674217842383,0.024235601013234017,0.8687058823529412,0.005240248812075329,0.5088525100976866,0.013937324538337693,0.3995604395604396,0.016054489993626075,0.3733333333333333,0.03265986323710906,0.9011764705882352,0.005763505277136869
ph3,0.21347040452355345,0.018702620706592153,0.6939607843137255,0.020777061257786337,0.2434605659750413,0.017891672500731533,0.2018181818181818,0.005283513870958394,0.9199999999999999,0.02666666666666666,0.3576470588235294,0.02051246561666199
tt,0.45034215321033344,0.06396456054793426,0.871686274509804,0.01952673420498249,0.6083670114992804,0.041334448801438946,0.6305194805194805,0.14775837327034264,0.43999999999999995,0.05333333333333332,0.9458823529411763,0.03208983928702555
kr,0.37254901960784315,0.0,0.8790588235294118,0.005960784313725513,0.5227372798280598,0.018988027572816018,0.4666666666666667,0.0,0.4666666666666667,0.0,0.9058823529411765,0.0
