,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.4497971183394546,0.046146325502115434,0.821297429620563,0.014834483037697167,0.7619265297152044,0.026978940808275547,0.647918755809865,0.019446503394585143,0.7674418604651162,0.07053837622373536,0.6842105263157895,0.04297350425935399
asp,0.5072524325519752,0.02043818368897044,0.8175438596491228,0.0086641447562195,0.7482551234190451,0.015888259264403022,0.7155844155844155,0.010184666974907863,0.7255813953488371,0.017403057612902048,0.7824561403508772,0.008594700851870828
avalon,0.5079522081359296,0.06593025605697643,0.7782129742962056,0.015918880336624256,0.6307311976181172,0.014013258722985642,0.6953754578754578,0.0433285685346972,0.7674418604651163,0.03891441983879424,0.743859649122807,0.05036035120844675
daylight,0.3691121530444364,0.03909514992329142,0.7594859241126071,0.023403156535843024,0.6805114959525672,0.026486124471912207,0.6383424104969826,0.025115397042770802,0.6465116279069768,0.027120706487652566,0.7228070175438597,0.03018359742821975
dfs,0.5013491677335814,0.0296690643636403,0.8072623419012649,0.00661206514235262,0.717726073044461,0.021982990090326088,0.6953452776459421,0.004386771892716978,0.7534883720930232,0.04788665181854417,0.7508771929824561,0.0171894017037416
ecfp,0.4674111911615945,0.03955391172715172,0.8206038351693188,0.01812929261385988,0.7867360554141267,0.019052918733405685,0.6648687274187074,0.026275673398096718,0.7627906976744186,0.022785951095657484,0.7087719298245614,0.0343788034074832
estate,0.49885665775197224,0.014437779297731379,0.8474092207262343,0.007380118517891471,0.8086852689395924,0.010094080797512391,0.6890761577526477,0.0052710166460716275,0.7627906976744186,0.017403057612902048,0.7403508771929824,0.007017543859649145
fcfp,0.4840283366287343,0.032782868737168354,0.8130558955528355,0.005524703673540896,0.777530327624972,0.016654581515934106,0.6738436303306794,0.029955892217841913,0.772093023255814,0.017403057612902034,0.7157894736842106,0.04354271454733631
kr,0.3806144999977598,0.03876219004927122,0.7527947776417788,0.025202642332669386,0.6874514567572254,0.034173480782346534,0.6472017140102247,0.023218489471938126,0.6465116279069767,0.04743273966132824,0.7333333333333333,0.032158425929514664
lingo,0.413507481765748,0.04225928968716407,0.7388004895960832,0.02310522655552044,0.6459143825581221,0.016899571317279795,0.6537551362863843,0.024083364155483258,0.6930232558139534,0.02712070648765253,0.7228070175438597,0.023274559932318587
lstar,0.501822296583318,0.02773254635002717,0.8094655242758059,0.012596465617573412,0.7978389994694491,0.014622607926892637,0.7501404238246344,0.0190368308935477,0.6558139534883721,0.017403057612902034,0.8350877192982455,0.014035087719298239
maccs,0.49359805767995424,0.042098563837770234,0.8139942880456956,0.009705178138820974,0.7168251726151429,0.01255088724249584,0.6865902166877035,0.038142018750981055,0.7627906976744186,0.037209302325581374,0.7333333333333332,0.057010795822006737
map4,0.35186804846931363,0.06345731655481456,0.72843737250102,0.01588485922140361,0.6676428211155823,0.02659266522341863,0.678798801493646,0.03670210304188642,0.5209302325581395,0.12270610193742251,0.8105263157894737,0.06507802452979441
mhfp,0.3018394623775783,0.03349179966577522,0.7305181558547532,0.023179098559604337,0.6720776624544615,0.03520009346528999,0.5863769898203183,0.01831799007356808,0.6511627906976745,0.044124804560488985,0.6526315789473685,0.03401880601695671
ph2,0.13370997767900739,0.04061104645839988,0.5993064055487556,0.018961272458865627,0.5178955824204221,0.021565187770931877,0.8266666666666665,0.14966629547095767,0.05581395348837209,0.018604651162790697,0.9894736842105264,0.008594700851870828
ph3,0.30313648205756427,0.040834797958146034,0.6495308037535701,0.01126543931810509,0.6494861583216989,0.009086997844367542,0.767561059511524,0.06306390380712294,0.29767441860465116,0.009302325581395344,0.9298245614035088,0.024810764252159563
pubchem,0.3905289963165391,0.054987710136694325,0.777437780497756,0.010636906058268565,0.6942189162721772,0.02722116834849452,0.6758458208458209,0.03067678051137999,0.5999999999999999,0.06309144170349087,0.7824561403508772,0.032539012264897214
rad2d,0.4674517614141628,0.02407456622621007,0.803467972256222,0.007636844498480074,0.7703887045443061,0.017712417190419612,0.7076388758096076,0.01201349629615393,0.6744186046511628,0.03891441983879421,0.7894736842105263,0.01921833535105844
rdkit,0.4398752299074548,0.02600706365997604,0.7800897592819258,0.0048360953044184795,0.7187011739862613,0.03160609862285974,0.6858746944112798,0.012460408448870716,0.6697674418604651,0.034178926643486186,0.7684210526315789,0.017189401703741614
tt,0.45004766729750356,0.030298896056657,0.7891472868217055,0.018274701671520874,0.7062122274027292,0.04406120460412618,0.6662869604869248,0.022513799147417992,0.7302325581395348,0.03154572085174545,0.7228070175438597,0.03401880601695671
