,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.415185434049487,0.022941280940714497,0.7775601795185638,0.015066960954766976,0.7598579465127618,0.01731557093610405,0.689042339042339,0.00680046213374681,0.6186046511627907,0.03480611522580408,0.7894736842105263,0.011095711088310103
fcfp,0.41090028108989707,0.01648281739223288,0.7977968176254591,0.0027982746959579296,0.7672680912774419,0.0065364773321868715,0.6417678264645359,0.009099735701998434,0.7162790697674418,0.017403057612902034,0.6982456140350877,0.01312862240973312
estate,0.5320253445277935,0.02662899426521006,0.820889432884537,0.0021278506422530465,0.7670189378436589,0.002978008040895443,0.7301898663071565,0.023753204676135148,0.7395348837209302,0.009302325581395366,0.7929824561403509,0.0257841025556124
pubchem,0.5403928613256588,0.028493831560054896,0.7903712770297838,0.005524703673540836,0.7532377561585752,0.014587836701497136,0.7316607939863753,0.01219729451528815,0.7488372093023256,0.02278595109565747,0.7929824561403509,0.0070175438596491
rdkit,0.42250016726278855,0.030931193269211028,0.7744594043247653,0.0015352825558732823,0.71947125738269,0.005996109770326983,0.6488059053408597,0.018841983068620786,0.7209302325581395,0.014708268186829661,0.7052631578947368,0.020459480332790513
rad2d,0.3946420489780428,0.02458305734644808,0.7621379028967769,0.01652462334129582,0.7459572158644912,0.016565970356430173,0.675621676777004,0.018429009922064997,0.6093023255813954,0.017403057612902048,0.7789473684210526,0.01789129653892204
ap,0.4450384024562471,0.02010434060885729,0.7935536515707875,0.0038619859865195332,0.7249089486061245,0.0065082908833021605,0.6726921387790953,0.012683957469734707,0.7069767441860464,0.011392975547828702,0.7403508771929824,0.013128622409733132
ph2,0.10420602501357146,0.006743946391330931,0.579232966136271,0.002795894198125137,0.4913462579837543,0.0009370933827823034,0.4659233476884353,0.0031063561305887037,0.7302325581395348,0.011392975547828756,0.36842105263157887,0.01569170510526168
maccs,0.4694335647731089,0.011029681232562438,0.7844145246838026,0.0017988908759729466,0.7363897021372175,0.015710860850208747,0.6551736816642476,0.008314064931435588,0.786046511627907,0.009302325581395321,0.687719298245614,0.013128622409733122
mhfp,0.4837299947979667,0.030098814447453635,0.7824561403508772,0.007917239475542808,0.7804804872130828,0.013408382027072105,0.6796484736355227,0.0210200452669594,0.758139534883721,0.011392975547828756,0.7298245614035087,0.02379764906359742
lstar,0.5163803476458042,0.008563926450290216,0.797878416972664,0.011082501188938235,0.7280799437144854,0.01740494389803607,0.7186298095179234,0.010769075687603788,0.7348837209302326,0.023716369830664122,0.7824561403508772,0.01789129653892204
daylight,0.3061001492590422,0.009000740643932503,0.7379028967768257,0.0027137150792845405,0.6608765299744853,0.009254465384243963,0.5981818181818183,0.0036363636363636155,0.6232558139534884,0.009302325581395366,0.6842105263157895,0.0
lingo,0.396569480582818,0.008791640244761529,0.7560179518563851,0.008293480830532484,0.665331392321959,0.016562813457622474,0.6906516290726818,0.004669507672043811,0.5813953488372093,0.014708268186829661,0.8035087719298245,0.0070175438596491
dfs,0.34819151063734805,0.02603960235773699,0.7232966136270911,0.0070213381523619185,0.6794919418169749,0.023982915778136705,0.6265357961971936,0.00862279550654081,0.6325581395348837,0.03720930232558139,0.7157894736842105,0.013128622409733132
asp,0.42461181971807244,0.024683474687914483,0.7647490820073438,0.0029937064590524766,0.7103231630821562,0.005466810508109094,0.6730247659317427,0.013447299495485412,0.6697674418604651,0.02712070648765256,0.7543859649122807,0.01569170510526168
ecfp,0.4675731291388431,0.03477539561084307,0.817951856385149,0.008116571848752792,0.758133550378966,0.010070615797300082,0.7054212860310421,0.020430612910627834,0.6790697674418605,0.02712070648765253,0.7859649122807018,0.0171894017037416
avalon,0.44448480313494887,0.05743459872244068,0.7787025703794368,0.009875206804842537,0.7452997337389876,0.017365085049704677,0.6578344671201815,0.034240457419040075,0.7395348837209302,0.03085232363121301,0.7087719298245613,0.03612501803855087
ph3,0.08727568249345789,0.02575673362194295,0.5804161566707465,0.0032291079457216327,0.5091080511653701,0.006445256749872603,0.5222222222222223,0.027216552697590882,0.21860465116279068,0.011392975547828728,0.8491228070175438,0.008594700851870828
tt,0.41506042432644047,0.029718602126617286,0.7276213790289677,0.01559081467301851,0.67118129408355,0.014685247198950438,0.65369573283859,0.026290302110790174,0.6976744186046511,0.025475467790937966,0.7192982456140351,0.038436670702116905
kr,0.4696182908827585,0.013862687612428808,0.7791921664626684,0.003397904987948908,0.705152778878954,0.0031925281613928197,0.6976089801671196,0.0044498137521393494,0.6976744186046511,0.014708268186829661,0.7719298245614035,0.0
