,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.5295134871938721,0.025230262775573376,0.878670634920635,0.010808940355556455,0.7243689848249659,0.010447653434563971,0.7531482158080622,0.009236638630281806,0.5428571428571428,0.04738035414793426,0.9305555555555556,0.008784104611578835
asp,0.5987854262034179,0.04863545178696162,0.9155753968253968,0.007654976874547756,0.824412253902179,0.013282817139536541,0.7657342657342658,0.05571412539383018,0.6428571428571429,0.022587697572631307,0.9222222222222222,0.022566773346211034
avalon,0.5416085550547936,0.06514312291938185,0.8150793650793651,0.04292598087069486,0.7135375422588146,0.027733616457813085,0.7241000227842334,0.06871989639400719,0.6,0.052489065916782394,0.9083333333333334,0.03356401659331826
daylight,0.5200245041846501,0.024321275312738755,0.8007440476190476,0.023435387176960414,0.630852752890393,0.03134725427341704,0.6299820868786387,0.008276266146355517,0.6928571428571428,0.04285714285714284,0.8416666666666668,0.01111111111111111
dfs,0.6347719641403583,0.02936955993947591,0.8805555555555558,0.009512435337593729,0.8057327850423913,0.014898422957617667,0.7496179108248073,0.03075886972540855,0.7214285714285714,0.03499271061118824,0.9055555555555553,0.016197088596792523
ecfp,0.607642785137915,0.03889646768598266,0.8924603174603176,0.008110687871416594,0.8462964605687325,0.00976518787548462,0.6268404118404118,0.035280203154944074,0.8571428571428571,0.022587697572631307,0.8,0.02991758226185838
estate,0.47767828497214654,0.04939372293954447,0.7683035714285714,0.011209000484518226,0.5705749580493642,0.028243023242900064,0.5706634988647183,0.04316451182434975,0.7214285714285715,0.041649656391752124,0.7861111111111111,0.039868611373353686
fcfp,0.5234814663203851,0.039980631789609124,0.7720238095238096,0.022113449066792565,0.7131554053490641,0.007180798193517096,0.7403996003996005,0.0969715526969279,0.5571428571428572,0.0662401321106836,0.9166666666666666,0.038289024311361754
kr,0.5261306901493981,0.03359682700776678,0.8555555555555555,0.01726988503729276,0.7666127075818658,0.01896635551752535,0.6196394686907021,0.019187968941071016,0.7214285714285715,0.03499271061118824,0.8277777777777778,0.011111111111111117
lingo,0.641710246896374,0.02876339430064573,0.8472222222222223,0.00547884971090636,0.7541552338058841,0.019859255120071057,0.7203225806451613,0.021387850908710693,0.7714285714285715,0.02857142857142856,0.8833333333333332,0.01111111111111111
lstar,0.4751137926295798,0.04679978855704482,0.829861111111111,0.01775765939306701,0.714929694962866,0.018962235990095527,0.6986868686868688,0.03341831835434702,0.5142857142857142,0.04844521416518047,0.913888888888889,0.010393492741038726
maccs,0.6493824840234035,0.05351315853253705,0.865079365079365,0.01860747248419135,0.8135350141089738,0.013749279017396884,0.7363496273841101,0.054725863914417534,0.7642857142857142,0.036421567954234166,0.8916666666666668,0.02965855070008698
map4,0.4363261041504475,0.027180073480072117,0.8070436507936509,0.011419508366290975,0.6910264786572753,0.045073853677959866,0.5332596232596233,0.02490675817975387,0.7142857142857142,0.03194382824999698,0.7555555555555555,0.027216552697590855
mhfp,0.6007993861458563,0.035160013216508544,0.9105158730158731,0.011840933386002561,0.8417883727124617,0.009094460588981812,0.6111878245382739,0.02873200895608298,0.8714285714285713,0.02857142857142861,0.7833333333333334,0.02576005137637696
ph2,0.22505175036301078,0.08478775352789235,0.6472718253968255,0.032312347082786956,0.44005061338810425,0.04823067713529746,0.5206711160548758,0.22342216575616622,0.5214285714285714,0.27067564744994876,0.6583333333333333,0.2619961360567022
ph3,0.24449585781037037,0.06803993937277832,0.6630952380952382,0.03365479442374761,0.49286461038365437,0.04121296244085868,0.5094447767145136,0.14260946846974182,0.48571428571428565,0.25515101570702503,0.7194444444444443,0.25959964427680166
pubchem,0.572529487715379,0.09343301043517864,0.8412698412698413,0.03918713581976375,0.7142380825664683,0.05263382678405217,0.7046996825014066,0.0830680472736467,0.6785714285714286,0.07142857142857142,0.8861111111111111,0.042491829279939865
rad2d,0.5783551493220479,0.04566205725928007,0.8728174603174603,0.004204289702463727,0.8158714347737062,0.012653110214120775,0.6464015151515151,0.023006491877363946,0.7714285714285715,0.04844521416518047,0.836111111111111,0.010393492741038726
rdkit,0.5362467980413392,0.03442906381571888,0.8428571428571429,0.008919748727376591,0.6807024315355796,0.007163289237291523,0.6103349282296651,0.02963219525821044,0.7571428571428571,0.02672612419124243,0.8111111111111111,0.02256677334621099
tt,0.5257880127730233,0.03686751898111413,0.8395833333333333,0.008549031953496228,0.7036488957541609,0.01038927318531552,0.6288919878296146,0.03846348884381339,0.7071428571428571,0.026726124191242425,0.836111111111111,0.02693155476342406
