,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.52815673029797,0.01518660942415114,0.8434523809523811,0.0016777315997308954,0.7139712751273153,0.003174596491349434,0.732420478072652,0.022730021784662952,0.5642857142857143,0.01428571428571428,0.9194444444444445,0.010393492741038736
fcfp,0.4958048216357274,0.06074689534840987,0.8250992063492063,0.01165664049259886,0.6651053453030998,0.01567988073753665,0.7479441473559121,0.026424026086897198,0.49285714285714277,0.07626484465736649,0.9361111111111111,0.006804138174397694
estate,0.397809709400457,0.03833049058135103,0.8300595238095239,0.004285438703661721,0.7411402936505198,0.003690931186888779,0.49536004645760745,0.022677996268231616,0.7214285714285714,0.026726124191242425,0.7138888888888888,0.01666666666666669
pubchem,0.46363818665513473,0.03818637316825454,0.8579365079365079,0.0031777018607235933,0.7156054012432447,0.010705205138409755,0.5621129532894239,0.018149524135188534,0.7071428571428572,0.04164965639175213,0.7861111111111111,0.006804138174397694
rdkit,0.5661117564650692,0.014487177108822325,0.863293650793651,0.004712040510729337,0.7248704651127897,0.007100752042245031,0.737458193979933,0.0033444816053511688,0.6214285714285714,0.028571428571428602,0.913888888888889,0.005555555555555536
rad2d,0.44067723664688,0.05764495597163675,0.8089285714285713,0.03191362014751108,0.6687311727361489,0.05224342808326371,0.6271783723522855,0.05020277897749233,0.55,0.03642156795423416,0.8722222222222221,0.02041241452319314
ap,0.5627015624983883,0.044018391801043055,0.8776785714285713,0.0027457048617258047,0.7363508450890515,0.006955171406097854,0.7102564102564102,0.026399051643556406,0.65,0.04164965639175217,0.8972222222222221,0.0068041381743977475
ph2,0.2129046140885428,0.0,0.6895337301587302,0.00024300493479991757,0.46880227714769684,7.980793648165457e-05,0.3548387096774194,0.0,0.7857142857142857,0.0,0.4444444444444445,5.551115123125783e-17
maccs,0.5565738138637956,0.01901021734204108,0.8585317460317461,0.0026322418971074283,0.7356425972998029,0.017008838559359588,0.6586299592139413,0.021927701137575296,0.7142857142857143,0.0,0.8555555555555555,0.01416394309331329
mhfp,0.5174102588578734,0.012419263428552374,0.8906746031746031,0.007273929674533004,0.8281722167156893,0.0072299993607565245,0.915151515151515,0.0030303030303030277,0.38571428571428573,0.01428571428571428,0.986111111111111,1.1102230246251565e-16
lstar,0.4656842603234252,0.031528503438575925,0.8863095238095238,0.0051682604276313705,0.8210099827830453,0.008248329170508759,1.0,0.0,0.2785714285714286,0.03499271061118827,1.0,0.0
daylight,0.5521823981750943,0.021488427316344733,0.8647817460317461,0.015141892085983271,0.7286913176567792,0.018994159314987092,0.6397727272727273,0.014078990560640759,0.7357142857142858,0.01749635530559412,0.8388888888888889,0.006804138174397694
lingo,0.537778308318299,0.04449407443378783,0.8780753968253968,0.012252686985816044,0.703033873783566,0.026785429434430207,0.7460568417090155,0.04131391047932449,0.5642857142857143,0.03499271061118824,0.925,0.01416394309331329
dfs,0.563721553556904,0.03245008799023761,0.8824404761904763,0.006923153302526949,0.8075127290590436,0.009737737411776826,0.7773593073593072,0.03260967442321786,0.5714285714285714,0.02258769757263127,0.9361111111111111,0.01111111111111111
asp,0.525980229058989,0.02603882915741606,0.8648809523809524,0.003299263719903935,0.7144065654762735,0.010397389207912562,0.632513440860215,0.01991572674575974,0.7,0.01749635530559412,0.8416666666666666,0.011111111111111117
ecfp,0.5704480524171157,0.05971206192409182,0.869047619047619,0.009097822633420887,0.6975174157212917,0.027406332914555232,0.7674603174603174,0.02876368297527002,0.5928571428571429,0.0735402152927643,0.9305555555555556,0.008784104611578835
avalon,0.5068512234844466,0.03170728359309318,0.864484126984127,0.006724112382075601,0.7374716094794722,0.012711498505423344,0.6811200972940104,0.02770643148423556,0.5928571428571429,0.036421567954234194,0.8916666666666666,0.013608276348795427
ph3,0.1664807278912829,0.021779764744323152,0.6772817460317461,0.011790957360834133,0.5227168676583542,0.013745578565062193,0.3566054421768708,0.010182293064186535,0.6214285714285714,0.017496355305594177,0.5638888888888889,0.011111111111111117
tt,0.634408174625263,0.03357798582442243,0.8715277777777779,0.008682681145651225,0.7982845832840443,0.015878552016661093,0.7488161901955004,0.030104923846581616,0.7214285714285714,0.02672612419124243,0.9055555555555557,0.013608276348795453
kr,0.5099304073388998,0.11871420447445663,0.815922619047619,0.018461712523547,0.6221746655878396,0.011712243377731862,0.7036138697903404,0.06739088132089825,0.5642857142857143,0.1265717510476382,0.9111111111111111,0.01111111111111111
