,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.27974720946056064,0.055444561092279195,0.6810980392156862,0.05875677257747948,0.4956986966268214,0.05926915255799177,0.33472670807453414,0.039188216127257834,0.5066666666666667,0.053333333333333316,0.8211764705882352,0.020240765334217953
asp,0.654034812465969,0.08169773004508682,0.9579607843137253,0.0114370046328208,0.7638902655299364,0.04270584162008317,0.5311306614532421,0.08336798285375537,0.9733333333333334,0.03265986323710904,0.8423529411764706,0.042483459024159474
avalon,0.34774026397799507,0.07280491788408587,0.6934117647058825,0.013167130209526803,0.4883650145588371,0.03527562550713507,0.43427871148459385,0.10516513395870658,0.48,0.04988876515698587,0.8800000000000001,0.041694223874516094
daylight,0.4372725061440962,0.06312698777518332,0.8310588235294117,0.05778343213097557,0.5809844547928644,0.028781394835561087,0.44498084291187745,0.03603781803561264,0.6533333333333333,0.1359738536958076,0.8541176470588235,0.03837530924776491
dfs,0.4802110751040075,0.05074052816601601,0.8765490196078431,0.009221608443419045,0.6695468666327467,0.023519874682281044,0.496586327478776,0.027349054439920154,0.6533333333333333,0.09797958971132709,0.8823529411764705,0.02232195995412975
ecfp,0.37603789197689524,0.07799367312435923,0.7574901960784313,0.03203765566077471,0.5351107207541415,0.02271543888494014,0.49120879120879124,0.06004868612006262,0.43999999999999995,0.09043106644167025,0.9199999999999999,0.013719886811400708
estate,0.3729495735761428,0.01589988256726681,0.7210980392156862,0.015477830755819981,0.4996612006982569,0.033356179245013794,0.36831431659017866,0.015569874790453266,0.6666666666666666,0.0,0.7976470588235294,0.013719886811400708
fcfp,0.409267478844259,0.07593586340545667,0.7868235294117647,0.061353990804349064,0.6007793676843503,0.04654127779429385,0.4372314118629908,0.05217481596576747,0.5999999999999999,0.09428090415820632,0.863529411764706,0.020512465616662
kr,0.41720508332424827,0.0487918220868162,0.7297254901960785,0.025596039678290293,0.48932392707840944,0.035785046490683786,0.4471428571428572,0.04091914487417302,0.6,0.04216370213557838,0.8682352941176472,0.01560764607226073
lingo,0.3153488142088275,0.04212567574277353,0.7789803921568629,0.02445449445635147,0.4437997160081659,0.03139796481041718,0.29326458036984354,0.019449656677585667,0.7466666666666667,0.04988876515698592,0.6823529411764706,0.012887589588356842
lstar,0.6157562792304931,0.036744764759644354,0.9107450980392157,0.010804188459747486,0.7335943626455074,0.03019374307972743,0.7482936507936508,0.14118173193119196,0.6133333333333334,0.10666666666666663,0.9552941176470588,0.029199232108213787
maccs,0.32176692302578397,0.08063510916846134,0.6848627450980393,0.04057381575822791,0.3985920335197674,0.05332260587212659,0.398236777842041,0.04714284696033407,0.4666666666666667,0.11155467020454342,0.8776470588235294,0.015958423489706525
map4,0.4063717618000373,0.11298290023289392,0.9107450980392157,0.01832946378372807,0.5949224443125707,0.031499985952453825,0.6297435897435897,0.03066649515430984,0.37333333333333335,0.18184242262647807,0.96,0.021820278812931068
mhfp,0.48511539461686615,0.12022172839382476,0.8800000000000001,0.013466463392210071,0.5802764479397517,0.031339332966796696,0.5861291486291487,0.10761640387365354,0.5466666666666666,0.15999999999999998,0.9270588235294117,0.03749971164825702
ph2,0.19988308832683038,0.0056483821910218905,0.6760784313725491,0.013133449844037356,0.30961856203291116,0.0036104104602706806,0.20378968253968255,0.0023810763856596754,0.8666666666666668,1.1102230246251565e-16,0.4023529411764706,0.00880389973358573
ph3,0.34220966599116764,0.03028593104499198,0.7276078431372549,0.01649223600727931,0.35204780485093046,0.03635447408700544,0.31765475032903234,0.0054269603940223475,0.7333333333333334,0.07302967433402217,0.7223529411764706,0.024225012096439978
pubchem,0.2997301100103499,0.03194189271005664,0.7193725490196079,0.04293686073755458,0.4800190825788045,0.0576314285801308,0.4258261346496641,0.028566116915628055,0.37333333333333335,0.053333333333333344,0.9105882352941176,0.015958423489706525
rad2d,0.3862587057816765,0.0826136779054784,0.7898039215686274,0.03581832925327426,0.6138130402120952,0.024469139189942285,0.36639063980554526,0.04740727353650498,0.7066666666666667,0.09043106644167026,0.7835294117647058,0.024225012096439992
rdkit,0.39093787079033315,0.07426361408640732,0.7822745098039217,0.02218706946666569,0.5659837934575022,0.02703713565547849,0.3832110389610389,0.05380873884525997,0.6799999999999999,0.06531972647421806,0.8023529411764706,0.041024931233324
tt,0.48053399780061373,0.059308667583834206,0.8067450980392156,0.07363799564187654,0.5317414060373226,0.08225776996893042,0.6016017316017316,0.035774866630617734,0.5066666666666667,0.07999999999999999,0.9411764705882353,0.007440653318043219
