,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.41824567460327045,0.054168562920420014,0.872156862745098,0.01238123122238187,0.5945000632185445,0.012870514959785202,0.5696969696969697,0.0453027769325032,0.42666666666666664,0.05333333333333334,0.943529411764706,0.00470588235294116
fcfp,0.256260941386769,0.014921050971146436,0.7673725490196078,0.005923516106195809,0.5085353349529045,0.03613764653004823,0.3248089591567852,0.015580432955291873,0.4666666666666667,0.0,0.828235294117647,0.011997692973159498
estate,0.2824142381832677,0.08225722158400058,0.7712941176470588,0.016693910835311083,0.4154515902779184,0.021495866459848273,0.2673345789358515,0.037204553342880094,0.76,0.09043106644167026,0.6305882352941177,0.03294117647058822
pubchem,0.3017238601107604,0.054741634451163756,0.7352156862745097,0.017584026864428302,0.31978536433441157,0.01644242464985097,0.26752836711131756,0.02150988573369039,0.8133333333333332,0.07774602526460403,0.6070588235294119,0.025341952033574158
rdkit,0.47961898248031537,0.03450569870658014,0.8760784313725491,0.00887349686194882,0.5850085889396011,0.03215069169750686,0.45269979296066254,0.03140868390432976,0.7333333333333333,0.04216370213557842,0.8423529411764706,0.020512465616661986
rad2d,0.5074991012732099,0.027469410276306817,0.820235294117647,0.006699343216960855,0.6146933568514141,0.013550473392125248,0.6901010101010101,0.052265870823448204,0.4666666666666667,0.0,0.9623529411764705,0.00880389973358576
ap,0.42149847080185393,0.0353489577432678,0.880313725490196,0.0018953797605638506,0.5632626189238547,0.00662000801111964,0.5300432900432901,0.02744547775787743,0.48,0.04988876515698587,0.924705882352941,0.00941176470588237
ph2,0.12242368092916708,1.3877787807814457e-17,0.6003137254901961,0.007434036461849579,0.1850928445416256,0.0017539871617764176,0.1864406779661017,0.0,0.7333333333333333,0.0,0.4352941176470589,5.551115123125783e-17
maccs,0.2690679514120462,0.04090043138810884,0.7794509803921569,0.007229313645052816,0.4458107652222337,0.006652170483873529,0.29176760146874,0.0237215525718333,0.6133333333333334,0.04988876515698588,0.7364705882352942,0.021820278812931075
mhfp,0.14285681370009992,0.07425245071910226,0.8825098039215687,0.011552597734601957,0.5935390213066489,0.012128666339993006,0.48,0.276767050061961,0.09333333333333334,0.03265986323710904,0.9741176470588236,0.013719886811400699
lstar,0.29973955391945123,0.04939208250147092,0.8975686274509804,0.014373284629277207,0.7140978356948967,0.0610277635225653,1.0,0.0,0.10666666666666666,0.032659863237109045,1.0,0.0
daylight,0.3672213855661663,0.06552754806670882,0.8243137254901962,0.012782148258800573,0.42340349908732433,0.02194356521014949,0.39397406559877957,0.030994445100085553,0.5866666666666667,0.0979795897113271,0.8423529411764706,0.011997692973159484
lingo,0.2634088724571798,0.043610268247577855,0.6942745098039216,0.007642935036912836,0.4736157881847104,0.01698132746083406,0.3556862745098039,0.042915651828406134,0.4133333333333334,0.02666666666666666,0.8658823529411765,0.020512465616662
dfs,0.6136026890554198,0.036163844961431525,0.9088627450980393,0.01805898320169561,0.7233199489839691,0.024532820000367554,0.831111111111111,0.04786813161897333,0.5199999999999999,0.026666666666666665,0.9811764705882353,0.005763505277136924
asp,0.4838112151717014,0.040675322080589486,0.9234509803921569,0.004369690439900884,0.7011933192369973,0.01678737412716061,0.9266666666666665,0.09043106644167022,0.29333333333333333,0.03265986323710903,0.9952941176470589,0.005763505277136869
ecfp,0.4998923525705449,0.03318699670377897,0.8511372549019608,0.01074710157362239,0.570084213024471,0.031136729108751388,0.6336829836829836,0.031789778727903256,0.5066666666666666,0.03265986323710904,0.9482352941176471,0.005763505277136869
avalon,0.3835872877839491,0.05161586759589856,0.852392156862745,0.018086213288334044,0.5642645036105783,0.01702065902409066,0.5926190476190476,0.055880906729950705,0.3466666666666666,0.0498887651569859,0.9576470588235294,0.00941176470588237
ph3,0.014178917713787029,0.010872479219909695,0.604313725490196,0.006215407923500843,0.24588041345426187,0.02334470189069872,0.15324303176415854,0.0024436909250094585,0.7333333333333333,0.0,0.2847058823529412,0.0137198868114007
tt,0.5195276301656448,0.046902566039201996,0.8309019607843137,0.015107763611400109,0.6383001794103241,0.011675869069747765,0.9047619047619048,0.07824607964359515,0.3466666666666666,0.0498887651569859,0.9929411764705882,0.005763505277136869
kr,0.2404193782342275,0.042216984131554,0.7883921568627452,0.009738132200890169,0.42287727964444943,0.015569756616884357,0.33309253525971794,0.03140632705648348,0.39999999999999997,0.0421637021355784,0.8588235294117647,0.007440653318043254
