,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.5464704520026189,0.04541219506248491,0.9258865248226952,0.020938507720900033,0.5778592649180885,0.11284237438801921,0.4235897435897436,0.04002464723876739,0.8,0.0666666666666667,0.9297872340425531,0.010848977688495293
asp,0.37613641505619827,0.09782422689465797,0.749290780141844,0.03891995425089043,0.4756305572714615,0.04718301534132984,0.3811111111111111,0.12289461509664729,0.4666666666666666,0.06666666666666668,0.946808510638298,0.01780127716029948
avalon,0.38750208087453897,0.06629321544725782,0.874822695035461,0.02263955985746433,0.5444669327700294,0.09091565368226218,0.2685045948203843,0.04628655705834935,0.7333333333333334,0.08164965809277264,0.8702127659574469,0.01950032210619507
daylight,0.2711093364735773,0.03757007182528493,0.6397163120567375,0.057205517248441896,0.38906211600844054,0.016913227597754207,0.3053968253968254,0.05903054882117822,0.3333333333333333,0.0,0.9489361702127658,0.01411329698023577
dfs,0.3962359204170072,0.07336791955780635,0.7177304964539007,0.04261815372361309,0.4538903174427773,0.04365989261334409,0.4323809523809524,0.06327422949284987,0.4333333333333333,0.08164965809277261,0.9638297872340427,0.005211680303793977
ecfp,0.3403498353133608,0.0341995239207731,0.8914893617021276,0.029634868674859868,0.5097826527859668,0.012926783350002524,0.18774503871278064,0.022666049394234618,0.9,0.08164965809277258,0.7468085106382978,0.04329146797739531
estate,0.2991764258313413,0.051153651941658336,0.8920212765957446,0.007056648490117874,0.4751532537844225,0.06211550935311877,0.2118295739348371,0.013951055274304083,0.6333333333333333,0.12472191289246473,0.851063829787234,0.017801277160299493
fcfp,0.2583628682151712,0.05954444432639683,0.7578014184397164,0.07160662453031787,0.43941370101889854,0.013642312914106539,0.22263736263736264,0.046739352597895245,0.4666666666666666,0.06666666666666668,0.8936170212765957,0.016480780196627288
kr,0.2621378143562576,0.028141737152802684,0.8099290780141845,0.03061579814772961,0.39088103239999217,0.04235492460122422,0.1749697320223636,0.021904849744186675,0.6666666666666666,0.0,0.7957446808510638,0.028860978651596914
lingo,0.38776924784558925,0.014170704777571411,0.8617021276595744,0.034852942908668416,0.42596314601577756,0.032644853459149775,0.2906959706959707,0.015522839722372499,0.6666666666666666,0.0,0.8957446808510638,0.007960973163348829
lstar,0.44409262593393023,0.06164406511419911,0.7609929078014185,0.041904031905595586,0.5226102753375986,0.04397663361472323,0.46571428571428575,0.09922145916677336,0.5,0.0,0.9595744680851063,0.018302819717111986
maccs,0.3569075092046945,0.08423574536362283,0.9205673758865247,0.006857829647451691,0.4962345730054036,0.03017682146496707,0.2469438301636444,0.03470284283328079,0.7000000000000001,0.16329931618554525,0.8659574468085106,0.012765957446808513
map4,0.35576691640480174,0.11416262451393575,0.7705673758865249,0.02824885995270133,0.3965897600750712,0.061157970991368334,0.47777777777777775,0.15650503877030228,0.3333333333333333,0.10540925533894598,0.9702127659574469,0.023692614309915018
mhfp,0.41942016053934383,0.08375057577050297,0.824468085106383,0.07197795436235611,0.4614492635866208,0.05115882999286249,0.4457142857142856,0.04553536414431207,0.4666666666666666,0.12472191289246472,0.9638297872340426,0.005211680303793976
ph2,0.18949203600259296,0.0026010847274897165,0.8152482269503546,0.004104906703117073,0.4118768731268731,0.03221716895112143,0.0937591575091575,0.0009267426414125751,1.0,0.0,0.3829787234042553,0.006728250340783795
ph3,0.41974497806655353,0.00529249022949977,0.898936170212766,0.02027798362481678,0.4188786161715223,0.030856431648303238,0.22564102564102564,0.00418716195347553,1.0,0.0,0.7808510638297872,0.0052116803037940305
pubchem,0.4108278110775182,0.03071938373747678,0.8900709219858157,0.02426553018031632,0.5251222075752151,0.11246222967924357,0.3858225108225108,0.037468401509449516,0.5333333333333333,0.06666666666666667,0.9446808510638298,0.012406280627330459
rad2d,0.40875288389288505,0.05305740753452799,0.9393617021276596,0.018744078420429064,0.5819281032740113,0.020128256886702826,0.22518978605935125,0.028946743608879704,0.9666666666666668,0.06666666666666665,0.7851063829787235,0.024629440218702597
rdkit,0.2820608030631772,0.052422887231515246,0.750709219858156,0.04911827561863814,0.45924452036107316,0.017010143440875692,0.249010989010989,0.04275615037771012,0.4666666666666666,0.06666666666666668,0.9085106382978724,0.017285188094970115
tt,0.32937272194213757,0.060463203169316776,0.8925531914893616,0.019699211932384633,0.4568122728661944,0.0390571237924615,0.22367149758454108,0.040921039751175114,0.7,0.0666666666666667,0.8404255319148936,0.02932776330231962
