,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.43424447389399035,0.016920316244494218,0.7308510638297874,0.013979009464132643,0.42013492548551445,0.0047041951255033755,0.4428571428571429,0.02857142857142858,0.5,0.0,0.9595744680851064,0.004255319148936154
fcfp,0.5821037116462159,0.0447919055311066,0.9478723404255319,0.0028808646824950127,0.5143489843489844,0.01702073648058452,0.40527472527472524,0.019833871072841257,0.9333333333333333,0.08164965809277258,0.9127659574468086,0.004255319148936155
estate,0.1626684757300706,0.01470134305760917,0.8398936170212767,0.010240800764676377,0.4599982701532431,0.05529473281266617,0.13117391304347825,0.0101831990323808,0.5,0.0,0.7872340425531915,0.017801277160299493
pubchem,0.4474373603909204,0.09110246639162961,0.8868794326241135,0.00878688772578997,0.6388273091518355,0.018044190748281966,0.36173160173160174,0.05149048119669359,0.6666666666666667,0.149071198499986,0.925531914893617,0.011653671436280126
rdkit,0.3781877902948909,0.0,0.8205673758865248,0.009274253071363162,0.5061543735072728,0.002132817552932465,0.5,0.0,0.3333333333333333,0.0,0.9787234042553191,0.0
rad2d,0.523674876208579,0.055373092630230034,0.9627659574468085,0.004043175266308981,0.6848351648351647,0.01962808738939796,0.48888888888888893,0.050345242943345095,0.6333333333333333,0.06666666666666667,0.9574468085106383,0.006728250340783795
ap,0.2594970481200686,0.011275779330792922,0.7982269503546099,0.007215244662899195,0.45744209068184166,0.026323663097671177,0.21186813186813186,0.011407419140537126,0.5,0.0,0.8808510638297872,0.007960973163348782
ph2,0.12499578536282041,0.0,0.7195035460992908,0.0007092198581560182,0.2612617702448211,0.03333333333333332,0.0847457627118644,0.0,0.8333333333333334,0.0,0.425531914893617,0.0
maccs,0.31490891784820185,0.0,0.8822695035460992,0.00781752045569098,0.546606536875079,0.01991436481562923,0.2727272727272727,0.0,0.5,0.0,0.9148936170212766,0.0
mhfp,0.39113085885820403,0.0,0.7801418439716312,0.03688625141544918,0.5883711550143644,0.006012398931920027,0.375,0.0,0.5,0.0,0.946808510638298,1.1102230246251565e-16
lstar,0.3863616650441034,0.059481589719056156,0.9429078014184397,0.006480732937055707,0.5251050023534543,0.026726092798838898,0.31606060606060604,0.038683571872079874,0.5999999999999999,0.08164965809277258,0.9170212765957448,0.007960973163348782
daylight,0.42147844804340345,0.03397334190895002,0.8382978723404255,0.005975992746933584,0.5224962261401526,0.01563308066365732,0.4238095238095238,0.053026327265047836,0.5,0.0,0.9553191489361703,0.010423360607587993
lingo,0.5355391944494411,0.07045715008873671,0.9382978723404255,0.007555771543497344,0.6280671786933396,0.02415085621118394,0.7166666666666666,0.04082482904638632,0.4333333333333333,0.08164965809277261,0.9893617021276595,1.1102230246251565e-16
dfs,0.41491069027629346,0.06984812993042319,0.823758865248227,0.004568829335718096,0.4409449334745853,0.009300773697205897,0.5,0.06324555320336757,0.39999999999999997,0.08164965809277262,0.9744680851063829,0.005211680303793976
asp,0.2537057351232258,0.012127073872394199,0.8003546099290781,0.009151409858555991,0.32596542801883355,0.0040566924558948685,0.20615384615384613,0.01230769230769231,0.5,0.0,0.876595744680851,0.00851063829787231
ecfp,0.5216478327053429,0.0,0.9092198581560285,0.014977809987193499,0.5311311664485039,0.02195822268650154,0.6,0.0,0.5,0.0,0.9787234042553191,0.0
avalon,0.41454775666069565,0.03586977295595853,0.9078014184397164,0.012537354276357238,0.6278148870317877,0.006656512908963803,0.4130952380952381,0.056293287702556614,0.5,0.0,0.9531914893617021,0.010848977688495295
ph3,0.19474850038595692,0.0804734548580217,0.7622340425531915,0.06284804505123637,0.23238288709978788,0.07437842488587292,0.13133574634499706,0.04013528862054222,0.7,0.12472191289246473,0.6680851063829787,0.14007047311176846
tt,0.45982385481684335,0.06074507214996869,0.9326241134751772,0.012537354276357252,0.5555669793169793,0.016113743869223828,0.4923809523809524,0.10255688095978517,0.5,0.0,0.9638297872340426,0.015921946326697602
kr,0.3236896580795642,0.010754166565382778,0.8088652482269504,0.03521903267499327,0.4966010613197957,0.01047903145135131,0.28363636363636363,0.013360853142453704,0.5,0.0,0.9191489361702126,0.005211680303793976
