,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.7241227701176287,0.008315787368860952,0.1591099718316304,0.005797085973092701,0.11187598600856155,0.004400350591008037,0.06236805969727767,0.002686193020702284,0.5439999999999999,0.01913693345920976,0.8578475760172418,0.0029228958889662066,0.13505178551181043,0.006307405169081017
avalon,0.6818008880579575,0.005725764297040283,0.23309383931892805,0.006994519884285755,0.22324451283404062,0.006181755098921294,0.15671366928975325,0.004392679889773356,0.388,0.011469767022723515,0.8659551816364155,0.001586252534577405,0.1776837861886923,0.0005061959843376423
tt,0.7438074316429072,0.008323420196159306,0.14191492943508005,0.005693016277173417,0.08624106258528767,0.0031163674028608264,0.04622286622318643,0.0017212609393731952,0.6426666666666667,0.014360439485692019,0.86106940874036,0.001859082074657509,0.15144451981837273,0.0047706730378561804
maccs,0.7049834073381631,0.0068940407757429045,0.22334715838931593,0.008276485808283163,0.1992700938639003,0.007471507920246509,0.12837749252988434,0.005366968980286768,0.4453333333333333,0.013597385369580751,0.8689501700812755,0.0018043252697184902,0.1983669119863814,0.004987084072926656
fcfp,0.7710812495131261,0.006266073652915001,0.161980512276175,0.005077616627489358,0.09782027279827783,0.0034236913156038373,0.05266528839945515,0.0019512271878438822,0.6866666666666666,0.011155467020454333,0.8438400457012282,0.001255963281061366,0.14436793265560965,0.0008574274150495282
ap,0.6798671029056633,0.007171871068492058,0.15967158862538233,0.004980940648789261,0.13150172595587784,0.0031183202232302936,0.07805812018238303,0.00183858283084488,0.4173333333333333,0.015549205052920793,0.8283264521824932,0.0024636084331397406,0.1641408561994268,0.0053678160260599815
rdkit,0.5689495988159228,0.002674123990471288,0.18545474432700046,0.007796801890603065,0.18403040295591558,0.006972949848839379,0.25949386876207253,0.013576159874755434,0.14266666666666666,0.005333333333333333,0.8771046194593752,0.0025762844453071786,0.13596239999026122,0.004048608678346366
map4,0.5452132118096128,0.00249276930929313,0.1890888747418279,0.008917230369664998,0.14997373566729555,0.007516424155994911,0.4060918003565062,0.01921784197459795,0.092,0.0049888765156985895,0.8481458284645944,0.0029258969431767558,0.1298011254811095,0.00414148483969475
mhfp,0.614107034353821,0.002428336587735068,0.3054258353426481,0.00599308580352528,0.2982123531610267,0.004850903769779644,0.4179185794099854,0.01577862894975677,0.23199999999999998,0.004988876515698591,0.8742105891823115,0.002306788044771411,0.2283634712456442,0.010617525563778008
pubchem,0.6846881670172159,0.005823007853290739,0.2194333422371888,0.010647417744686244,0.20451215776121073,0.010950805909284152,0.13761451142647468,0.0089631007451774,0.39866666666666667,0.010666666666666672,0.8603422918127288,0.0015098930315791132,0.18691216994007984,0.004191446109640907
daylight,0.6353814754226066,0.006906578756700518,0.1668239422675036,0.005856261541781324,0.16198830133853287,0.004508673478827699,0.11119671185543656,0.0031032521485213176,0.29866666666666664,0.014847371634213383,0.8228925761470748,0.0028697161073781307,0.11502821584889092,0.0038383450047274324
kr,0.7233722832437486,0.009747289197238763,0.13824179711562623,0.005947441430940895,0.08936178699533444,0.0030763191939505528,0.04841248562091722,0.0016958282918687992,0.5800000000000001,0.02022100118413745,0.8455023240113213,0.001787062042933989,0.17846322064877823,0.0038056635788272074
lingo,0.716996806107346,0.008195464419627553,0.10266665340276608,0.0031673843247440434,0.05555000707652883,0.0009144191988766355,0.028899664440739964,0.0004885454116914526,0.7146666666666667,0.024729649321321875,0.8153842278829426,0.003976365943304902,0.14335705474612886,0.005162028458341901
estate,0.6867506426735218,0.0033869889441238647,0.08517472642310278,0.0013929679365739924,0.04761300216600351,0.00037127104416037187,0.024651456543946185,0.00019372313972597182,0.6946666666666667,0.00979795897113269,0.7717563812936563,0.0031938152515092423,0.10636808468983153,0.002531819568262241
dfs,0.6609165692918906,0.005075879627853774,0.1801277145040965,0.005860059403946327,0.16636752976538252,0.004946781752745601,0.10854910893792583,0.0033157724459216146,0.356,0.009977753031397177,0.8664302666770534,0.0021256802395681735,0.13951079839005073,0.00398710012952451
asp,0.6942795045571396,0.007349970027579522,0.18714891077544377,0.006893102912269107,0.15871172445969609,0.005481463557196314,0.09702936080623929,0.003589255666061596,0.43600000000000005,0.014966629547095768,0.8630823401106177,0.0020931732566203923,0.1409292049266108,0.004493540915901203
lstar,0.6688378904728519,0.004942865689195781,0.17428419516314292,0.002898283078541933,0.1550300492644529,0.002650044870028004,0.09750934641374567,0.0023243766782351225,0.3786666666666666,0.011469767022723499,0.8548012775570616,0.0012806562739751174,0.1846740625115338,0.0031548812954540536
rad2d,0.7309355768481732,0.001508160730371911,0.2025785142860017,0.004460429347842311,0.1603375003313209,0.005340223666261163,0.09481187505264077,0.0038116716845554423,0.5199999999999999,0.004216370213557832,0.8900424813689597,0.0014127423740577746,0.22763992037939867,0.0062054445947658235
ph2,0.5153739970398068,0.0016595634637346023,0.010071291622528525,0.0010816032904880722,0.023588840946520046,8.519595155651677e-05,0.011949409376096832,4.31942881679837e-05,0.9093333333333332,0.003265986323710925,0.5714192308691025,0.010905275809234963,0.024593957692893104,0.0012843609080707384
ph3,0.5594891329749941,0.004951970069291917,0.025480019688148104,0.002098235881245574,0.02820560711118931,0.00038339640851883837,0.014451081337241684,0.00019094892705355106,0.5853333333333333,0.017587874611030556,0.6043930824959103,0.0022026972855502813,0.026982856873505802,0.002521387677808285
