,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.8196167338456531,0.0023832136026046722,0.4432847766214296,0.003594090045718812,0.46844134381505265,0.0031350216521466323,0.33059129435290846,0.0028569684189468183,0.8035264483627206,0.0048958454196853796,0.9013587978563082,0.00048685935890226925,0.5363513539917003,0.002906497891208734
avalon,0.8285624294791472,0.0006087284563030299,0.5443995978071781,0.001081460604002291,0.5809823268501749,0.0009594986516431268,0.4789723680084859,0.0009443287581658819,0.7382031905961377,0.0011138958154006415,0.9264959674101483,0.0003017166792866872,0.5993241046130184,0.00113610998563921
tt,0.8271547670601741,0.000766867934567037,0.43970401825355354,0.0016193118646133655,0.45803195819557485,0.0017474481616308786,0.31510416438783706,0.001783513035723152,0.8382871536523929,0.0020290589376313344,0.9160136681264109,0.0003538197618045815,0.5622334484672586,0.0034910366347366117
maccs,0.8417994444601039,0.000426213788958402,0.49583519983479113,0.0010279170686023071,0.5193498620841716,0.0010587154376267226,0.38042081823001234,0.0011664349838322896,0.8181360201511335,0.0008562585245328101,0.9186534079633649,0.00019045138604470243,0.5877416119588217,0.0012919988603223643
fcfp,0.8280471414551147,0.0012356912507003898,0.4478503112744431,0.0022144292561471447,0.4681271046348905,0.002162983401379943,0.32614774897400944,0.002120959149149751,0.8290512174643156,0.0026338181597578857,0.9084640255744239,0.0002672318228036708,0.5606583303457929,0.0012745500451441178
ap,0.8420735629120746,0.0006189610220979847,0.5348408940845882,0.001698951301350355,0.5651475597897215,0.0019951103539157878,0.44176222636180196,0.003063526069844641,0.7842149454240135,0.002433480561912576,0.9233563427412387,0.0002993994345101419,0.5980614339090911,0.002618325358705998
rdkit,0.8387545665054883,0.0008555654617044462,0.5086922013304598,0.00121025710687835,0.536589157819823,0.0015852032981873625,0.40480785347093173,0.002478218595504112,0.7956339210747271,0.0031236062531885974,0.9212951621734046,0.0002327242598290639,0.5885843861009784,0.0011590781040203388
map4,0.80088349122317,0.0021595623562492895,0.49435201497288367,0.004670404192407327,0.5370092552276209,0.004531329418799393,0.4392651184592162,0.006440747352902233,0.690848026868178,0.0051320593752934,0.9034446064484424,0.0005153183542871236,0.5397434375814271,0.0013722104039352685
mhfp,0.8188369579236611,0.002114299773683267,0.5388668793394462,0.0029459139166279342,0.5781138800450337,0.0026294042626696904,0.4856911009513899,0.00331139294058237,0.7140218303946264,0.004767445698263089,0.9184649679878392,0.0004884648074073366,0.5693166306249829,0.0035708277184107566
pubchem,0.8585275032393682,0.0007049277821414667,0.5813846903272608,0.0013540508322811649,0.6100379287851205,0.0012176396661807971,0.4929154984416724,0.0011994681569813316,0.8001679261125105,0.0011874169289446753,0.9407432865856418,0.00021653586822700937,0.6835325478759332,0.0008712538403640437
daylight,0.8262822943866043,0.002009936155072323,0.505601838548271,0.003366961285323365,0.5393419841981871,0.002924580703690648,0.4182317620368555,0.0026524137768025664,0.7591939546599495,0.0036172391651617493,0.9130434500986402,0.0001551433606265708,0.5698993000589506,0.0008859122212651347
kr,0.8488155913330994,0.0024480490778886217,0.47663338849235537,0.0022148613214623292,0.48999785518502825,0.0011435852063172757,0.3416368860536007,0.0007157686327529159,0.8661628883291351,0.006137923386229077,0.9249324722351057,0.0002754607782311221,0.5994603498745563,0.0012017111517945273
lingo,0.8239918027115882,0.0007392019484809462,0.46533926069494963,0.0014649323813109645,0.4931200681000426,0.0013463848087878305,0.35819982668512845,0.0012683866734540111,0.7910999160369437,0.0009791690839370567,0.9096950139497115,0.00016928035555575523,0.549616461416579,0.0015523203460570613
estate,0.7274775721266569,0.0026014814942849755,0.30420927174136303,0.0049885842658582745,0.3572038792279392,0.004465124660921279,0.24475067307950246,0.00410469512528877,0.6609571788413098,0.0023389400969242784,0.8082543884149775,0.0005531928358636176,0.32782770001967554,0.0016541114281648044
dfs,0.8321505048460264,0.002333151203480833,0.5175312451579579,0.004052815460224707,0.5501333803974356,0.003563502825448904,0.4286917907408947,0.003326536850873837,0.7675902602854743,0.004127021235077939,0.9192404945079506,0.0005149545568776073,0.5601573640832531,0.0012823829562505474
asp,0.8333855646750423,0.0014811731365824041,0.4770136335178926,0.0020978102268154547,0.5015079144926574,0.0016872724162338394,0.3631387526262086,0.00133939489057636,0.8102434928631401,0.0028596786508692795,0.9145360934373006,0.00038433349438347713,0.549447672063234,0.001706906702490138
lstar,0.8147812561659036,0.0007566719260184007,0.42797630946038073,0.0009176149654299841,0.4522194979166853,0.0009693210110145073,0.3140156836955693,0.0011143552372670817,0.8077246011754828,0.0024334805619125916,0.8876744141021492,0.0005318953581976274,0.46930158506842634,0.0016046771113148116
rad2d,0.8544068859955942,0.0015059352646614422,0.5145254232902076,0.0031300464663665435,0.5343827427332595,0.0029272019243387353,0.39169015104471083,0.0028036361266135915,0.8406381192275398,0.0019438852901411158,0.9232708849205029,0.0003788698980095056,0.5760994722404217,0.0025270047650038287
ph2,0.5907999808670146,8.728068956416273e-05,0.17441462170403454,0.0002899249940844551,0.2533474025747669,0.00020905138388336298,0.24240625032937935,0.00038265276399021195,0.2653232577665827,0.0,0.6202730564573968,0.0007260093592129733,0.1646791991746968,0.0007013001661639436
ph3,0.7129924288043676,0.0009163967384636358,0.2706698517660645,0.0011847524054064856,0.3248966319674259,0.0008301810332404454,0.21364339440603283,0.0005693995843768,0.6779177162048698,0.0016453331605596239,0.7852655370802666,0.00020153433750617574,0.29405562994043083,0.0008651268253870437
