,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.7335047620881572,0.0016438122619392484,0.3746438041187078,0.003331170742779501,0.427747424212253,0.003078483190297854,0.3431858615433557,0.003813018941506008,0.5676657584014533,0.0034941660420838047,0.8685144430674514,0.000493350850874945,0.4192635670210666,0.0014713323165946224
avalon,0.700528476475656,0.0018737685063194007,0.426772836496878,0.0034544228868020658,0.47099605483952683,0.0032363355885598193,0.5053154476587085,0.0035397543886837098,0.4410535876475931,0.0037492765559582653,0.8994033845296592,0.0005073433353533531,0.4798235722506827,0.0020143649932689556
tt,0.7732539277541732,0.0015020677753171685,0.36864799634185147,0.0013761290398005925,0.40211446235768633,0.0008612257358347076,0.27922016291674456,0.0007007239000706018,0.7182561307901908,0.004037440648663561,0.8732540194518223,0.000459893665837303,0.3952472566486304,0.0021596593633642336
maccs,0.7488711560918646,0.0006888569702407832,0.38647045020720244,0.0009684302759325393,0.43537202724535273,0.0008442190962284871,0.3393242457703633,0.0008888199486820985,0.6072661217075386,0.0015836145117313885,0.8766875309384048,0.0005380288189202376,0.4174732251671089,0.0015600882181630866
fcfp,0.7746922512277169,0.002773782290578469,0.35724111962930266,0.004326575023654643,0.3863755515728741,0.0036151998806391947,0.2608308973079906,0.002888483454932778,0.7449591280653951,0.0039129262903792855,0.86661927426507,0.0009041901819979886,0.42411681706522775,0.0020376615356146903
ap,0.7608553281606689,0.0009621881615434157,0.42329000623749025,0.0018404675895802788,0.47046446904672107,0.0017849899115950053,0.381339866524802,0.0025911277867890774,0.6139872842870118,0.0025039143963833167,0.8913379573401141,0.0002489518620150968,0.4673342663826519,0.002063770532875114
rdkit,0.7104141707712825,0.0013532094697782826,0.3693087493095469,0.001843759361835025,0.4261962019565154,0.0016332147039508076,0.372035005941701,0.0010748484058544683,0.4988192552225249,0.002895073106359506,0.8765962841361692,0.0003280661831856612,0.4036699419866244,0.0015517641666473352
map4,0.6190599523814109,0.0016297184635439214,0.34849376362051043,0.005815353403517622,0.35396914655034883,0.0042815665465239065,0.5756532825669135,0.011852667627622177,0.2555858310626703,0.0030720317030495476,0.8541218322474039,0.0011684135968304367,0.409474169102351,0.0029999049588200996
mhfp,0.7087730579469539,0.0020392431495854678,0.43470045800123047,0.0037112685918367144,0.48003809149853705,0.003382001050061695,0.5022298458624677,0.004974836301882376,0.45976385104450496,0.004352097566107517,0.8768121862507627,0.0008218804639833672,0.4576826739840305,0.0017681182063871061
pubchem,0.7713612882786104,0.0008358854079387455,0.38169739083313337,0.0017320615696160408,0.41935765811245435,0.0019906625516384804,0.30093044768502014,0.0024859057408826535,0.6915531335149863,0.00327983107815944,0.8790382918684208,0.0005214906883856773,0.4275437905386423,0.0007806931315932431
daylight,0.735014563879104,0.0013453933397156706,0.31262884845998284,0.0018560326613289392,0.35748674988750573,0.001576530296918638,0.2455455810252564,0.00143943470764041,0.6570390554041781,0.003279831078159457,0.839274515710329,0.00039376676105778974,0.31455874358810787,0.000578198883493962
kr,0.7851306989515748,0.0023843106365011796,0.39002110532989875,0.003662388276082434,0.42103287267305173,0.0030533721335978445,0.2955212050760065,0.0024682875998586376,0.7318801089918255,0.003996366939146202,0.8786081458383862,0.0006350874016579112,0.4057892990178362,0.0019753034501085957
lingo,0.7410341706704152,0.0031288470159573883,0.36437988116930436,0.00427082750233342,0.41436903967769717,0.0034610927835735795,0.3155633440392346,0.0024968223628007388,0.6032697547683924,0.00638116914450512,0.8640081531436323,0.000502207507363292,0.39237462228291975,0.0016718716922834041
estate,0.7023828321827572,0.00206460134317124,0.23854688390521517,0.0027184180798895874,0.2844282975890092,0.001969874098089005,0.17800230363085148,0.0014124679726187192,0.7073569482288828,0.00225425497656513,0.7871973194331925,0.0013410122910887153,0.27696655152567473,0.0028204458613789126
dfs,0.7435115202048893,0.0017794127060904363,0.3928063517809683,0.003717987197608633,0.4437289625709172,0.003456352431834179,0.35774217808803616,0.004266739650344881,0.5841961852861035,0.003651180970434482,0.8800326611742832,0.0009871512364294287,0.43421335021520396,0.0035878346989396443
asp,0.7586799848332089,0.0023375494930681097,0.4067284612591102,0.002685477669598842,0.4536576247513741,0.002093777490436268,0.3574622877303451,0.001173610194293321,0.620708446866485,0.005220747634223393,0.885195063059709,0.00043232805512030854,0.44562291379661334,0.0015381952232406781
lstar,0.7432867234183416,0.005822135883543328,0.3619855800239293,0.002409681047711557,0.4106610467750035,0.0027187379740267045,0.30876501684152186,0.007357397126515262,0.6141689373297002,0.019744273575469505,0.8591953561865271,0.001452837046346736,0.40182537319097944,0.004435221942211469
rad2d,0.7748175789895011,0.0018485260577096618,0.4146151614623199,0.0025860372241605025,0.45589725571177125,0.0024494768604652493,0.34660347753922827,0.003045732178356628,0.6659400544959129,0.004819799876992398,0.8900139120616488,0.000846102566930439,0.42630226905333374,0.0022446215807175565
ph2,0.5314480755185158,0.006326062789749918,0.0746011872875316,0.0248308393422235,0.14627071081709228,0.006731967382644292,0.16850015202715313,0.04000590056374935,0.2534059945504087,0.2765675777643319,0.5465672297360804,0.0019215266822391742,0.10509463862334294,0.0025114678957169137
ph3,0.5744493900043144,0.001441630862613995,0.08637176342383338,0.002120103782253272,0.18915232136474222,0.001397239770341323,0.11678636179394805,0.0015181809924642877,0.49772933696639426,0.010323903533793163,0.6281451414841234,0.0007973017198775039,0.14044168560961232,0.002354404237504397
