,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.6690948040819507,0.0,0.10054501682334102,0.0,0.06857679661813058,0.0,0.036887316826680144,0.0,0.4866666666666667,0.0,0.7866347277401261,0.0,0.036037395628648494,0.0
avalon,0.6660006231985667,0.0,0.07340010160125114,0.0,0.04217714400482024,0.0,0.021743632221992132,0.0,0.7,0.0,0.7318688167017215,0.0,0.025102298084477125,3.469446951953614e-18
tt,0.5862763885643063,0.0,0.03700969462025555,0.0,0.029726350882066953,0.0,0.015179458079160163,1.734723475976807e-18,0.7133333333333334,0.0,0.5861647321544494,0.0,0.014139016740804228,0.0
maccs,0.5182285580743164,0.0,0.02090027332876927,0.0,0.023679848448969927,0.0,0.011981787682722261,0.0,1.0,0.0,0.5197865544909246,0.0,0.012020193925795336,0.0
fcfp,0.645517644309418,0.0,0.062197371169981606,6.938893903907228e-18,0.035432484740211406,0.0,0.01812090756814375,0.0,0.7933333333333333,0.0,0.6454981693542104,0.0,0.01702036325816426,0.0
ap,0.5445719404845368,0.0,0.021501981989510404,0.0,0.025479026411185914,0.0,0.012940557601262493,0.0,0.82,0.0,0.5458640388460438,0.0,0.012734013390705002,0.0
rdkit,0.5766892576147075,0.0,0.03455338681113261,0.0,0.03225806451612903,0.0,0.016674177557458314,0.0,0.49333333333333335,0.0,0.6201080210848848,0.0,0.01562024081283056,0.0
map4,0.5075866635506738,0.0,0.006155353557677986,0.0,0.023185069472991857,0.0,0.011737284608340963,0.0,0.9399999999999998,1.1102230246251565e-16,0.5032637428267248,0.0,0.011625643222721832,0.0
mhfp,0.493875516086313,0.0,-0.0034478926953371873,4.336808689942018e-19,0.022447102115915364,0.0,0.011380597014925373,0.0,0.8133333333333332,1.1102230246251565e-16,0.49514034951052927,5.551115123125783e-17,0.011387116531708213,0.0
pubchem,0.5598083664407572,0.0,0.03501979599194376,0.0,0.02598808879263671,0.0,0.013172338090010977,0.0,0.96,0.0,0.5598722442938382,0.0,0.013109758924946483,1.734723475976807e-18
daylight,0.6832928254265016,0.0,0.07942294213941352,0.0,0.041980624327233575,0.0,0.02157079646017699,0.0,0.78,0.0,0.7285518423307626,0.0,0.023025052801880462,0.0
kr,0.6668434992599517,0.0,0.07215749107839907,0.0,0.04,0.0,0.020545454545454544,0.0,0.7533333333333333,0.0,0.6668434992599517,0.0,0.018326578606578606,0.0
lingo,0.5721118641427125,0.0,0.03447739178467865,0.0,0.0272137324680762,0.0,0.013823904721395153,1.734723475976807e-18,0.8666666666666668,1.1102230246251565e-16,0.5721118641427125,0.0,0.013520718965210671,0.0
estate,0.5059982862039417,0.0,0.011841592783865216,0.0,0.023107140106292844,0.0,0.011688615288708798,0.0,1.0,0.0,0.5059982862039417,0.0,0.011688615288708798,0.0
dfs,0.6538248812027732,0.0,0.07470368940834121,0.0,0.047752808988764044,0.0,0.024926686217008796,0.0,0.5666666666666667,0.0,0.7199049622185869,0.0,0.023027232391509184,0.0
asp,0.6383617667679364,0.0,0.06495472011253553,0.0,0.0429618397776093,0.0,0.02232729183083793,0.0,0.5666666666666667,0.0,0.7128425644621017,0.0,0.021269925980075557,0.0
lstar,0.6674300849108047,0.0,0.10448279129148655,1.3877787807814457e-17,0.07322175732217573,0.0,0.039727582292849034,0.0,0.4666666666666667,0.0,0.7742657941886734,0.0,0.033111264935769935,0.0
rad2d,0.6388899275531666,0.0,0.07863117321213176,0.0,0.05618448637316562,0.0,0.02997762863534676,3.469446951953614e-18,0.44666666666666666,0.0,0.6388899275531666,0.0,0.019781013848127943,0.0
ph2,0.5023369946249123,0.0,0.007364454947878409,8.673617379884035e-19,0.022941041523285154,0.0,0.011603620329542817,0.0,1.0,0.0,0.4990579315000909,0.0,0.011534426386710685,0.0
ph3,0.5093806964243982,0.0,0.011410977502348568,0.0,0.023264953234300084,0.0,0.011771255865744054,0.0,0.9866666666666667,0.0,0.5095749266443355,0.0,0.011774031699086125,0.0
