,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.7551081440747963,0.0,0.3525963886478457,0.0,0.3986387943607195,0.0,0.28053369825521723,0.0,0.6884970612930311,0.0,0.8314063683800084,1.1102230246251565e-16,0.3077088299553594,0.0
avalon,0.7037795333430706,0.0,0.2413863530553581,2.7755575615628914e-17,0.2898876404494382,0.0,0.17920222266322683,0.0,0.7581863979848866,0.0,0.7534775695642035,0.0,0.19975237261889614,0.0
tt,0.6188172270325166,0.0,0.1515804259518849,0.0,0.21171516079632466,0.0,0.11947715242519175,0.0,0.9286314021830394,0.0,0.619276511214008,0.0,0.11796973026644433,1.3877787807814457e-17
maccs,0.7188015960668048,0.0,0.294403530412569,0.0,0.35088526097953554,0.0,0.24160861304623177,2.7755575615628914e-17,0.6406381192275399,0.0,0.7783610918215313,0.0,0.24174990752614853,2.7755575615628914e-17
fcfp,0.7849930771050768,0.0,0.37593235417459964,0.0,0.4067796610169491,5.551115123125783e-17,0.2756563245823389,0.0,0.7758186397984886,0.0,0.8273264799093688,1.1102230246251565e-16,0.27606347389240915,0.0
ap,0.6432518216908263,0.0,0.26247750060549163,0.0,0.33535200605601817,0.0,0.3053066850447967,0.0,0.3719563392107473,0.0,0.7991033690852525,0.0,0.25303980319314434,0.0
rdkit,0.6974773927549193,0.0,0.23073262084133067,2.7755575615628914e-17,0.27857570317175345,0.0,0.1694884398325141,0.0,0.781696053736356,0.0,0.7455246039657099,0.0,0.18208311670345018,0.0
map4,0.4958172219076099,0.0,-0.013907059162091099,0.0,0.03510971786833856,0.0,0.06930693069306931,0.0,0.023509655751469353,0.0,0.5087334106055391,0.0,0.0882925495481442,0.0
mhfp,0.5134463674233591,0.0,0.028799715851965123,3.469446951953614e-18,0.1110609480812641,0.0,0.1201171875,0.0,0.10327455919395465,1.3877787807814457e-17,0.6238944081287856,0.0,0.11650667762268527,0.0
pubchem,0.5689730241989557,0.0,0.10799056450517117,1.3877787807814457e-17,0.1900422500207108,0.0,0.10542279411764706,0.0,0.963056255247691,0.0,0.5717382673088744,0.0,0.10574501066536164,0.0
daylight,0.7016930556658834,0.0,0.24148502398956,0.0,0.29314103639107836,0.0,0.183151718357083,0.0,0.7338371116708649,0.0,0.7446370341708854,0.0,0.1828692447025781,0.0
kr,0.6035208750265855,0.0,0.1410909618100116,0.0,0.20402298850574713,0.0,0.11422825540472599,0.0,0.9538203190596137,0.0,0.603524896654831,0.0,0.11321810865821616,1.3877787807814457e-17
lingo,0.5779956361418677,0.0,0.11565874239036908,0.0,0.1935374149659864,0.0,0.10767338442615196,0.0,0.9554995801847188,1.1102230246251565e-16,0.5787849073772748,0.0,0.10722354446961313,0.0
estate,0.5032115014866501,0.0,0.016651594594585647,0.0,0.1688191223688905,0.0,0.09224890829694324,0.0,0.9932829554995802,0.0,0.503302682119969,0.0,0.09226231291910139,0.0
dfs,0.6586494973747665,0.0,0.20141041659667885,2.7755575615628914e-17,0.27734296608468795,0.0,0.18222573839662448,0.0,0.5801847187237615,0.0,0.7098543985509042,0.0,0.16563028944609542,0.0
asp,0.6948695625806639,0.0,0.23669274228356546,0.0,0.2936816096011296,0.0,0.18592178770949722,0.0,0.6985726280436608,0.0,0.7468355480048594,0.0,0.17967200963756166,0.0
lstar,0.781560030168618,0.0,0.43493361872023045,5.551115123125783e-17,0.4801186943620178,0.0,0.37127122533272144,0.0,0.6792611251049538,0.0,0.8669847169585159,0.0,0.3766677436111558,0.0
rad2d,0.7074502478319509,0.0,0.23949114163282276,0.0,0.2719687092568448,0.0,0.16098163296805063,0.0,0.8757346767422334,0.0,0.7085677978190106,0.0,0.1546380505276515,0.0
ph2,0.524163081367291,0.0,0.08798397512563949,0.0,0.10878112712975099,1.3877787807814457e-17,0.24776119402985075,0.0,0.06968933669185558,0.0,0.5811097643994932,0.0,0.1338431038759635,0.0
ph3,0.5055269984360493,0.0,0.018398428194392656,0.0,0.16929219600725953,0.0,0.09265734265734266,0.0,0.979009235936188,0.0,0.5054696991309582,0.0,0.09262849150272978,0.0
