,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.6549725166266817,0.0,0.24189524410221788,2.7755575615628914e-17,0.37508650519031145,0.0,0.2820712984647411,0.0,0.5596282911719154,0.0,0.7420814246035176,0.0,0.28103350334200516,0.0
avalon,0.5831318898235598,0.0,0.11958281415376401,0.0,0.294351630867144,0.0,0.19803746654772525,0.0,0.5730511099638617,0.0,0.631475692457198,0.0,0.20915988338768027,0.0
tt,0.5914379422393635,0.0,0.1591427589440286,0.0,0.3003536475039066,0.0,0.1786343181373508,0.0,0.9426948890036139,0.0,0.591529561270519,0.0,0.17715769854118335,0.0
maccs,0.6066840778644964,0.0,0.1676044699590232,0.0,0.309538737124944,0.0,0.18725617685305593,0.0,0.892101187403201,1.1102230246251565e-16,0.6816208065371416,0.0,0.23956916334136605,2.7755575615628914e-17
fcfp,0.6838962616538613,0.0,0.2732600797021648,0.0,0.39459705569889214,0.0,0.2794496990541703,0.0,0.6711409395973155,0.0,0.7340404646827556,0.0,0.27409099982139845,0.0
ap,0.6522408818974157,0.0,0.22050919051328038,2.7755575615628914e-17,0.3426784783741533,0.0,0.21467746147819272,2.7755575615628914e-17,0.8487351574599897,1.1102230246251565e-16,0.6640353721409933,0.0,0.21092449059094615,2.7755575615628914e-17
rdkit,0.6348361626529806,0.0,0.19993774240198126,0.0,0.3451914380464275,0.0,0.24377262082180112,2.7755575615628914e-17,0.5911202891068663,0.0,0.6851797456999558,0.0,0.25146832937569275,0.0
map4,0.5069081964226062,0.0,0.02304880267358364,0.0,0.261082366102643,0.0,0.15099069955519612,0.0,0.9638616417139907,0.0,0.5082287765986025,0.0,0.15131928525471755,0.0
mhfp,0.5122323787542895,0.0,0.02723549445921163,3.469446951953614e-18,0.2612518628912071,0.0,0.15266045458503874,0.0,0.9050077439339186,1.1102230246251565e-16,0.5214265424211065,0.0,0.15544991228447008,0.0
pubchem,0.5775930031279419,0.0,0.14536076062601555,0.0,0.29305709315198486,0.0,0.17303202913437296,0.0,0.956633970056789,1.1102230246251565e-16,0.5817478631180839,0.0,0.17375388673088063,0.0
daylight,0.6051201068966565,0.0,0.1497920186565656,0.0,0.31201619626056926,0.0,0.20278637770897837,2.7755575615628914e-17,0.6763035622096025,0.0,0.633566461174041,0.0,0.20080286909331316,0.0
kr,0.5709156063044732,0.0,0.13394995851306268,0.0,0.2896084455999369,0.0,0.17088136853849015,0.0,0.9488900361383583,0.0,0.5709262585936643,0.0,0.1698469583750834,0.0
lingo,0.6008897931914118,0.0,0.1706669137956289,0.0,0.30561609388097233,0.0,0.1824276993895727,0.0,0.9411461022199277,0.0,0.6031571422898216,0.0,0.1815040116039268,0.0
estate,0.5387430532357497,0.0,0.09869102610339098,0.0,0.2749583725476001,0.0,0.1599023240148198,0.0,0.9803820340733094,1.1102230246251565e-16,0.6184470083653175,0.0,0.20506600973900263,0.0
dfs,0.567420814479638,0.0,0.10092436262022278,0.0,0.2775966464834653,0.0,0.19849023090586146,0.0,0.46153846153846156,0.0,0.6160886476031181,0.0,0.1916253592480177,0.0
asp,0.588700233836436,0.0,0.12923118420258847,0.0,0.29927935565917757,0.0,0.20603112840466925,0.0,0.5467217346411978,0.0,0.6379848952408096,0.0,0.19891474691153507,0.0
lstar,0.6341264538856327,0.0,0.19988449059010657,0.0,0.34522897840404354,0.0,0.24542682926829268,0.0,0.5818275684047496,0.0,0.7081646993414736,0.0,0.24338078008024397,0.0
rad2d,0.643497828661666,0.0,0.21108801263675803,0.0,0.33495967340436117,0.0,0.20750061682704168,0.0,0.8683531233866806,1.1102230246251565e-16,0.6459596287583776,0.0,0.20163690462239767,0.0
ph2,0.5014415864435604,0.0,0.007737763788153737,8.673617379884035e-19,0.25961473010686814,0.0,0.14952171867649364,0.0,0.9845121321631389,1.1102230246251565e-16,0.5202555848597332,0.0,0.15381963692837278,0.0
ph3,0.5042628078593336,0.0,0.04478650814331097,0.0,0.02303455182774161,0.0,0.38333333333333336,0.0,0.011874032008260196,0.0,0.576332435519778,0.0,0.18403510969294562,0.0
