,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.6527677101400635,0.0,0.2215485576541481,2.7755575615628914e-17,0.2943571844095404,0.0,0.21651690201112536,0.0,0.45958219800181654,0.0,0.7658329745662816,0.0,0.20251098037777843,0.0
avalon,0.690886766699632,0.0,0.2206076712633725,0.0,0.268824531516184,0.0,0.16544348920109037,0.0,0.7166212534059946,0.0,0.7361640856070912,0.0,0.16384574792954776,0.0
tt,0.5902984575079971,0.0,0.11722526467716118,1.3877787807814457e-17,0.18577834721332478,0.0,0.10329737431304702,0.0,0.9218891916439599,1.1102230246251565e-16,0.590290395756355,0.0,0.10196443702005573,1.3877787807814457e-17
maccs,0.6097750381576842,0.0,0.12465585831224993,1.3877787807814457e-17,0.1984629294755877,0.0,0.11333419388150252,0.0,0.7974568574023615,0.0,0.7061365824255648,0.0,0.17677160637185566,0.0
fcfp,0.6806332502094146,0.0,0.22142741722944956,2.7755575615628914e-17,0.2803355842029875,0.0,0.1809297411516112,0.0,0.6221616712079927,0.0,0.7279880939772526,0.0,0.16654057209923498,0.0
ap,0.6237137685395453,0.0,0.14219530711455963,0.0,0.20350418979214274,2.7755575615628914e-17,0.11560336300692384,0.0,0.849227974568574,0.0,0.6279357193367265,0.0,0.11280946767105496,0.0
rdkit,0.6263648621944806,0.0,0.15677990257507202,0.0,0.23765301815111864,2.7755575615628914e-17,0.154797910365686,0.0,0.5113533151680291,0.0,0.6799510197007814,0.0,0.139650514158944,0.0
map4,0.5017517689622715,0.0,0.005768524760989401,0.0,0.04851752021563341,0.0,0.09399477806788512,0.0,0.0326975476839237,0.0,0.583314420693225,0.0,0.10476191534907878,0.0
mhfp,0.5176516828123302,0.0,0.03446613508268877,0.0,0.1184792219274978,1.3877787807814457e-17,0.11541774332472007,0.0,0.12170753860127156,1.3877787807814457e-17,0.6432489210625373,0.0,0.12081849514214374,1.3877787807814457e-17
pubchem,0.5746587357370038,0.0,0.10928762637927596,0.0,0.17923089954260546,0.0,0.09883232134516581,0.0,0.96094459582198,0.0,0.5782281049320651,0.0,0.0993166233386254,0.0
daylight,0.6238741248032513,0.0,0.14293733599639097,0.0,0.2224856078564172,0.0,0.13673257023933402,0.0,0.5967302452316077,0.0,0.6666027839711898,0.0,0.12866777798325046,0.0
kr,0.6163654628140817,0.0,0.14725461693223085,0.0,0.1960086198819451,0.0,0.10927705808608441,0.0,0.9500454132606722,0.0,0.6163339417472345,0.0,0.10805317204430878,0.0
lingo,0.5759492655247558,0.0,0.10691214608199759,0.0,0.17988411311943267,0.0,0.09940737908621679,0.0,0.9445958219800181,0.0,0.5770802796105845,0.0,0.09890115907687456,0.0
estate,0.5046282095896485,0.0,0.02275102931530288,0.0,0.1574825777713916,0.0,0.08550475893275082,0.0,0.9954586739327883,1.1102230246251565e-16,0.4987794660843254,0.0,0.08457639976268763,0.0
dfs,0.645235436006274,0.0,0.18752879354051444,0.0,0.2619986088569441,0.0,0.17590286425902865,0.0,0.5131698455949137,0.0,0.7158111046769926,0.0,0.1571430934546903,0.0
asp,0.6411430845530267,0.0,0.16944190010246643,0.0,0.24338419934324898,0.0,0.15456329735034346,0.0,0.5722070844686649,0.0,0.684462505824711,0.0,0.1397618684980111,0.0
lstar,0.6249867611519242,0.0,0.16480475128610214,0.0,0.2464822901504124,0.0,0.16815623965574314,0.0,0.46139872842870117,0.0,0.7003710927440719,0.0,0.15214983274984206,0.0
rad2d,0.6449314582998064,0.0,0.16396416430364966,0.0,0.2151376146788991,0.0,0.12311326945793413,1.3877787807814457e-17,0.8519527702089011,1.1102230246251565e-16,0.646440190284848,0.0,0.11811910587261601,0.0
ph2,0.5116799880426266,0.0,0.03632617139287923,0.0,0.1593322105879769,0.0,0.08665179993628544,0.0,0.9881925522252498,0.0,0.5230057175012452,0.0,0.09851141746764798,0.0
ph3,0.5167030706333235,0.0,0.045273441796093467,0.0,0.16072221400029596,0.0,0.08748892290340772,0.0,0.9863760217983651,0.0,0.5168816518047702,0.0,0.08749752733870347,0.0
