,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.7018633149850886,0.0,0.39121087263950133,0.0,0.7768565030563457,0.0,0.8108654453569173,0.0,0.7455855018587361,0.0,0.7597667607778252,0.0,0.8350922703449812,0.0
avalon,0.6643739054086291,0.0,0.31337859158617853,0.0,0.7290306378704168,0.0,0.7931693989071038,0.0,0.6744888475836431,0.0,0.7190777009187987,0.0,0.794771580920253,0.0
tt,0.6331492141863286,0.0,0.34799990118295127,0.0,0.8218954248366013,0.0,0.7332361516034985,0.0,0.9349442379182156,0.0,0.6344728048959591,0.0,0.7298686151069278,0.0
maccs,0.6292164715467792,0.0,0.31932657256600383,0.0,0.8116377969090344,0.0,0.7330897507963275,0.0,0.9090381040892194,0.0,0.7256147008661651,0.0,0.8221097342222734,0.0
fcfp,0.7176748279427583,0.0,0.4187431494100638,5.551115123125783e-17,0.7804099668589665,0.0,0.8272183190215976,1.1102230246251565e-16,0.7386152416356877,0.0,0.7581167823406916,0.0,0.8236512810261603,1.1102230246251565e-16
ap,0.5867760654942353,0.0,0.24234608044915446,0.0,0.8023138832997987,0.0,0.7075053229240597,0.0,0.9264637546468402,0.0,0.5880941514120706,0.0,0.705320173045534,0.0
rdkit,0.5904831249347384,0.0,0.17805273253101261,0.0,0.7125103562551782,0.0,0.7261761158021713,0.0,0.6993494423791822,0.0,0.608093749761238,0.0,0.7272427048169184,0.0
map4,0.4966811013361337,0.0,-0.016278577735960954,0.0,0.7828189446735884,0.0,0.6612735282338806,0.0,0.9591078066914498,0.0,0.49589143563696625,0.0,0.6609492027057953,0.0
mhfp,0.5201931415228647,0.0,0.05576738617400219,0.0,0.762125642835535,0.0,0.673258507037235,0.0,0.8780204460966543,0.0,0.5440885805097155,0.0,0.6862476275508996,0.0
pubchem,0.6061288043815065,0.0,0.28480655032364555,0.0,0.8091734740473895,0.0,0.7183136654355463,0.0,0.9263475836431226,0.0,0.6138934259574464,0.0,0.7195759918322894,0.0
daylight,0.6747434740494298,0.0,0.3333373219230309,0.0,0.6670878079595703,0.0,0.8427026068451852,1.1102230246251565e-16,0.5520446096654275,0.0,0.7425893962270078,0.0,0.8224027475834467,0.0
kr,0.6298009875835243,0.0,0.35702389305203386,0.0,0.8258565877781703,0.0,0.7300383620305112,0.0,0.9506273234200744,0.0,0.6302655787464844,0.0,0.7272020082682232,0.0
lingo,0.6199181088602157,0.0,0.32266578650399486,0.0,0.817605598093403,0.0,0.7254566723656979,0.0,0.9365706319702604,1.1102230246251565e-16,0.6261786886721095,0.0,0.7260973217301095,0.0
estate,0.5386023988901066,0.0,0.17612179218931337,0.0,0.8038646423302079,0.0,0.6808836571797146,0.0,0.9810641263940522,1.1102230246251565e-16,0.5535709226232671,0.0,0.6880086298988283,0.0
dfs,0.6305978028797463,0.0,0.2556042910072381,0.0,0.7358130662851692,0.0,0.7556317335945152,0.0,0.7170074349442379,0.0,0.6403514582737313,0.0,0.7454218641430652,0.0
asp,0.6300736803780462,0.0,0.24711378878521195,0.0,0.6960447666285133,0.0,0.7688957572351784,0.0,0.6358039033457249,0.0,0.6364090325064455,0.0,0.7507276334360987,0.0
lstar,0.685694043618962,0.0,0.3555997512017604,0.0,0.7517053206002728,0.0,0.8061984570364459,0.0,0.7041124535315985,0.0,0.717126723119213,0.0,0.8043583286949947,0.0
rad2d,0.6865433865670134,0.0,0.40777408280537086,0.0,0.822049131216297,1.1102230246251565e-16,0.7738693467336684,0.0,0.8766263940520446,0.0,0.6884050275648137,0.0,0.7625481066163082,0.0
ph2,0.5199626034953916,0.0,0.11242361856599115,0.0,0.7987557733999434,0.0,0.6720063441712927,0.0,0.9844330855018587,0.0,0.5508441538527494,0.0,0.6878703422619274,0.0
ph3,0.5238248715354035,0.0,0.1243733203454217,0.0,0.7992814597712016,0.0,0.6738402678144428,0.0,0.9821096654275093,0.0,0.5294251416230388,0.0,0.6763716316328291,0.0
