,Balanced accuracy - mean,Balanced accuracy - std,MCC - mean,MCC - std,F1 - mean,F1 - std,Precision - mean,Precision - std,Recall - mean,Recall - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std
ecfp,0.7693017097391357,0.0012343301148831363,0.3971554053460057,0.0019182802013810857,0.47552513275077457,0.001429291188296554,0.33331057293306354,0.0013132715041547104,0.8294269488900362,0.002541772560679637,0.8553865542881305,0.001057294628876086,0.5274751008168542,0.0024397513839311026
avalon,0.7784785447477908,0.0018092054654583862,0.4977318056255374,0.0031220683520299017,0.5771948220597969,0.002564306498255609,0.505807433249236,0.003128269054226398,0.6720702116675271,0.00390998373335292,0.8879431971350948,0.0007100456422403312,0.6218120277063266,0.0006481352742251671
tt,0.778968690212275,0.0011556173795284562,0.41216224545208713,0.0021150953639732235,0.4861288295701489,0.0018355593354748153,0.34160537739809127,0.0019065828531961537,0.8426432627774909,0.002049502657850219,0.8727138668977776,0.000712333003309132,0.5811931835585457,0.0015216604189024238
maccs,0.7665330863372711,0.002010784872651023,0.3996539776493684,0.003432650331559911,0.4823012430741702,0.0026669988295522796,0.34560055568571374,0.0024874229001037194,0.7979349509550852,0.002684563758389245,0.8552601611392342,0.00038578994800006646,0.5646671480048315,0.0011777551224861334
fcfp,0.7789140271493212,0.0014228799188684936,0.408020482649284,0.0022432392009751247,0.47942379846424704,0.0018329039099339696,0.3321264961454803,0.0018875884568775921,0.8615384615384615,0.0038273108916573413,0.8660384884027874,0.0005141835328492478,0.565119175888872,0.0025720999949367007
ap,0.7706823772358711,0.0028248719339197697,0.4191964140754658,0.005173616698205806,0.5032412216463665,0.004265762895876962,0.37500261016874414,0.004750012385855894,0.7648941662364482,0.00589172642960748,0.8613593582462968,0.0017952894788907186,0.5493507149486803,0.0053980518166120975
rdkit,0.7706206687114702,0.0029227790830996065,0.4499101226795489,0.004800521611080244,0.5354933622994974,0.003736951968952396,0.43247456961100517,0.0030286899929372704,0.7029426948890036,0.005148146974627929,0.8730101500430998,0.0005280239296850762,0.5781014322793974,0.0023969468742171453
map4,0.7424780588538978,0.0027517235503143043,0.3969443412927655,0.0044613179806803635,0.49331341400406814,0.003433967959181444,0.3915723979109954,0.0028551768901698255,0.6664945792462571,0.005026602558446282,0.8416840241358449,0.0007923819932139539,0.5273944880977223,0.00196449899325085
mhfp,0.794055695587476,0.0020174439816584466,0.5061860516370216,0.0038286783406473617,0.5825332878510773,0.003114539029642418,0.48920283964279365,0.003103136431541017,0.7198760970573052,0.00312498625718565,0.8948213896098132,0.000828741232013364,0.6278631101124611,0.0021481569673604322
pubchem,0.7868142366910627,0.00016969115962474528,0.4486406783187823,0.0005693419272488258,0.5265656921538867,0.0005653901300148752,0.39696160004383907,0.0007969373587616058,0.7818275684047495,0.0007002922026975247,0.8802921296869488,0.0004043203822005104,0.599272425516989,0.001005519917461874
daylight,0.7713701600413009,0.0011460208710128887,0.4270937769296566,0.001956413857625128,0.5117764365368955,0.001549287164188076,0.3885412774127238,0.001615838235910903,0.7495095508518328,0.0023180118038868087,0.8634323638037082,0.00100413952791388,0.5385530974250653,0.0027332556194064423
kr,0.7715742354763278,0.0013832000617144955,0.40508680618307247,0.0024138459027446715,0.48452769138209445,0.0020143951554173496,0.3448628151423956,0.002134800861876587,0.814352090862158,0.003073386900596212,0.8613706646234206,0.0009041500240482305,0.5649941358808117,0.0016142620402294864
lingo,0.7572181359895533,0.0011021669455912738,0.40216002161193,0.0024724422372024374,0.4924389052334986,0.0021217784219579837,0.3710364246357113,0.0025742445332619965,0.7319566339700568,0.0018870074220441136,0.8470304080807891,0.001009402816077863,0.5114376466536784,0.0017029307425083988
estate,0.657003249415409,0.002574500936605888,0.2237497408895695,0.003662945303106812,0.35263014192171915,0.0021836887505414996,0.22903472018480694,0.0019076578247948757,0.7661331956633971,0.0088037475466359,0.7191470459753736,0.001124589260936326,0.3146270761592299,0.003089116665354393
dfs,0.7534834340550882,0.0013588743653314816,0.40779812350499167,0.003560547855517658,0.5001376924587417,0.003110478802433668,0.3892955835860234,0.00441551948010443,0.6993288590604027,0.0036300249522450948,0.8587087089472221,0.0011053448326017513,0.5620940898551023,0.0033714936544693443
asp,0.771680099608248,0.0015286958884950172,0.39912315622476124,0.0025181562525103196,0.4753950897144833,0.001933905999346989,0.33140030077964705,0.0017233021210531967,0.840681466184822,0.0017461574109744775,0.8651742560333773,0.0008565453714379033,0.55873961565192,0.003428248680864614
lstar,0.7656838652859181,0.0013795411847121652,0.39040091743209054,0.002028235835937919,0.4697618299593693,0.001423069980798588,0.3275788612562872,0.0012627446291917598,0.8300464636035105,0.003255319105923464,0.8498466771165001,0.000903074521124263,0.5127888122250001,0.0014276000347805393
rad2d,0.7836377661028273,0.00219220113524926,0.42504505347913424,0.004137527546479293,0.4995273660529289,0.003548714751111025,0.3576658027334598,0.003721412230772104,0.8279814145585958,0.0034923148219489575,0.8712168745342543,0.00038162868789731925,0.5755028011073932,0.0019428173475247034
ph2,0.5329446384645753,0.003057693302777315,0.05443618978403832,0.006149151343921703,0.22861306432059095,0.0014995200513204792,0.18302191752217456,0.005182509339373626,0.3051109963861641,0.009355606641259099,0.5378364686726921,0.0009045076097245297,0.1755119472811128,0.0014798927154850029
ph3,0.5861533602599532,0.0009799848756650886,0.14532329701162675,0.0016815869965775623,0.29631151550739965,0.0013039528502261247,0.24322699940929532,0.0011564328803277285,0.37903975219411457,0.0018002680200477615,0.6427687402032811,0.0010411029192711255,0.258499387127656,0.0005956412325337977
