,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.499081106737613,0.6875649246885444,0.6384757995014946,0.7348150769308486,0.6544515697960509,0.503494099640154,0.6820495449682991,0.7744679604740773,0.6048974743102449,0.5871059650669038,0.5148727951286867,0.678351894093889,0.5945036476232125,0.671980680003128,0.7316730711923837,0.7335818224779198,0.6551205809596161,0.1969196228108573,0.2287839045477572
avalon,0.499081106737613,1.0,0.4497868400475296,0.705071694377061,0.4438569390211754,0.6193552488880374,0.7912662558426756,0.6626429493850732,0.6245925444103513,0.4378307394650717,0.5319947436101702,0.60902791528788,0.5868901368892533,0.5361010169519159,0.7352127520983258,0.6358439893122207,0.4211274674038108,0.3365741903576235,0.2553389390679563,0.3255638037217987
tt,0.6875649246885444,0.4497868400475297,1.0,0.5317932682036469,0.6340025679556449,0.5922743722784258,0.4912012493770705,0.6517398833499243,0.6447139588001448,0.5952587937685616,0.5194469102250903,0.3886970266090351,0.6338893013183496,0.3891072919832706,0.7353750656876635,0.7632120207030971,0.6328156418555447,0.590184756093021,0.1936793153395969,0.2397458640418225
maccs,0.6384757995014947,0.705071694377061,0.5317932682036469,1.0,0.6234876228080853,0.7226629331844605,0.6471028989886956,0.5607851598331637,0.6098332709333509,0.6865356688094907,0.6579133547543353,0.6495564130307184,0.6752123586496842,0.6894373346495252,0.6614114344044514,0.6652140600848961,0.5515692292602864,0.6132476025214745,0.2708640731093903,0.3107690889080559
fcfp,0.7348150769308486,0.4438569390211753,0.6340025679556449,0.6234876228080853,0.9999999999999998,0.6228772402974239,0.4873052018710112,0.7641406864482527,0.8897905135305539,0.6457734402556983,0.7317800159339087,0.6426238711384561,0.7180047834673601,0.6979155020709773,0.5869081270687593,0.6734888106415051,0.6377854102916483,0.6168352759032204,0.2139117081433156,0.2348653466016106
ap,0.6544515697960509,0.6193552488880375,0.5922743722784259,0.7226629331844606,0.622877240297424,1.0,0.6165862548959928,0.6761336705831688,0.6082566491752885,0.5733728931871729,0.59445045416879,0.6093641532818138,0.6729231914801947,0.6829068124579722,0.6855808343043392,0.7262814924362034,0.5927395750368832,0.5205025642310699,0.3255704223250004,0.3231415973377082
rdkit,0.503494099640154,0.7912662558426756,0.4912012493770705,0.6471028989886956,0.4873052018710112,0.6165862548959927,1.0,0.3976645414087716,0.445440394041013,0.5885149011362593,0.6539948650055828,0.4423796595728796,0.5292240424462791,0.5312440946409388,0.7060108056367608,0.6455609661063941,0.459295878876182,0.3361132125812212,0.2912381704335733,0.304689485066434
map4,0.682049544968299,0.6626429493850732,0.6517398833499244,0.5607851598331637,0.7641406864482527,0.6761336705831688,0.3976645414087716,1.0,0.8529287670214291,0.4795009678942988,0.6785899462599212,0.655800680769311,0.7213184258339107,0.518866311344742,0.6565957247241342,0.7411424698829109,0.6848392676283809,0.6113052102766467,0.1438183002583004,0.18325753374313
mhfp,0.7744679604740774,0.6245925444103512,0.6447139588001448,0.6098332709333509,0.8897905135305538,0.6082566491752885,0.445440394041013,0.852928767021429,1.0,0.6178484084450547,0.7170669968069807,0.6699704590668699,0.7568684193845091,0.6401287731555994,0.640073404759318,0.7303059927222537,0.714396216319351,0.6863286864643626,0.1498948820561685,0.19704366615627
pubchem,0.6048974743102449,0.4378307394650718,0.5952587937685617,0.6865356688094907,0.6457734402556983,0.5733728931871729,0.5885149011362593,0.4795009678942989,0.6178484084450547,1.0,0.6929993759715952,0.3618347476795782,0.561845130801332,0.5969728977871223,0.5323618033180088,0.5844089892321371,0.4963720206728965,0.6250828409787169,0.2570549063583165,0.2806868584450729
daylight,0.5871059650669037,0.5319947436101702,0.5194469102250902,0.6579133547543353,0.7317800159339087,0.59445045416879,0.6539948650055828,0.6785899462599213,0.7170669968069806,0.6929993759715952,1.0,0.6672773569291091,0.6468050037346226,0.6720059337640664,0.5698134791072862,0.631676561127086,0.5193475088574353,0.5157046888756935,0.1894960402377192,0.2100326611311988
kr,0.5148727951286867,0.6090279152878799,0.3886970266090352,0.6495564130307184,0.642623871138456,0.6093641532818138,0.4423796595728797,0.655800680769311,0.66997045906687,0.3618347476795782,0.6672773569291092,0.9999999999999998,0.6462189881012358,0.6962269652583499,0.5314192966223144,0.5433033314264899,0.4525382487500043,0.4571411744014305,0.1518898073229145,0.2292660577530444
lingo,0.678351894093889,0.5868901368892533,0.6338893013183498,0.6752123586496842,0.7180047834673601,0.6729231914801949,0.5292240424462791,0.7213184258339106,0.7568684193845091,0.561845130801332,0.6468050037346226,0.6462189881012358,1.0,0.60654576174943,0.682881108453386,0.7157781983935096,0.5972716519647279,0.5623067391013893,0.2133398905498022,0.2482100389579793
estate,0.5945036476232125,0.5361010169519159,0.3891072919832706,0.6894373346495252,0.6979155020709773,0.6829068124579722,0.5312440946409389,0.518866311344742,0.6401287731555995,0.5969728977871223,0.6720059337640664,0.6962269652583499,0.60654576174943,1.0,0.4854389644397133,0.5233393938708378,0.4644582643717185,0.4382947818003436,0.1980146009022554,0.2299552863024654
dfs,0.6719806800031282,0.7352127520983258,0.7353750656876634,0.6614114344044514,0.5869081270687593,0.6855808343043391,0.7060108056367607,0.6565957247241341,0.640073404759318,0.5323618033180088,0.5698134791072862,0.5314192966223144,0.682881108453386,0.4854389644397133,1.0,0.922391608658419,0.7134675942220132,0.5568000494185631,0.2714804602222763,0.318590088275874
asp,0.7316730711923837,0.6358439893122207,0.7632120207030971,0.6652140600848961,0.6734888106415051,0.7262814924362034,0.645560966106394,0.741142469882911,0.7303059927222537,0.5844089892321371,0.6316765611270859,0.5433033314264899,0.7157781983935096,0.5233393938708378,0.922391608658419,1.0,0.7719041536382335,0.623812634377674,0.2586154667953477,0.2874745965334909
lstar,0.7335818224779199,0.4211274674038108,0.6328156418555447,0.5515692292602863,0.6377854102916484,0.5927395750368833,0.459295878876182,0.6848392676283809,0.714396216319351,0.4963720206728966,0.5193475088574353,0.4525382487500044,0.5972716519647278,0.4644582643717185,0.7134675942220131,0.7719041536382335,1.0,0.6578491785992652,0.2041698889537986,0.2168897023316703
rad2d,0.655120580959616,0.3365741903576234,0.590184756093021,0.6132476025214745,0.6168352759032204,0.5205025642310699,0.3361132125812211,0.6113052102766467,0.6863286864643625,0.625082840978717,0.5157046888756935,0.4571411744014305,0.5623067391013893,0.4382947818003435,0.5568000494185631,0.623812634377674,0.6578491785992653,1.0,0.2573153691373498,0.3144637873868368
ph2,0.1969196228108573,0.2553389390679563,0.1936793153395969,0.2708640731093903,0.2139117081433156,0.3255704223250004,0.2912381704335733,0.1438183002583004,0.1498948820561685,0.2570549063583165,0.1894960402377191,0.1518898073229145,0.2133398905498022,0.1980146009022554,0.2714804602222763,0.2586154667953477,0.2041698889537986,0.2573153691373498,0.9999999999999998,0.7868466649743403
ph3,0.2287839045477572,0.3255638037217988,0.2397458640418225,0.3107690889080559,0.2348653466016106,0.3231415973377082,0.304689485066434,0.18325753374313,0.19704366615627,0.2806868584450729,0.2100326611311988,0.2292660577530444,0.2482100389579793,0.2299552863024654,0.318590088275874,0.2874745965334909,0.2168897023316703,0.3144637873868368,0.7868466649743403,1.0
