,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.5076789040132719,0.6874509275937305,0.6421987114937956,0.7331216229580856,0.6546754959528605,0.5093965589344248,0.6787578272403487,0.7716497401474177,0.6056037586718136,0.5865355578372079,0.5164889878935868,0.6777621720631233,0.5972524377411168,0.6751164816634467,0.732528566603932,0.7337795734810523,0.6520965385810383,0.19609476609919452,0.22855415333414278
avalon,0.5076789040132719,1.0,0.45541453758728406,0.7069092690744586,0.4476014372615584,0.6229682800385735,0.7919489275241837,0.6602749269327657,0.6241463605462176,0.44906903852042585,0.5341048574070314,0.6073021383955071,0.5902737268749546,0.5448901341633665,0.7334757429741545,0.635572283951521,0.42273658091636007,0.3382103875794872,0.25098068343839175,0.32164319805707053
tt,0.6874509275937304,0.45541453758728406,1.0,0.5347956385359371,0.6354159733042597,0.593541853386223,0.497700722275922,0.6521991881465236,0.6452497332466194,0.5980700951828383,0.5216711860541517,0.3952645301505761,0.6364139880428799,0.3952555433339569,0.7383666837667474,0.7644141142840593,0.6335845822692118,0.5882749225895806,0.1962485604925244,0.24021234257292481
maccs,0.6421987114937956,0.7069092690744586,0.534795638535937,1.0,0.6254817101590836,0.7236594566737353,0.6518228285067066,0.5599332978984026,0.6104163247296946,0.6917957633113423,0.6595826400723963,0.647733714103456,0.6759843872876091,0.6930201536663724,0.6628551985554629,0.6656716396540951,0.5526569106666832,0.6122401950949338,0.2679273095724104,0.3058379803314849
fcfp,0.7331216229580856,0.4476014372615584,0.6354159733042597,0.6254817101590835,1.0,0.6228462870504687,0.49061128026753165,0.763276929243552,0.8897729734090517,0.6491823355251191,0.7330824324573882,0.6444877136054611,0.7198400798381033,0.701469192948128,0.5898623393154833,0.6748587553379158,0.638226423804724,0.6174541692210578,0.21542842266770093,0.2386359401880381
ap,0.6546754959528605,0.6229682800385735,0.593541853386223,0.7236594566737353,0.6228462870504687,1.0,0.6215774176360952,0.6731887675801284,0.6036239939308014,0.5770613703469138,0.5941914605298065,0.6059166367976632,0.6741751025191866,0.6800423399149299,0.6882331096152561,0.7270883373723985,0.592681915059146,0.5202955100308875,0.3275592734316015,0.32458477663548346
rdkit,0.5093965589344248,0.7919489275241837,0.497700722275922,0.6518228285067066,0.49061128026753165,0.6215774176360951,1.0,0.39912784926284517,0.4480937007246063,0.6007144409943487,0.6541269970036077,0.4381697265723886,0.5324035968793484,0.5374022976257635,0.7047903405072471,0.6457954656754109,0.46100731905165576,0.34030886786990655,0.2911908008143087,0.30541533132812004
map4,0.6787578272403486,0.6602749269327657,0.6521991881465238,0.5599332978984026,0.763276929243552,0.6731887675801284,0.39912784926284517,1.0,0.8526382327243573,0.47885564497362837,0.6778026926401358,0.659470266584759,0.7207704993826433,0.5214402408123078,0.6583584777041339,0.7414135423003373,0.6822314549092338,0.6105103472451789,0.14523694289802042,0.18356363482774346
mhfp,0.7716497401474177,0.6241463605462176,0.6452497332466194,0.6104163247296946,0.8897729734090517,0.6036239939308014,0.4480937007246063,0.8526382327243573,1.0,0.619414469530451,0.7170554580758174,0.6716841138606139,0.7573320397092042,0.6409341302088136,0.6430272079257245,0.731821835336494,0.7128293054741008,0.685890478163697,0.1505736139345315,0.19846467184623207
pubchem,0.6056037586718136,0.44906903852042585,0.5980700951828383,0.6917957633113423,0.6491823355251191,0.5770613703469138,0.6007144409943486,0.47885564497362837,0.619414469530451,1.0,0.6955408339252365,0.3661781517442519,0.5658904600328017,0.603281263228482,0.5392737738983807,0.5885746518479598,0.4984162710082137,0.6214937032624942,0.2550778618896033,0.27929054052283464
