,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.46578704842281304,0.02720016195860966,0.8158366822345317,0.006519554151796715,0.8525972686910052,0.006978671380351911,0.7796805143062531,0.023348545628531014,0.7797979797979798,0.029853569103296257,0.6845878136200716,0.05557289589480802
asp,0.5243754859215564,0.011400085896821626,0.8294522283769595,0.003795848874290692,0.8616411583918616,0.0023509678604626337,0.840642591833254,0.015095809020782744,0.7287878787878788,0.02543369355962458,0.8028673835125447,0.027390642544147397
avalon,0.44048777474096246,0.01904899819184472,0.785397885666703,0.006546819158452856,0.8390381714667431,0.007955892905702774,0.7903151253493299,0.01183429375614718,0.7161616161616162,0.02372124962791388,0.7297491039426524,0.024997269927114957
daylight,0.3861363413917633,0.019278369954811685,0.765638463487926,0.007305860451214902,0.8102188080507451,0.007616162463751179,0.7491756249782625,0.02031623372456695,0.7398989898989898,0.03338685632533011,0.6458781362007169,0.052256048655505635
dfs,0.49253872280108857,0.005269471125670266,0.8257086999022484,0.008213586186675796,0.8596304117946458,0.011457714565001923,0.8132037380092416,0.006186095645061435,0.7404040404040404,0.009502468546579183,0.7584229390681003,0.012742931064251714
ecfp,0.4522231289626225,0.011049714908545259,0.7958781362007168,0.009008139857580656,0.8277134744365309,0.007087770853859692,0.8323696952045865,0.00818268721462993,0.6398989898989899,0.031966146259488216,0.8164874551971326,0.019421099905582894
estate,0.35653597111007157,0.023025849106865077,0.7498452264581296,0.005617317899008235,0.8023447011198257,0.004578030483417639,0.7511897349642698,0.022780426200398145,0.6833333333333333,0.07785972332780262,0.6738351254480287,0.07041893442433156
fcfp,0.4451169272273069,0.020376480237064398,0.7959242967307483,0.009626000470935715,0.8400658878055836,0.007416470118901513,0.7959011326466182,0.01221939120888333,0.71010101010101,0.012716846779812288,0.7412186379928315,0.020452104111379366
kr,0.48370221985989775,0.010043329696888887,0.8133865537091344,0.007730733256927963,0.8507382103242886,0.00664591459127207,0.8056157486786664,0.008000646860052772,0.7444444444444445,0.010879120822493954,0.7448028673835125,0.015770609318996417
lingo,0.43023021376843273,0.007184414958901176,0.7748633286267694,0.008245758873527619,0.8084905998645333,0.002604760892759213,0.7878197022094102,0.011163697154604408,0.7065656565656566,0.02587120904013271,0.7290322580645162,0.02845796880470136
lstar,0.4671072359199945,0.03220007752445123,0.813699721226603,0.00600551660395732,0.8505186795359039,0.00607463693090116,0.8014283100231184,0.017744970961045194,0.7303030303030302,0.015762107610431557,0.7426523297491039,0.028439905985487266
maccs,0.4258436766385428,0.019946487724030005,0.7946381376488902,0.005516189706226695,0.848640178289488,0.004913337389783994,0.7749888471560574,0.005558050758548106,0.7308080808080808,0.02023986354496349,0.6989247311827957,0.008173300538345075
map4,0.3593820586229792,0.03596171097953654,0.7298115564244597,0.02374409180010829,0.748471452420506,0.024371048584925163,0.7378301748111308,0.011625754599978121,0.7247474747474747,0.059093067386984846,0.6336917562724015,0.040512892189088996
mhfp,0.4717776273114086,0.028148040224534578,0.8065593208066325,0.008100719657276306,0.8482675356748149,0.012590084160224101,0.8022804467550138,0.014809628874741671,0.7348484848484849,0.017127095916982988,0.7426523297491041,0.02327266391505077
ph2,0.19198339427882782,0.0036059546782981097,0.5865012128452989,0.002549801460426322,0.633672378346596,0.0014115141593313866,0.6365069911959809,0.0012593354689822297,0.848989898989899,0.004628864338339213,0.3118279569892473,0.006411664451612311
ph3,0.20884021920856233,0.015369861468072451,0.6646826689837443,0.008017440885664308,0.7375361743775517,0.007917753264364868,0.7031639989820413,0.01386779119483662,0.5272727272727273,0.04430073183755229,0.6824372759856632,0.04416608401648563
pubchem,0.42337640761262774,0.02438522091172621,0.7944942254082039,0.012832945901092288,0.8352956857515765,0.01579033167167347,0.7796436553219841,0.028446669949258364,0.7186868686868686,0.054899710067479575,0.7068100358422938,0.06559825257481487
rad2d,0.49404017576475995,0.01869512098366781,0.8256254299265052,0.004460953782967973,0.8560778241224263,0.008506848698175376,0.8379778982876971,0.01035766054925427,0.6909090909090909,0.02553378719144352,0.8100358422939067,0.0182760556042752
rdkit,0.4461162252485182,0.0205493825366484,0.7843045146808587,0.009088908242257674,0.8172751824126895,0.008445095713454157,0.789274136740279,0.02390611794480452,0.7287878787878788,0.04513354669242199,0.7204301075268817,0.05694301679780787
tt,0.462465895414175,0.023129484919176237,0.7970982223670396,0.008810926041623014,0.8298185995075389,0.00762138490202666,0.8119274021703375,0.011621025820457825,0.6994949494949495,0.017712805976515346,0.7698924731182795,0.016872548094537386
