,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.4334318026005802,0.005172193293687343,0.7919535860396075,0.003064908317590482,0.8482079934866311,0.002177676039824386,0.8014389753912298,0.0029132948675855905,0.6787878787878787,0.0033501260508640553,0.7612903225806452,0.004301075268817193
fcfp,0.39132086495155666,0.010263016537351158,0.7792766373411535,0.0022591448442628743,0.829593249431676,0.0026941560229796725,0.7746123182943251,0.006286903813227494,0.6767676767676767,0.002258654522727075,0.7204301075268817,0.00988103853196433
estate,0.36604985787428446,0.003840493972013782,0.7629864957821948,0.0011537118635654856,0.8159340860051906,0.0011958557623412511,0.7381477888603009,0.0020568508123499853,0.7373737373737373,0.010226493298644746,0.628673835125448,0.008661681701501483
pubchem,0.4555315196339693,0.011889926666969324,0.8245040005792694,0.0014901394722239528,0.8689863527403785,0.0011236181612674931,0.7678846048240331,0.004279741325504318,0.7919191919191919,0.010301049522409634,0.6602150537634409,0.00829809096974208
rdkit,0.4456760595790909,0.01118223231460209,0.7977281778357048,0.003885761951028879,0.8432099070840536,0.002952528490856388,0.7562868290634215,0.004822046660066876,0.807070707070707,0.004948464126834694,0.6308243727598566,0.008779533128255093
rad2d,0.4825311824161684,0.009406229946583631,0.8415689149560117,0.0038370229208626832,0.8805708214617661,0.0036938458526630667,0.8391552507232412,0.002768941224920395,0.6717171717171717,0.015566702027699424,0.8172043010752688,0.006800597118641693
ap,0.5321118821191,0.0033670623534619725,0.8386191665761558,0.0010163041778080716,0.8822242773387107,0.001251641529001987,0.8300300108083422,0.002075558182284709,0.7595959595959595,0.003350126050864025,0.7792114695340502,0.003655211120855043
ph2,0.1964038192898338,0.001377418708571998,0.5997474747474748,0.00033962678830046076,0.6446628629124308,0.0005992910806577843,0.6387612569877249,0.0002758600557558388,0.843939393939394,0.0010101010101009943,0.3225806451612903,0.0
maccs,0.3962861437142041,0.009492908029775846,0.7864450961225155,0.0005435656551357834,0.828983134849544,0.0007507759451137057,0.7367963586798691,0.0032764638391754824,0.7888888888888889,0.008080808080808086,0.5999999999999999,0.00664775519390375
mhfp,0.4450911915799455,0.004409401230777671,0.8141830491292856,0.0032386767939731544,0.8600684883317676,0.001457216174127291,0.8044902439174397,0.0027203820427640344,0.6898989898989898,0.004896646320622565,0.7620071684587814,0.00486188529256291
lstar,0.39278847992803584,0.008562380032883836,0.7765703631295028,0.003117415241266489,0.8344494016427386,0.0023574186217931677,0.8395113359834004,0.005625672417169386,0.5282828282828282,0.007388251938549403,0.8566308243727597,0.0059975629142227805
daylight,0.4145945081866663,0.006946494547589035,0.7730838854494768,0.0010705806798234558,0.8124095246528821,0.0014526006077861748,0.742952206327001,0.0026795366330222654,0.7984848484848486,0.0029449251994168144,0.6078853046594982,0.004301075268817193
lingo,0.415096486362381,0.008251839920205783,0.7919427247384236,0.002067819209841665,0.8403566164167231,0.0014941922427586045,0.7773088536248338,0.00418412923223145,0.7085858585858585,0.007921407647150557,0.7118279569892474,0.007720666390156983
dfs,0.45159999261001793,0.0031776215589509453,0.8193421671916296,0.002681635735251175,0.8595190824702754,0.0019087635499612642,0.8200794828104098,0.003265797170375219,0.6651515151515153,0.0046836457047958165,0.792831541218638,0.00573476702508961
asp,0.43429506530345074,0.011904779861059275,0.7977372289200245,0.0017098971593431857,0.8428092174288826,0.0011472123294154338,0.8342628644907814,0.006071214629924736,0.6075757575757577,0.010176485696772673,0.8286738351254481,0.006950078648625574
ecfp,0.41770416084150624,0.0050139429204530215,0.8015223923826074,0.0029115558653211374,0.858359357791759,0.0018382588059705155,0.7714224475926603,0.0027341568507128133,0.7277777777777776,0.002944925199416815,0.6939068100358423,0.00486188529256292
avalon,0.4634866280409497,0.012510351215046938,0.8105028782448137,0.0059874646083275035,0.8517352114509187,0.007215950558079894,0.7724576980482831,0.005795674368240179,0.7919191919191919,0.009793292641245111,0.6688172043010753,0.011691402458996485
ph3,0.20928496477981798,0.008712513973397803,0.640705441511893,0.015151758890821768,0.7084109538458255,0.01667812325609766,0.6747811897322438,0.0033710865689958506,0.6641414141414141,0.025100552807654924,0.5455197132616487,0.021313360211209338
tt,0.41221422318911616,0.008759605076488989,0.7861663227254626,0.002438788762831553,0.8341662491957542,0.0011419790228994761,0.813469963161296,0.004236544904865602,0.6166666666666667,0.00976721192212813,0.7992831541218637,0.0059975629142227545
kr,0.46790548046347347,0.01753113986678042,0.8144029904782591,0.003337623393698027,0.8545106471061901,0.0022500087864736674,0.7923552295099103,0.007120735608273039,0.7515151515151516,0.014069079067862755,0.7204301075268817,0.011558792470678923
