,asp,dfs,rdkit,ecfp,maccs,map4,lstar,kr,mhfp,pubchem,daylight,lingo,estate,ph2,avalon,tt,fcfp,ap,ph3,rad2d
asp,1.0,0.901898669422223,0.583935300427128,0.6716939799386403,0.5643057082429914,0.6734247317030297,0.7220698177575277,0.47996822208195583,0.6787038939129263,0.6233733686756816,0.7054238663968156,0.6201018197844473,0.5558564869600655,0.35983531861844387,0.5261016877164089,0.7242993454281828,0.6146827181636609,0.705923207828715,0.3099463525377603,0.6819822285763889
dfs,0.901898669422223,1.0,0.6464642299031484,0.6599965254132407,0.5671890701692943,0.6124260079700504,0.7214318933396728,0.451025403669686,0.6202998052644279,0.5807233237241004,0.6742997651221747,0.605656605966762,0.5343647351887473,0.36088106764584055,0.5993610882941943,0.7168451966944107,0.5713974681697884,0.6692101533792054,0.31158565001233574,0.6331975879321312
rdkit,0.5839353004271279,0.6464642299031483,1.0,0.4416258833849265,0.6615970237665861,0.27408525560388,0.42038661649967624,0.28582448626014245,0.3585374206249829,0.5972294352618506,0.6488934119049026,0.40340476978038187,0.4942284362167142,0.37299202538443865,0.8331924847318467,0.4498393345938116,0.3966843749391684,0.6166000497098089,0.278450282774019,0.40276592310120696
ecfp,0.6716939799386402,0.6599965254132406,0.4416258833849265,1.0,0.5546736185771718,0.6020861075878291,0.6935743716763461,0.4691041146393401,0.7254553622808849,0.599573517096767,0.5936740884745517,0.6313391335779938,0.6694879082700634,0.27741984615887444,0.41361310685339386,0.6020499297576718,0.6746812667519201,0.6439931581594357,0.22090434274458876,0.6670671234392933
maccs,0.5643057082429914,0.5671890701692944,0.661597023766586,0.5546736185771719,1.0,0.33279106146065235,0.4931349805218715,0.5503596670346781,0.47845185489299175,0.6271218859967254,0.6279154990130695,0.44925997781913696,0.641029929007622,0.2410485566965224,0.6919693188549362,0.4182485385684734,0.48254477323921713,0.6324602357810829,0.17738853635486168,0.5646694823816895
map4,0.6734247317030299,0.6124260079700504,0.2740852556038799,0.6020861075878292,0.33279106146065235,1.0,0.6188251592408884,0.38783799788369233,0.7698710602787326,0.47316916783540974,0.5524876512762371,0.5706711487540238,0.37061431405078954,0.2522834001015987,0.2180655216220651,0.6163123141349051,0.6187437011717273,0.5156560989796294,0.24094284210848432,0.6420827536694512
lstar,0.7220698177575277,0.7214318933396727,0.42038661649967624,0.6935743716763462,0.49313498052187155,0.6188251592408884,1.0,0.49504561512309603,0.6590902579291754,0.4815510736992277,0.5521726638590253,0.5475862802725872,0.5482864630608546,0.24820933653528168,0.389618872849368,0.536733609647375,0.5807313581416337,0.5794543382863224,0.2085984743841848,0.6722862740098883
kr,0.4799682220819558,0.451025403669686,0.28582448626014245,0.4691041146393401,0.5503596670346782,0.38783799788369233,0.495045615123096,0.9999999999999999,0.5466875466447275,0.2738990040859703,0.5148494562067922,0.40232173366997126,0.6057120547243187,0.10579588598670593,0.2872090052831172,0.2626725661190207,0.4693987059804146,0.46618948492349677,0.09368582762460767,0.49909243944994275
mhfp,0.6787038939129263,0.6202998052644279,0.3585374206249829,0.7254553622808849,0.47845185489299175,0.7698710602787326,0.6590902579291754,0.5466875466447275,1.0,0.6369836973464684,0.6853995720447308,0.6714508323064653,0.6088125135354051,0.29155594407902047,0.28742506619380886,0.6138660592343227,0.7852600382205773,0.5716177091227875,0.2568986857857949,0.7537653751438695
pubchem,0.6233733686756816,0.5807233237241004,0.5972294352618506,0.599573517096767,0.6271218859967254,0.47316916783540974,0.4815510736992277,0.27389900408597034,0.6369836973464685,1.0,0.7373155148814993,0.5758147313096017,0.6037975255539593,0.4519246494308784,0.5205039263549668,0.6313906126437484,0.6061894037519696,0.6601109954786434,0.37140732523638287,0.6663715989659937
daylight,0.7054238663968156,0.6742997651221747,0.6488934119049026,0.5936740884745517,0.6279154990130695,0.5524876512762371,0.5521726638590252,0.5148494562067921,0.6853995720447309,0.7373155148814993,0.9999999999999998,0.568121105462062,0.6217715738047151,0.3207801467239678,0.5344158585756358,0.5632813975861647,0.6210814962831955,0.6264605627746601,0.28149402595426876,0.6314260157336867
lingo,0.6201018197844473,0.605656605966762,0.40340476978038187,0.6313391335779938,0.44925997781913696,0.5706711487540237,0.5475862802725872,0.40232173366997126,0.6714508323064653,0.5758147313096017,0.5681211054620618,1.0,0.527017750582867,0.3899400529880951,0.34204920914501147,0.5866601081693105,0.6123678819321562,0.5907079261479375,0.3426948786257352,0.5903641112848864
estate,0.5558564869600656,0.5343647351887473,0.49422843621671414,0.6694879082700634,0.6410299290076219,0.37061431405078954,0.5482864630608546,0.6057120547243187,0.6088125135354052,0.6037975255539594,0.6217715738047151,0.527017750582867,1.0,0.2659811524065485,0.4541567740683342,0.4104554847686338,0.6167332295145289,0.6856534087934602,0.19905575271942003,0.5518754743208902
ph2,0.35983531861844387,0.36088106764584055,0.37299202538443865,0.27741984615887444,0.2410485566965224,0.25228340010159866,0.24820933653528168,0.10579588598670593,0.2915559440790204,0.4519246494308784,0.32078014672396776,0.3899400529880951,0.2659811524065485,0.9999999999999999,0.27016597559426364,0.37650118381950604,0.29670976545673705,0.4516606931229009,0.7705603221296705,0.3635219300276175
avalon,0.5261016877164089,0.5993610882941943,0.8331924847318468,0.4136131068533939,0.6919693188549362,0.2180655216220651,0.38961887284936797,0.2872090052831172,0.28742506619380886,0.5205039263549669,0.5344158585756358,0.34204920914501147,0.4541567740683342,0.27016597559426364,1.0,0.37713165997697456,0.3376885947141367,0.5386966260355238,0.2009788612468647,0.36330128475086926
tt,0.7242993454281826,0.7168451966944107,0.4498393345938116,0.6020499297576718,0.4182485385684734,0.6163123141349051,0.5367336096473749,0.2626725661190207,0.6138660592343228,0.6313906126437483,0.5632813975861647,0.5866601081693105,0.41045548476863375,0.37650118381950604,0.37713165997697456,1.0,0.553885179948957,0.606182837499627,0.3265748121507893,0.6026525833275309
fcfp,0.6146827181636609,0.5713974681697884,0.3966843749391684,0.6746812667519201,0.48254477323921713,0.6187437011717273,0.5807313581416337,0.4693987059804146,0.7852600382205773,0.6061894037519697,0.6210814962831955,0.6123678819321562,0.616733229514529,0.296709765456737,0.3376885947141367,0.5538851799489569,1.0,0.5839376081550745,0.24686508679398764,0.6070958028055404
ap,0.705923207828715,0.6692101533792054,0.616600049709809,0.6439931581594357,0.6324602357810829,0.5156560989796294,0.5794543382863224,0.46618948492349677,0.5716177091227875,0.6601109954786433,0.6264605627746601,0.5907079261479377,0.6856534087934602,0.45166069312290086,0.5386966260355238,0.606182837499627,0.5839376081550745,0.9999999999999998,0.3476855083182598,0.6059146125315211
ph3,0.3099463525377603,0.3115856500123358,0.278450282774019,0.22090434274458876,0.17738853635486168,0.2409428421084843,0.20859847438418483,0.09368582762460767,0.2568986857857949,0.37140732523638287,0.28149402595426876,0.3426948786257353,0.19905575271942003,0.7705603221296705,0.20097886124686468,0.32657481215078926,0.24686508679398764,0.3476855083182598,1.0,0.32620894167650305
rad2d,0.6819822285763888,0.6331975879321313,0.40276592310120696,0.6670671234392933,0.5646694823816893,0.6420827536694512,0.6722862740098883,0.4990924394499428,0.7537653751438694,0.6663715989659936,0.6314260157336867,0.5903641112848863,0.5518754743208902,0.3635219300276175,0.3633012847508692,0.6026525833275308,0.6070958028055403,0.6059146125315211,0.3262089416765031,1.0
