,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
ecfp,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.08233127505145704,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.20029517183217369
avalon,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.9803921568627446,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
tt,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
maccs,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
fcfp,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.08233127505145704
ap,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.20029517183217369,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
rdkit,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.20029517183217369,1.0,0.04209593441896532,0.04209593441896532,0.5152273675427617,0.1221472195435551,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
map4,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.16197783461210571,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
mhfp,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
pubchem,0.08233127505145704,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.5152273675427617,0.16197783461210571,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.9461562402738869,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
daylight,0.04209593441896532,0.9803921568627446,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.1221472195435551,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
kr,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
lingo,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
estate,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.9461562402738869,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
dfs,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.08233127505145704,0.04209593441896532,0.04209593441896532,0.27891370451924086
asp,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532
lstar,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.08233127505145704,0.04209593441896532,1.0,0.04209593441896532,0.04209593441896532,0.1221472195435551
rad2d,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532,0.08233127505145704
ph2,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,1.0,0.04209593441896532
ph3,0.20029517183217369,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.08233127505145704,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.04209593441896532,0.27891370451924086,0.04209593441896532,0.1221472195435551,0.08233127505145704,0.04209593441896532,1.0
