,map4,fcfp,estate,pubchem,rdkit,rad2d,ap,ph2,maccs,mhfp,lstar,daylight,lingo,dfs,asp,ecfp,avalon,ph3,tt,kr
map4,1.0,0.4201175351107508,0.18581825230400534,0.29174302630883364,0.29097649297784983,0.4279348534775943,0.32455197448413187,0.04489726691219228,0.25012995823714956,0.54814181747696,0.4009519991541701,0.3342393698567376,0.3219836472889391,0.40237493171685845,0.4342939963699801,0.4313071595975259,0.282969743960246,0.07278542353169218,0.3843327635729264,0.31888667641720564
fcfp,0.4201175351107508,1.0,0.22445990237713437,0.2814476907082063,0.26180857812472463,0.36067375636575094,0.2630971470862923,0.041983118645262475,0.25909046855451195,0.5006453858217765,0.3369971277026908,0.2980735343354068,0.29728056882059595,0.3302987717845248,0.34212276868314856,0.39753563939452674,0.2757361363195827,0.0669196814040776,0.3215519216197642,0.2956726109711184
estate,0.18581825230400534,0.22445990237713437,1.0,0.23091155791291476,0.1637407707624804,0.1841486193589314,0.27094970836490506,0.028066573860332338,0.2563987911681263,0.2111799326860385,0.168192391055349,0.19142628063930645,0.18177633086045564,0.16848755044141747,0.1748356799238753,0.22699298666055787,0.21735845565560627,0.038113006396588475,0.17290833318648788,0.21789370737810354
pubchem,0.29174302630883364,0.2814476907082063,0.23091155791291476,1.0,0.2888927558194858,0.29629156460906797,0.23427064794093289,0.03692135544238665,0.28501383284286946,0.312595816666373,0.21823512308586934,0.3618830287758375,0.21446192884456114,0.25157712030167934,0.25748471338702,0.24952642337309908,0.2955734902817671,0.05844155844155844,0.25189430650760364,0.2243784031436677
rdkit,0.29097649297784983,0.26180857812472463,0.1637407707624804,0.2888927558194858,1.0,0.24657042414844313,0.19760920897284534,0.03376491215704241,0.22191580468378294,0.2910117358896192,0.21836508132301893,0.4230713316534212,0.2012942959347301,0.2939787485242031,0.2925183703677598,0.23677069199457257,0.3436822675289432,0.056659588715219644,0.2586257026555534,0.22650399125975787
rad2d,0.4279348534775943,0.36067375636575094,0.1841486193589314,0.29629156460906797,0.24657042414844313,1.0,0.26305749881055174,0.038723149306595706,0.2757229202276692,0.48743590195421943,0.42882033163579975,0.28385522211845143,0.2890381328305344,0.35919575675342297,0.36909681227863045,0.41654258224814533,0.26547384094873916,0.0686377733528344,0.3504533119526335,0.31377645421064687
ap,0.32455197448413187,0.2630971470862923,0.27094970836490506,0.23427064794093289,0.19760920897284534,0.26305749881055174,1.0,0.03956016846111826,0.27525815432871065,0.26837257044176993,0.2581873689404218,0.22042679166152707,0.24075093834252587,0.2512114750920721,0.2806789546952369,0.29259986960122647,0.2214246066009974,0.053465699836120456,0.2731634037604187,0.26496942677404006
ph2,0.04489726691219228,0.041983118645262475,0.028066573860332338,0.03692135544238665,0.03376491215704241,0.038723149306595706,0.03956016846111826,1.0,0.031414650478422526,0.04052494317080477,0.0374345803450281,0.033925707941990166,0.035401504872332554,0.03410632786480819,0.03704250295159386,0.0364213466316587,0.03110847768242612,0.08720417980933584,0.03134416465488379,0.038320058503233535
maccs,0.25012995823714956,0.25909046855451195,0.2563987911681263,0.28501383284286946,0.22191580468378294,0.2757229202276692,0.27525815432871065,0.031414650478422526,1.0,0.26546282753881123,0.22532996176144074,0.2457466210858341,0.23580811996687165,0.23049304833565346,0.23873768700770057,0.273002607975471,0.3101332182064882,0.04860438069393293,0.23020449699554177,0.27492995471285836
mhfp,0.54814181747696,0.5006453858217765,0.2111799326860385,0.312595816666373,0.2910117358896192,0.48743590195421943,0.26837257044176993,0.04052494317080477,0.26546282753881123,1.0,0.43417725422474407,0.3313164108618654,0.33636495797282767,0.3763810816049622,0.3846785846446634,0.47839168972140483,0.30170795961162317,0.06892852737493171,0.3601318965972968,0.3408209836296675
