,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.09431620749565649,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477
asp,0.04776269482151835,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.1255783212161269,0.04776269482151835,0.04776269482151835,0.5207674467636515,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.5944931163954942
avalon,0.04776269482151835,0.04776269482151835,1.0,0.4116563752572852,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.6701940035273366,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
daylight,0.04776269482151835,0.04776269482151835,0.4116563752572852,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.4454390451832906,0.04776269482151835,0.4454390451832906,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
dfs,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.8235294117647055,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.5944931163954942,0.4833068362480126,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.1255783212161269
ecfp,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.8235294117647055,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.16650235513199693,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835
estate,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.10424547213661477,0.04776269482151835,0.4454390451832906,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
fcfp,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835
kr,0.04776269482151835,0.1255783212161269,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
lingo,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.16650235513199693,0.10424547213661477,0.04776269482151835,0.04776269482151835,1.0,0.24836601307189543,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
lstar,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.24836601307189543,1.0,0.04776269482151835,0.09431620749565649,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835
maccs,0.09431620749565649,0.5207674467636515,0.6701940035273366,0.4454390451832906,0.5944931163954942,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
map4,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.4833068362480126,0.04776269482151835,0.4454390451832906,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.09431620749565649,0.04776269482151835,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
mhfp,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.4454390451832906,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
ph2,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835
ph3,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835
pubchem,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,1.0,0.10424547213661477,0.04776269482151835,0.04776269482151835
rad2d,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,1.0,0.1255783212161269,0.04776269482151835
rdkit,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,0.04776269482151835,0.04776269482151835,0.1255783212161269,1.0,0.10424547213661477
tt,0.10424547213661477,0.5944931163954942,0.04776269482151835,0.04776269482151835,0.1255783212161269,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.04776269482151835,0.10424547213661477,1.0
