,asp,dfs,rdkit,ecfp,maccs,map4,lstar,kr,mhfp,pubchem,daylight,lingo,estate,ph2,avalon,tt,fcfp,ap,ph3,rad2d
Mean,0.056157198,0.067820124,0.22599818,0.10565721,0.32872295,0.008061424,0.046515353,0.14791508,0.043802567,0.36715248,0.15005258,0.09381937,0.37239087,0.56504244,0.2704129,0.069336034,0.1335955,0.14540847,0.36781642,0.08217801
STD,0.032569915,0.034973368,0.118248,0.04564836,0.13269757,0.013369906,0.01801689,0.08619854,0.034114752,0.15819572,0.071741626,0.06309776,0.1518211,0.3396176,0.12205529,0.064597726,0.061211925,0.07882752,0.3031478,0.044023838
Median,0.053691275,0.064891845,0.21755028,0.102564104,0.32222223,0.00390625,0.04528302,0.13559322,0.0390625,0.37704918,0.14285715,0.08695652,0.36363637,0.5714286,0.26,0.055555556,0.12790698,0.14173229,0.31914893,0.07751938
Percentile: 5,0.011857707,0.020594966,0.046153847,0.03846154,0.12162162,0.0,0.02202643,0.032967035,0.0,0.10674157,0.050541516,0.0,0.13333334,0.0,0.0873494,0.0,0.046511628,0.022875817,0.0,0.02173913
Percentile: 10,0.019455252,0.028985508,0.07364787,0.05263158,0.16071428,0.0,0.027027028,0.050632913,0.0078125,0.14666666,0.06666667,0.01923077,0.18181819,0.0,0.11904762,0.0,0.06122449,0.04310345,0.0,0.032258064
Percentile: 15,0.025575448,0.035386633,0.09872029,0.061728396,0.18867925,0.0,0.030456852,0.06410257,0.01171875,0.18,0.07926829,0.029411765,0.21428572,0.125,0.14285715,0.0,0.07272727,0.06,0.0,0.04
Percentile: 20,0.03076923,0.04075235,0.1211226,0.06896552,0.21212122,0.0,0.033175357,0.075630255,0.016601562,0.2117117,0.09019608,0.03846154,0.25,0.23529412,0.16201118,0.014084507,0.08196721,0.0746888,0.03448276,0.046511628
Percentile: 25,0.035353534,0.045454547,0.13968776,0.07575758,0.23287672,0.0,0.035519127,0.0862069,0.020507812,0.24324325,0.1,0.04761905,0.26666668,0.3125,0.17948718,0.020408163,0.09090909,0.0877193,0.1,0.052173913
Percentile: 30,0.039451115,0.049707603,0.15641026,0.08139535,0.25287357,0.0009765625,0.037656903,0.09638554,0.024414062,0.2746781,0.10915493,0.055555556,0.2857143,0.375,0.1958457,0.026666667,0.09859155,0.09952607,0.14893617,0.05755396
Percentile: 35,0.043227665,0.05367793,0.1721677,0.08695652,0.27027026,0.001953125,0.039647575,0.10606061,0.028320312,0.3043478,0.11764706,0.06349207,0.30769232,0.42857143,0.21189591,0.033333335,0.10638298,0.1106383,0.19354838,0.0625
Percentile: 40,0.04680851,0.05748663,0.1875,0.09210526,0.28787878,0.001953125,0.041533545,0.11594203,0.03125,0.3310811,0.12612613,0.071428575,0.33333334,0.5,0.2278481,0.04054054,0.11363637,0.121212125,0.22727273,0.067567565
Percentile: 45,0.0502693,0.06120527,0.20257612,0.097222224,0.30508474,0.0029296875,0.04347826,0.125,0.03515625,0.35497835,0.13438736,0.078947365,0.3529412,0.5,0.24390244,0.04761905,0.12068965,0.13157895,0.27325583,0.072463766
Percentile: 50,0.053691275,0.064891845,0.21755028,0.102564104,0.32222223,0.00390625,0.04528302,0.13559322,0.0390625,0.37704918,0.14285715,0.08695652,0.36363637,0.5714286,0.26,0.055555556,0.12790698,0.14173229,0.31914893,0.07751938
Percentile: 55,0.057142857,0.068627454,0.2325419,0.10769231,0.3392857,0.0048828125,0.047169812,0.14606741,0.041992188,0.39823008,0.15111111,0.094339624,0.3846154,0.625,0.2764977,0.06329114,0.13513513,0.15197569,0.36956522,0.082474224
Percentile: 60,0.060658578,0.07249071,0.24787535,0.11304348,0.35714287,0.0068359375,0.049122807,0.15686275,0.045898438,0.41904762,0.15983607,0.102564104,0.4,0.71428573,0.29347825,0.071428575,0.14285715,0.16242038,0.41666666,0.0877193
Percentile: 65,0.06435644,0.076534905,0.2641343,0.118644066,0.37662336,0.0078125,0.05116279,0.16842106,0.05078125,0.43984962,0.16901408,0.11111111,0.42857143,0.75,0.31132075,0.08108108,0.15068494,0.1732852,0.46938777,0.09322034
Percentile: 70,0.068306014,0.080872916,0.28201333,0.125,0.3968254,0.009765625,0.053333335,0.18085106,0.0546875,0.46120688,0.17886178,0.12,0.45454547,0.875,0.33035713,0.09090909,0.1590909,0.18476728,0.5283019,0.0990991
Percentile: 75,0.07266436,0.085653104,0.30205047,0.13157895,0.41791046,0.01171875,0.055762082,0.19480519,0.060546875,0.48373982,0.18978103,0.13043478,0.46666667,0.875,0.35126582,0.10294118,0.16883117,0.1971831,0.59574467,0.105882354
Percentile: 80,0.077651516,0.09109948,0.32472825,0.13953489,0.44262296,0.013671875,0.058536585,0.21100917,0.06640625,0.5081967,0.20231214,0.14285715,0.5,1.0,0.37461302,0.11627907,0.17948718,0.21100917,0.6666667,0.11363637
Percentile: 85,0.08372093,0.09767442,0.3513158,0.14893617,0.47058824,0.016601562,0.06185567,0.23076923,0.07421875,0.53586495,0.2173913,0.15584415,0.53333336,1.0,0.40186915,0.13333334,0.1923077,0.22727273,0.7647059,0.12328767
Percentile: 90,0.091937765,0.10646388,0.38488996,0.16129032,0.5063291,0.020507812,0.06635071,0.2576687,0.083984375,0.569378,0.23770492,0.17460318,0.5714286,1.0,0.43589744,0.15447155,0.21052632,0.24770643,0.82978725,0.136
Percentile: 95,0.10612245,0.12136752,0.43465745,0.18181819,0.556962,0.028320312,0.07377049,0.30252102,0.10253906,0.61702126,0.2716763,0.20512821,0.6363636,1.0,0.4866469,0.1904762,0.23943663,0.27891156,0.92156863,0.15730338
