,FP,p-value,p-value (BH correction)
0,ap,0.014151736824391439,0.03537934206097859
1,asp,0.0460199762882987,0.06574282326899815
2,avalon,0.026333059524328475,0.056719637561587
3,daylight,0.045819989739634845,0.06574282326899815
4,dfs,0.034530539990069796,0.06278279998194508
5,ecfp,0.26282857681209626,0.2766616598022066
6,estate,0.000784120123948648,0.005227467492990987
7,fcfp,0.18372239274967656,0.20413599194408505
8,kr,0.001425732872279305,0.007128664361396525
9,lingo,0.0283598187807935,0.056719637561587
10,lstar,0.15574597552232822,0.1832305594380332
11,maccs,0.0035221937479193,0.0140887749916772
12,map4,0.007650186760246221,0.021857676457846347
13,mhfp,0.03991914235598956,0.06574282326899815
14,ph2,0.004832760930323934,0.016109203101079782
15,ph3,0.000667157335750464,0.005227467492990987
16,pubchem,0.15114406346689108,0.1832305594380332
17,rad2d,4.985706097290484e-05,0.0009971412194580967
18,rdkit,0.06593898942459514,0.08791865256612685
19,tt,0.4359942755703116,0.4359942755703116
