,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.7637856095886235,0.021472375955519322,0.9417192812044682,0.013971849353946023,0.8650672785192709,0.011904206664582754,0.8610297110297112,0.02892470313790732,0.8,0.04021346134376069,0.9464788732394366,0.013799942212862997
asp,0.7628885721271808,0.03717243526109728,0.9753278290432249,0.005297172687493323,0.9497066444868958,0.01008569136877967,0.7482658482658483,0.03210582731691034,0.9379310344827585,0.025804533701889266,0.8704225352112676,0.020699913319294487
avalon,0.6989278694051577,0.02943886045717446,0.9449247207382225,0.009784104397781001,0.895484125274616,0.008604406660651098,0.7794685990338164,0.06390186180986998,0.7999999999999999,0.09097176522946838,0.9014084507042253,0.04272042503691013
daylight,0.6808445414603893,0.031134329925785256,0.9096648858669256,0.009834121773344655,0.8239920424695265,0.014867952713347085,0.7331313131313131,0.031019476751962052,0.8275862068965516,0.030842316931031545,0.876056338028169,0.020699913319294487
dfs,0.732561153826855,0.02326458701532909,0.9766877124817872,0.003086983697342534,0.9550917265029533,0.005509172350175749,0.6995173084769167,0.025056034534665903,0.9586206896551724,0.01379310344827589,0.8309859154929576,0.021819624485675603
ecfp,0.8611751672523772,0.016643064199266526,0.9800874210781935,0.004472409687507079,0.9674960362872642,0.00663515084050531,0.8873706896551724,0.021864795054662694,0.9172413793103449,0.016893032708849485,0.952112676056338,0.011267605633802802
estate,0.6576454188837267,0.009660208584421877,0.9312287518212724,0.003510308110654264,0.8308454027465461,0.02519006645224168,0.6920364214481861,0.02114865988079308,0.8482758620689654,0.016893032708849485,0.8450704225352113,0.017815648789680987
fcfp,0.6075826330647126,0.034841225660697236,0.9788246721709568,0.002184987251909056,0.950773863808276,0.0048535743244038565,0.5529631025752462,0.029940656748371125,1.0,0.0,0.6676056338028169,0.040430141111006554
kr,0.7657550285054406,0.03842943090827359,0.9550267119961144,0.009140973564657488,0.9231415552456962,0.005048328607220824,0.8948717948717949,0.020811132154805043,0.7655172413793102,0.04021346134376069,0.9633802816901408,0.006899971106431533
lingo,0.712727810677942,0.042656124758484924,0.9464788732394366,0.01599449177396207,0.8989897155974657,0.023019287765078444,0.755768639744299,0.034074866060907386,0.8482758620689654,0.041379310344827586,0.8873239436619718,0.019918500878494318
lstar,0.6942917754168784,0.03176778340612075,0.9640602234094221,0.004837260650019904,0.9169110442401438,0.008547490563708435,0.8450828157349897,0.022595761473656457,0.710344827586207,0.04677468953879496,0.9464788732394366,0.010539879962743482
maccs,0.7847798314258873,0.05544646372308106,0.9604662457503643,0.00889510498179166,0.917224492750413,0.01378077277047954,0.8251851851851851,0.0681783346992239,0.8758620689655172,0.035165651817881276,0.9211267605633804,0.036293235849929946
map4,0.6415529637530556,0.09613807642322797,0.9606605148130161,0.004943374706167866,0.8934078037097446,0.015289127201684108,0.8289890664890665,0.03528018972253343,0.6482758620689655,0.1593685518385013,0.943661971830986,0.023567888071382402
mhfp,0.6724066655383264,0.027744881120902253,0.9408450704225352,0.012964458236712984,0.8855248158585803,0.021395613302864797,0.7543963606463606,0.04145703153995699,0.7862068965517242,0.05932638115201813,0.8929577464788732,0.030338956659912708
ph2,0.4104385896024304,0.003975770754156583,0.7451189898008743,0.0005663867794895847,0.5156878934186594,0.0029168536814673635,0.40961770623742455,0.0023340040241448755,1.0,0.0,0.4112676056338028,0.005633802816901401
ph3,0.1768953478202273,0.044725633007185864,0.6750364254492472,0.036561313721100774,0.5393371085951542,0.023853086293846026,0.4041717541717542,0.01501169566677222,0.45517241379310336,0.15328352255788183,0.723943661971831,0.10140845070422534
pubchem,0.7641067644306627,0.036467819113993015,0.9554152501214181,0.006980182311110907,0.8682555113878327,0.025053385581229187,0.7395967395967395,0.03384565980087004,0.9517241379310345,0.035165651817881276,0.8619718309859156,0.02581732785890615
rad2d,0.7301262893799637,0.038139170718288894,0.9354055366682855,0.025329586809918012,0.918014026625872,0.024942122789847483,0.9783625730994153,0.026516453915215538,0.6344827586206897,0.0351656518178813,0.9943661971830986,0.006899971106431478
rdkit,0.7359430688068819,0.023873897661879737,0.9680427391937834,0.005402985521194127,0.9298660605862761,0.011129592972580482,0.7838257575757576,0.018387254788557236,0.8482758620689654,0.02758620689655173,0.904225352112676,0.010539879962743484
tt,0.7016331079432383,0.03465184192694031,0.9035454103933949,0.004372133049024518,0.8148644862687228,0.025801381162189076,0.7690555801201617,0.042358545409925216,0.8137931034482758,0.041379310344827565,0.8985915492957746,0.024231902160683445
