,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.5348686602631287,0.01746268984975488,0.9320058280718795,0.00682019997340151,0.8420567439966608,0.01108957196698851,0.77265664160401,0.018841451182473764,0.5379310344827586,0.016893032708849485,0.9352112676056338,0.006899971106431478
fcfp,0.6523015357863521,0.025958458250307296,0.9340456532297232,0.00586357970773638,0.8770816496325068,0.004054648738102321,0.723837760910816,0.022914677708381726,0.7931034482758621,0.021808811449437106,0.876056338028169,0.013799942212863011
estate,0.6198921177457586,0.01299259899820425,0.9040310830500242,0.0020968463472484655,0.8258231270617923,0.003005105363132869,0.6508224824014298,0.006410347464204037,0.8482758620689654,0.016893032708849485,0.8140845070422535,0.005633802816901401
pubchem,0.7216270314531116,0.013856990657862897,0.946187469645459,0.0013529274674292698,0.8740064801349847,0.0021393664696955977,0.7304650869356752,0.00791597088374107,0.8965517241379309,0.021808811449437106,0.8647887323943662,0.006899971106431478
rdkit,0.7702267069633645,0.027417903587718437,0.9632831471588151,0.004150725715244593,0.9065585424190321,0.0028749284272572362,0.7461653961653962,0.01766886021414315,0.9517241379310345,0.02758620689655174,0.8676056338028169,0.01126760563380284
rad2d,0.8238708992273722,0.01866302068049205,0.9781447304516757,0.002298622548071726,0.9631268633984892,0.006242525467747322,0.9675863991081382,0.029293079144337736,0.7793103448275862,0.035165651817881276,0.9887323943661972,0.01053987996274348
ap,0.6661679354906864,0.02645539065101904,0.9610490529383195,0.002327177960313001,0.9000831534237002,0.004729717306356928,0.7998860398860399,0.016028116301398825,0.7172413793103448,0.025804533701889218,0.9267605633802816,0.005633802816901401
ph2,0.3673369453214358,0.030808409878409517,0.7466731423020885,0.008911001411310123,0.5157984716693795,0.01285372120621585,0.40526078049649444,0.00785724751188496,0.9448275862068964,0.027586206896551738,0.43380281690140843,0.005633802816901401
maccs,0.7753504026850362,0.021732467990870342,0.9682370082564351,0.0033168277958162237,0.9399606122436616,0.005725753832299958,0.8520634920634921,0.02878929282223396,0.8275862068965518,1.1102230246251565e-16,0.9408450704225352,0.013799942212862955
mhfp,0.7000275970099785,0.024064154077473858,0.9528897523069452,0.007511457961799418,0.9097368210095192,0.012307432840989523,0.9225685425685427,0.03398117967399878,0.6413793103448275,0.027586206896551738,0.9774647887323944,0.01126760563380284
lstar,0.6207249636238817,0.012968062013988068,0.9559009227780475,0.0036525683685212284,0.9169941574543419,0.007100690267507039,1.0,0.0,0.46896551724137936,0.01689303270884951,1.0,0.0
daylight,0.6028389771242452,0.029185015805223608,0.9224866440019428,0.006008224223095576,0.8473995085604603,0.015355105160528622,0.6591266769865841,0.03248131768519407,0.8068965517241379,0.02758620689655173,0.828169014084507,0.025817327858906107
lingo,0.7035173624972548,0.019850936665848497,0.94026226323458,0.0032069109313684974,0.8940335526521949,0.00573283010378794,0.8982683982683983,0.01742390631818017,0.6689655172413793,0.01689303270884954,0.9690140845070424,0.005633802816901445
dfs,0.8200808071844371,0.020134985269571196,0.9780475959203496,0.0014209556909497221,0.952489128459557,0.0037590955174328046,0.8752490421455938,0.01456664469235796,0.8689655172413792,0.025804533701889266,0.9492957746478872,0.0068999711064314795
asp,0.6635492963433588,0.02154396954399626,0.9330743079164645,0.0036525683685212393,0.8574892338906558,0.008810921312946744,0.7077310924369749,0.01584117199051857,0.8344827586206897,0.013793103448275845,0.8591549295774648,0.008907824394840494
ecfp,0.579695726836688,0.02880641321676338,0.9039339485186983,0.005481004751691415,0.8407794918660084,0.006576556733342239,0.6641973886328725,0.03211217926458978,0.7586206896551724,0.0,0.8422535211267606,0.022535211267605604
avalon,0.8013608219959408,0.008740230704572749,0.9767848470131131,0.0030158668666848223,0.9383545631268081,0.007699500584667443,0.8563218390804597,0.01149425287356318,0.8620689655172413,0.0,0.9408450704225352,0.005633802816901401
ph3,0.3385658868373987,0.054953737635780354,0.6886352598348714,0.004350499402925416,0.5191178571311184,0.004044587906479958,0.49936868686868685,0.05720651524691252,0.6206896551724138,0.05342045994768853,0.732394366197183,0.09919333443188173
tt,0.6503755517940449,0.03299716850469728,0.905099562894609,0.0014602521979964205,0.8397956575383484,0.004188403629201124,0.7518390804597701,0.023924618482509284,0.7517241379310344,0.025804533701889256,0.8985915492957746,0.010539879962743484
kr,0.6692256013628356,0.029106727505891335,0.9510441962117533,0.0027370573683546152,0.8863945250917654,0.00718058200656656,0.7387060117302052,0.012680964996592062,0.8,0.03378606541769899,0.8845070422535212,0.005633802816901445
