,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.23152752319586084,0.04852857107414326,0.8623157894736844,0.06995811964422088,0.4781858411617357,0.02751756310632544,0.11381162343823503,0.014856492421968013,0.8800000000000001,0.09797958971132709,0.6357894736842106,0.04345214198010589
asp,0.6530588598067462,0.1052962694954892,0.9338947368421053,0.012532948266220806,0.6782231562790033,0.029196361636159674,0.8033333333333333,0.1674647558277396,0.5599999999999999,0.07999999999999999,0.991578947368421,0.007877173445839866
avalon,0.16283911612872048,0.06411570307155333,0.6875789473684211,0.08650146909229144,0.3400085332372102,0.05493174689803201,0.1071257634371239,0.024329936086565845,0.6,0.1264911064067352,0.7347368421052632,0.03609774357785735
daylight,0.4180867103189927,0.05365047664612571,0.6585263157894736,0.06876706033601857,0.42627271552673307,0.05654531104624405,0.5,0.10540925533894598,0.4,0.0,0.976842105263158,0.010313641022244966
dfs,0.22757806336570652,0.19147193298751514,0.7654736842105263,0.08804531696424961,0.35058887847671166,0.08701147847461989,0.3,0.24494897427831783,0.2,0.1788854381999832,0.9894736842105264,0.009415023063156988
ecfp,0.47989411881276417,0.12015215112567935,0.9338947368421053,0.03821154123634,0.7284736355922796,0.049365758069232456,0.3786813186813186,0.14482061955307718,0.72,0.09797958971132716,0.9284210526315789,0.02932292268880868
estate,0.11784853049076319,0.03836284124630064,0.688,0.06743943625451555,0.4081153061523147,0.05371915627746715,0.09793650793650793,0.015508838173004526,0.43999999999999995,0.07999999999999999,0.7852631578947368,0.02712441837205292
fcfp,0.4073956942510689,0.09362336584101541,0.8829473684210527,0.01628554072068522,0.43068937150868514,0.04160377150924468,0.3773809523809524,0.08464947064110084,0.52,0.09797958971132711,0.9536842105263158,0.01073477792335323
kr,0.3855549969343748,0.04973681312771355,0.8286315789473685,0.05458440311766645,0.4343830025322057,0.05502728667951564,0.48,0.039999999999999994,0.36,0.08,0.9789473684210526,0.006657426652986047
lingo,0.3029776363295854,0.06933619488070225,0.7722105263157895,0.032815103609934664,0.4629109445143209,0.07284650562710762,0.2407692307692308,0.047580514135975735,0.52,0.09797958971132711,0.9115789473684212,0.01835325870964495
lstar,0.1500246166232231,0.0876669294048038,0.6858947368421052,0.10409797217830109,0.33000249302709805,0.1663217655918228,0.11335543766578249,0.03625281529683697,0.4800000000000001,0.20396078054371142,0.8021052631578949,0.04819167638846147
maccs,0.3962885096181875,0.11312582093619065,0.9250526315789473,0.02545889087634688,0.4455282941459412,0.08366904840059625,0.31939393939393945,0.06823499609715186,0.6,0.1788854381999832,0.9326315789473684,0.014278589438158464
map4,0.05896761496559737,0.04984521684955698,0.7056842105263158,0.022650909736947777,0.12820918113662652,0.004219326006948653,0.07357142857142858,0.061594460392314566,0.12000000000000002,0.09797958971132713,0.9536842105263158,0.03916015839523846
mhfp,0.5205093829475467,0.08719453103360321,0.9048421052631579,0.05256248095773384,0.5791865264496844,0.07310009502789883,0.8333333333333333,0.21081851067789195,0.36,0.08,0.9936842105263158,0.008421052631578933
ph2,0.112340802223784,0.10669303666542282,0.6094736842105263,0.06123385083052202,0.07573875399962356,0.0075992833164052675,0.06103896103896104,0.03143822970626027,0.8,0.4000000000000001,0.4526315789473684,0.20411283610174016
ph3,0.3361835654088354,0.00912130456251695,0.960421052631579,0.0036220316913863912,0.4447006327006327,0.019759611640022923,0.15744745845552297,0.005857983317607389,1.0,0.0,0.7178947368421053,0.01227568819967432
pubchem,0.20278094576905575,0.1488373773993866,0.8871578947368421,0.014500358195976898,0.3248588770365245,0.0384484299738413,0.24666666666666667,0.14544949486180953,0.24,0.14966629547095767,0.9621052631578948,0.010734777923353265
rad2d,0.290358391065097,0.04285026928728538,0.8833684210526316,0.05665622629366811,0.47675789859827933,0.13362717078276984,0.1597142857142857,0.014832702730614695,0.8,0.1264911064067352,0.7768421052631579,0.03789473684210523
rdkit,0.25497695740966214,0.16139375759816774,0.8825263157894735,0.032022152996768895,0.3204458037933141,0.042585786315253775,0.3038095238095238,0.16807297842632976,0.27999999999999997,0.16,0.968421052631579,0.011531001210635113
tt,0.3990076637895693,0.07314743290430606,0.8037894736842105,0.07351439077466076,0.27988260754576316,0.04095219720817691,0.3657142857142857,0.061137182647230455,0.52,0.0979795897113271,0.951578947368421,0.010734777923353235
