,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29638,0.24525,0.23408800000000002,0.259425,0.299805,0.23275700000000002,0.298112,0.26798299999999997,0.256772,0.264034,0.268575,0.39147000000000004,0.29340199999999994,0.031656000000000004,0.06870500000000002,0.26530600000000004,0.245756,0.238404,0.293717
asp,0.29638,1.0,0.295285,0.300417,0.624462,0.41408900000000004,0.150843,0.372385,0.286922,0.30205800000000005,0.424868,0.234922,0.450262,0.429751,0.03015,0.08566700000000001,0.268306,0.35572800000000004,0.303731,0.438089
avalon,0.24525,0.295285,1.0,0.33637799999999995,0.311372,0.281175,0.19963799999999998,0.303555,0.285648,0.257797,0.240554,0.30608300000000005,0.3087,0.31199699999999997,0.025058,0.07357200000000003,0.334809,0.2483,0.375618,0.286441
daylight,0.23408800000000002,0.300417,0.33637799999999995,1.0,0.28959700000000005,0.26798700000000003,0.207871,0.330246,0.312319,0.2462,0.23255399999999998,0.24118599999999996,0.338158,0.32610800000000006,0.026219000000000006,0.066288,0.372258,0.23515800000000003,0.44659400000000005,0.256645
dfs,0.259425,0.624462,0.311372,0.28959700000000005,1.0,0.400956,0.144907,0.353375,0.27203399999999994,0.29570100000000005,0.4212389999999999,0.22953600000000002,0.399018,0.404723,0.026348000000000003,0.08481400000000001,0.26293700000000003,0.34411800000000003,0.309661,0.46202400000000005
ecfp,0.299805,0.41408900000000004,0.281175,0.26798700000000003,0.400956,1.0,0.18192600000000003,0.43989300000000003,0.303166,0.336202,0.469267,0.26326600000000006,0.44874,0.5216729999999999,0.029984000000000004,0.082626,0.277624,0.380103,0.26919699999999996,0.40736300000000003
estate,0.23275700000000002,0.150843,0.19963799999999998,0.207871,0.144907,0.18192600000000003,1.0,0.226767,0.208873,0.16641599999999998,0.14226599999999998,0.22261000000000003,0.18549100000000002,0.19420700000000002,0.021089000000000004,0.043377000000000006,0.236825,0.139502,0.182473,0.15879000000000001
fcfp,0.298112,0.372385,0.303555,0.330246,0.353375,0.43989300000000003,0.226767,1.0,0.361102,0.33765,0.372409,0.27996299999999996,0.500451,0.5959399999999999,0.035766,0.087127,0.34704399999999996,0.36884500000000003,0.320377,0.37550700000000004
kr,0.26798299999999997,0.286922,0.285648,0.312319,0.27203399999999994,0.303166,0.208873,0.361102,1.0,0.268437,0.26996400000000004,0.280689,0.369439,0.376779,0.032009,0.07392100000000001,0.337613,0.283422,0.326526,0.29281499999999994
lingo,0.256772,0.30205800000000005,0.257797,0.2462,0.29570100000000005,0.336202,0.16641599999999998,0.33765,0.268437,1.0,0.28933200000000003,0.248079,0.359508,0.355078,0.028858000000000005,0.07636200000000001,0.25599500000000003,0.27804300000000004,0.251279,0.29279499999999997
lstar,0.264034,0.424868,0.240554,0.23255399999999998,0.4212389999999999,0.469267,0.14226599999999998,0.372409,0.26996400000000004,0.28933200000000003,1.0,0.228527,0.402829,0.46447700000000003,0.030536,0.08485600000000001,0.241002,0.410947,0.23633200000000001,0.353877
maccs,0.268575,0.234922,0.30608300000000005,0.24118599999999996,0.22953600000000002,0.26326600000000006,0.22261000000000003,0.27996299999999996,0.280689,0.248079,0.228527,1.0,0.271883,0.271473,0.025316000000000005,0.063611,0.296387,0.260011,0.252936,0.23567799999999997
map4,0.39147000000000004,0.450262,0.3087,0.338158,0.399018,0.44874,0.18549100000000002,0.500451,0.369439,0.359508,0.402829,0.271883,1.0,0.5785279999999999,0.035494000000000005,0.08731500000000002,0.337988,0.38461,0.336915,0.39661199999999996
mhfp,0.29340199999999994,0.429751,0.31199699999999997,0.32610800000000006,0.404723,0.5216729999999999,0.19420700000000002,0.5959399999999999,0.376779,0.355078,0.46447700000000003,0.271473,0.5785279999999999,1.0,0.03241,0.08894900000000001,0.342432,0.438532,0.3240429999999999,0.4065329999999999
ph2,0.031656000000000004,0.03015,0.025058,0.026219000000000006,0.026348000000000003,0.029984000000000004,0.021089000000000004,0.035766,0.032009,0.028858000000000005,0.030536,0.025316000000000005,0.035494000000000005,0.03241,1.0,0.06355400000000001,0.02636,0.031503,0.024853000000000004,0.025639000000000006
ph3,0.06870500000000002,0.08566700000000001,0.07357200000000003,0.066288,0.08481400000000001,0.082626,0.043377000000000006,0.087127,0.07392100000000001,0.07636200000000001,0.08485600000000001,0.063611,0.08731500000000002,0.08894900000000001,0.06355400000000001,1.0,0.07111100000000001,0.09040900000000002,0.073486,0.075783
pubchem,0.26530600000000004,0.268306,0.334809,0.372258,0.26293700000000003,0.277624,0.236825,0.34704399999999996,0.337613,0.25599500000000003,0.241002,0.296387,0.337988,0.342432,0.02636,0.07111100000000001,1.0,0.275839,0.35203599999999996,0.270599
rad2d,0.245756,0.35572800000000004,0.2483,0.23515800000000003,0.34411800000000003,0.380103,0.139502,0.36884500000000003,0.283422,0.27804300000000004,0.410947,0.260011,0.38461,0.438532,0.031503,0.09040900000000002,0.275839,1.0,0.23523599999999997,0.322619
rdkit,0.238404,0.303731,0.375618,0.44659400000000005,0.309661,0.26919699999999996,0.182473,0.320377,0.326526,0.251279,0.23633200000000001,0.252936,0.336915,0.3240429999999999,0.024853000000000004,0.073486,0.35203599999999996,0.23523599999999997,1.0,0.28
tt,0.293717,0.438089,0.286441,0.256645,0.46202400000000005,0.40736300000000003,0.15879000000000001,0.37550700000000004,0.29281499999999994,0.29279499999999997,0.353877,0.23567799999999997,0.39661199999999996,0.4065329999999999,0.025639000000000006,0.075783,0.270599,0.322619,0.28,1.0
