,ap,asp,avalon,daylight,dfs,ecfp,estate,fcfp,kr,lingo,lstar,maccs,map4,mhfp,ph2,ph3,pubchem,rad2d,rdkit,tt
ap,1.0,0.29839353999999996,0.2484417,0.23792774000000003,0.26251718,0.30066200000000004,0.23475453999999998,0.30133086,0.2713893,0.25804132,0.26547652,0.26960660000000003,0.39452255999999997,0.29440194000000003,0.03249692,0.06893491999999998,0.26791924,0.24772100000000002,0.24344116,0.29531569999999996
asp,0.29839353999999996,1.0,0.29714464,0.30282514,0.6271317799999999,0.41526324,0.15244268,0.37341848,0.28877295999999997,0.30383184,0.42813254,0.23688573999999996,0.4527525,0.43211552,0.030896419999999994,0.08688582,0.26860046,0.35929938,0.30794563999999996,0.4418085
avalon,0.2484417,0.29714464,1.0,0.3404653,0.3147211,0.28546316,0.2020691,0.30835885999999996,0.29100088,0.26168716,0.24388281999999994,0.30898655999999997,0.31441963999999994,0.31664361999999996,0.024746119999999993,0.07480302,0.33924222,0.25058714,0.3822817,0.29076458
daylight,0.23792774000000003,0.30282514,0.3404653,1.0,0.29233719999999996,0.27229302,0.20998726,0.33258619999999994,0.31639382,0.24986653999999997,0.23615359999999996,0.24352174,0.34198254000000006,0.32908805999999996,0.025823679999999998,0.06691124,0.37627748000000005,0.23777331999999998,0.45111229999999997,0.25977789999999995
dfs,0.26251718,0.6271317799999999,0.3147211,0.29233719999999996,1.0,0.40564462,0.14794896,0.35625596000000004,0.27450596,0.29838323999999994,0.42596073999999995,0.23210630000000002,0.40423908,0.4097458400000001,0.027116499999999998,0.08605878,0.26493363999999997,0.34861468,0.31403585999999994,0.4657338
ecfp,0.30066200000000004,0.41526324,0.28546316,0.27229302,0.40564462,1.0,0.18497573999999997,0.44448876,0.30749612000000004,0.34114369999999994,0.47397554,0.26647616,0.4524666,0.5279471800000001,0.02978419999999999,0.08362216,0.27988373999999994,0.38513684000000004,0.27523729999999996,0.41107786
estate,0.23475453999999998,0.15244268,0.2020691,0.20998726,0.14794896,0.18497573999999997,1.0,0.23019987999999994,0.21062157999999997,0.16845980000000002,0.14408877999999997,0.2244956,0.18776024,0.19608335999999998,0.020064739999999998,0.043776359999999986,0.23873688,0.14141597999999997,0.1865964,0.16148062
fcfp,0.30133086,0.37341848,0.30835885999999996,0.33258619999999994,0.35625596000000004,0.44448876,0.23019987999999994,1.0,0.36501565999999996,0.34135872,0.3757711,0.2849677,0.50369904,0.59965834,0.03478813999999999,0.0877618,0.3513059,0.37299124,0.32689077999999994,0.37792172
kr,0.2713893,0.28877295999999997,0.29100088,0.31639382,0.27450596,0.30749612000000004,0.21062157999999997,0.36501565999999996,1.0,0.27225291999999995,0.27249323999999997,0.28369686,0.37339622000000006,0.37878462000000007,0.03104406,0.07455312,0.34205687999999995,0.28644200000000003,0.33252708,0.2954635199999999
lingo,0.25804132,0.30383184,0.26168716,0.24986653999999997,0.29838323999999994,0.34114369999999994,0.16845980000000002,0.34135872,0.27225291999999995,1.0,0.29222999999999993,0.25100545999999996,0.36183756,0.35937411999999996,0.02877038,0.07622477999999999,0.25962272000000003,0.28111242,0.25667229999999996,0.29439171999999997
