,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.6162721924670596,0.052710054016950246,0.9481727574750829,0.014825988529358567,0.8453346370348249,0.01548477571420113,0.6036377708978329,0.043216587298695694,0.7571428571428571,0.05714285714285711,0.9186046511627908,0.01273773389546896
asp,0.6378969578913389,0.05308438947288764,0.8519933554817276,0.01171538051993719,0.7533014934092137,0.027865036899602413,0.6678733031674209,0.044550058898015055,0.7142857142857142,0.06388765649999396,0.9418604651162792,0.010400316174417645
avalon,0.5186728232171567,0.08467143559579442,0.7717607973421927,0.04847653104437696,0.611043966153565,0.040665689234288115,0.6081266102318734,0.12362120276241097,0.5714285714285714,0.04517539514526258,0.9325581395348838,0.03706366848955637
daylight,0.3509347810688709,0.09730721629861602,0.7498338870431894,0.034068953470549515,0.46840388947663636,0.06604536401797191,0.365272748241264,0.07928311611719562,0.6,0.07284313590846837,0.8232558139534885,0.0449746037344505
dfs,0.6143457813286547,0.023661845031893815,0.8269102990033221,0.03428774234904236,0.6701139659302329,0.04677764409211549,0.9714285714285713,0.05714285714285716,0.42857142857142855,0.0,0.9976744186046511,0.004651162790697683
ecfp,0.6060712503284312,0.08650869585652017,0.8853820598006644,0.03104579615187127,0.7666945854439071,0.023848772243592636,0.7336829836829837,0.08127981517363402,0.5857142857142856,0.08329931278350432,0.9651162790697674,0.01273773389546896
estate,0.4437237405358657,0.03531443561596121,0.8058970099667775,0.009999944812818852,0.6192002466011678,0.0059254609202541875,0.4542105263157895,0.028615320461196168,0.6285714285714286,0.028571428571428602,0.8767441860465116,0.009302325581395366
fcfp,0.4688447137912252,0.06741292768672812,0.7312292358803987,0.017779519149846715,0.6083131440037319,0.02722701022823662,0.5244257703081232,0.07122966758766487,0.5714285714285714,0.04517539514526258,0.913953488372093,0.018893112568920827
kr,0.47643713049980063,0.049621521770297244,0.8501661129568108,0.03710905456439194,0.7108541293035143,0.031206620349396162,0.4573335512694781,0.04792362180236644,0.7,0.028571428571428557,0.8627906976744187,0.022547348174029428
lingo,0.5101104599960659,0.0764963933005627,0.8493355481727575,0.05720800967821276,0.6954015236420519,0.05981620357731887,0.5161455108359133,0.07194329027501381,0.6714285714285715,0.05714285714285716,0.8953488372093024,0.02325581395348837
lstar,0.5025381508438572,0.05890745552889814,0.8676079734219269,0.021947035966662795,0.6904457330009433,0.03671113324353146,0.8980952380952381,0.08516224345184058,0.32857142857142857,0.07284313590846835,0.9930232558139535,0.005696487773914378
maccs,0.6981972563962009,0.06032227798072762,0.8991694352159468,0.0198683873854378,0.8189025652246048,0.023908451940073204,0.7412545787545788,0.08557377497213065,0.7428571428571429,0.03499271061118824,0.9558139534883721,0.01860465116279068
map4,0.36879435274472777,0.1848091718570858,0.7724252491694352,0.005681937334381119,0.5802951861854561,0.012474844884311607,0.48619047619047623,0.25020807667350203,0.37142857142857144,0.19897697538834455,0.9581395348837208,0.028100106915336216
mhfp,0.4814328591292578,0.024249960472270335,0.8780730897009967,0.017637723253732553,0.6801169250206495,0.021338696332455262,0.4214249084249084,0.025854320597238568,0.7857142857142857,0.0,0.8232558139534885,0.0186046511627907
ph2,0.1505632040238863,0.04972288299619262,0.7120431893687706,0.041313063805019395,0.40488405414060685,0.06414762098742018,0.18344335414808205,0.01381163435892576,0.7714285714285715,0.06998542122237648,0.4418604651162791,0.0
ph3,0.32783485127877887,0.043171318228929625,0.7685215946843853,0.03763622549160987,0.5595525829313088,0.059601572145052045,0.3097168149796069,0.021458658665631465,0.6857142857142857,0.05714285714285711,0.7511627906976744,0.013953488372093049
pubchem,0.4487125026077642,0.041637131641222576,0.7564784053156146,0.030246245669387883,0.6414562719137014,0.018705165410576607,0.49485294117647066,0.03569017970444588,0.5714285714285714,0.04517539514526258,0.9046511627906977,0.011392975547828702
rad2d,0.5757204267561523,0.04579281696357333,0.8431893687707641,0.03536840938935594,0.7090517576818623,0.04955909020940416,0.7410101010101011,0.0260155432180399,0.5285714285714287,0.07284313590846837,0.969767441860465,0.005696487773914323
rdkit,0.49589493354814057,0.07082663579476293,0.8406976744186048,0.05421851588949811,0.6485487488652737,0.02559938839563995,0.55475997686524,0.07513841317417128,0.5857142857142857,0.0534522483824849,0.9209302325581395,0.0248304145396077
tt,0.7486663472650138,0.043503170069457975,0.9019933554817274,0.05562428221519948,0.8144390444420833,0.03365588369398657,0.854978354978355,0.07621998641410824,0.7142857142857143,0.0,0.9790697674418605,0.013560353243826262
