,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.33587060435658556,0.03886683000105325,0.8034883720930232,0.01586878737019003,0.5849276174862698,0.019286331800389734,0.6266666666666667,0.03265986323710904,0.24285714285714283,0.034992710611188256,0.9767441860465116,0.0
fcfp,0.5165630041858148,0.021210959469165288,0.9,0.0035080917079639965,0.6712512803258994,0.011278612437529553,0.5057644110275689,0.018898639119307118,0.7000000000000001,0.02857142857142856,0.8883720930232558,0.009302325581395366
estate,0.40863214191651365,0.08857653260366312,0.8546511627906976,0.019878106713158275,0.5380146813673663,0.03224674127773274,0.3431389205582754,0.0641137577458248,0.8142857142857143,0.05714285714285711,0.7372093023255814,0.05629636482283817
pubchem,0.6258216706529944,0.020597771232415064,0.9219269102990033,0.0029247204089134474,0.7170368661700482,0.005094524722585024,0.6065359477124184,0.009150326797385634,0.7714285714285715,0.02857142857142856,0.9186046511627908,1.1102230246251565e-16
rdkit,0.6979414384588731,0.06546035113254914,0.9141196013289037,0.015508225936191132,0.7688933130622073,0.04514002845146188,0.9514285714285714,0.06101187572589322,0.5571428571428572,0.06998542122237654,0.9953488372093023,0.005696487773914378
rad2d,0.322373995977789,0.07330890042783834,0.8428571428571427,0.02230743013116847,0.4807791051756524,0.04576085670314863,0.42113360323886645,0.05888232781833818,0.41428571428571426,0.10497813183356476,0.9069767441860466,0.02206240228024451
ap,0.6834222341520516,0.030552380418873797,0.9127906976744186,0.004169402125585093,0.7839592629109272,0.0037458848008838056,0.845050505050505,0.041023533651226844,0.6142857142857143,0.0349927106111883,0.9813953488372092,0.005696487773914378
ph2,0.21177936240075526,0.0,0.6784883720930232,0.03906163044969859,0.28553900330385584,0.11197667395580242,0.2,0.0,0.8571428571428571,0.0,0.4418604651162791,0.0
maccs,0.5151590107155414,0.014782719402145861,0.8976744186046511,0.007973421926910354,0.7524589231044644,0.010817627117620084,0.4957393483709273,0.01863084465167499,0.7142857142857143,0.0,0.8813953488372093,0.008701528806451041
mhfp,0.49043655282498033,0.05008695591908844,0.849501661129568,0.012946157985647001,0.6720961297224057,0.04536611028883342,1.0,0.0,0.27142857142857146,0.053452248382484885,1.0,0.0
lstar,0.5300196023059172,0.03086145827068882,0.9460132890365449,0.004102687387119094,0.795845343069221,0.006460962666923977,0.8714285714285716,0.0649437223665993,0.37142857142857144,0.028571428571428557,0.9906976744186047,0.004651162790697683
daylight,0.3380807699356181,0.021184403289020177,0.8186046511627907,0.006316662239811161,0.43240385123369374,0.028002628564019416,0.3061827956989247,0.015204881325755775,0.7285714285714285,0.02857142857142856,0.7302325581395348,0.022547348174029425
lingo,0.5247333572347104,0.026462065245151378,0.8908637873754154,0.015886166400006976,0.7183757454763808,0.03266482225177047,0.6766666666666666,0.046666666666666634,0.5,0.0,0.9604651162790698,0.009302325581395366
dfs,0.4621567979876226,0.05812696096468759,0.8375415282392027,0.02470898824446525,0.6006173370432053,0.05564598185265142,0.8433333333333334,0.08406346808612328,0.3,0.05345224838248489,0.9906976744186047,0.004651162790697683
asp,0.6129657892141964,0.04247940972388932,0.853654485049834,0.009089278418806915,0.7274373296590945,0.014651586587887233,0.9178571428571429,0.06738557951469006,0.45714285714285713,0.03499271061118827,0.9930232558139535,0.005696487773914377
ecfp,0.4778996195927318,0.03431459089586284,0.9232558139534884,0.005372412501261178,0.7783974697050109,0.024854012560763375,1.0,0.0,0.2571428571428571,0.034992710611188256,1.0,0.0
avalon,0.5186079235848162,0.07214960669416588,0.8926910299003321,0.012188662011856527,0.7093293905419564,0.027378054004413843,0.7166666666666666,0.08897565210026094,0.45714285714285713,0.07284313590846835,0.9697674418604653,0.011858184915332031
ph3,0.20032841717144226,0.027020479017611954,0.7039867109634551,0.015383171963840828,0.396887663729907,0.05627632272558706,0.22364961092981517,0.01606722969414968,0.6571428571428571,0.05345224838248489,0.6255813953488372,0.04955180407595936
tt,0.46398994669026494,0.03423407338828505,0.9518272425249169,0.0038242074528974336,0.806665830671666,0.011971086319912633,0.96,0.07999999999999999,0.2571428571428571,0.034992710611188256,0.9976744186046511,0.004651162790697683
kr,0.4926026855689896,0.03185591849441111,0.8152823920265782,0.009107475190613175,0.5806217869553834,0.014927695132359406,0.6478787878787877,0.03354752121963162,0.4714285714285714,0.03499271061118827,0.9581395348837211,0.005696487773914377
