,0
ap,0.1101012501660327
asp,0.08326578730297454
avalon,0.387895792466832
daylight,0.14452021123208772
dfs,0.12051205092066332
ecfp,0.054039092698700227
estate,0.07287644183754399
fcfp,0.038692949421628715
kr,0.014888518037508243
lingo,0.04002228627982814
lstar,0.04364037593591908
maccs,0.2597195248293271
map4,0.9999993683538797
mhfp,0.9999999699216133
ph2,0.002007273615624206
ph3,0.013642134995168208
pubchem,0.1382777858292367
rad2d,0.014141829113014846
rdkit,0.4111787797944467
tt,0.021862674629097398
