,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
ap,0.6891993741976449,0.041138330367891954,0.896875,0.08482710663952492,0.7515491219743711,0.10830391000106532,0.66,0.07348469228349536,0.75,0.0,0.9833333333333332,0.0051031036307983245
asp,0.8127632075381047,0.05975111708091697,0.9953125,0.0050496665181420245,0.9407936507936508,0.056111953025721674,0.9,0.1224744871391589,0.75,0.0,0.9958333333333333,0.00510310363079827
avalon,0.4863830466984294,0.034844210103418774,0.7984375,0.0357293185127969,0.7253341444697015,0.029223753923167145,0.35404761904761906,0.04420884265288431,0.75,0.0,0.9416666666666667,0.010622957319984966
daylight,0.27903868028810386,0.3427813130447225,0.4619791666666666,0.3051638903933426,0.3148904428904429,0.3400864020301683,0.27,0.3340658617698013,0.3,0.3674234614174767,0.99375,0.008333333333333342
dfs,0.7959685544928753,0.08459609134222071,0.9651041666666667,0.01845838036111392,0.8213333333333335,0.03469550082903799,0.8699999999999999,0.1661324772583615,0.75,0.0,0.99375,0.008333333333333342
ecfp,0.7883699161365143,0.05975111708091697,0.9885416666666668,0.010494500874796815,0.8946428571428571,0.06039833759031345,0.85,0.1224744871391589,0.75,0.0,0.99375,0.00510310363079827
estate,0.46033584911324354,0.024513288431318326,0.7895833333333333,0.09126331714087293,0.5243151337929465,0.05094468198476645,0.32166666666666666,0.0296273147243853,0.75,0.0,0.9333333333333333,0.008333333333333304
fcfp,0.5518600977377658,0.2906440382892764,0.8828125,0.2226950806783422,0.748,0.3571638279557436,0.5088888888888888,0.32021597649857864,0.65,0.3391164991562634,0.9791666666666666,0.01976423537605238
kr,0.7361387079413971,0.11673692761479401,0.9791666666666666,0.016876928902103808,0.8352380952380953,0.06959797088292449,0.8033333333333333,0.1674647558277396,0.7,0.09999999999999999,0.9916666666666666,0.007795119555779053
lingo,0.7000884569823593,0.11796022872576109,0.7598958333333333,0.008300717422140232,0.7604066007092323,0.00034995557275457184,0.6950000000000001,0.20518284528683192,0.75,0.0,0.98125,0.017921510973005494
lstar,0.8615497903412856,1.1102230246251565e-16,0.9854166666666666,0.004830009633070689,0.8584199134199133,0.02221568090228301,1.0,0.0,0.75,0.0,1.0,0.0
maccs,0.148804761828569,0.29760952365713794,0.30729166666666663,0.3763142479291004,0.21045855941399888,0.3531461131764172,0.11428571428571428,0.22857142857142856,0.2,0.4000000000000001,0.99375,0.012499999999999999
map4,0.7629277366090066,0.09296175549806221,0.9833333333333334,0.007475364632503814,0.8061507936507935,0.11190124389381743,0.78,0.22045407685048604,0.8,0.09999999999999999,0.9833333333333334,0.023385358667337135
mhfp,0.47929670521630524,0.018597406096516913,1.0,0.0,1.0,0.0,0.2608683473389356,0.01706882459935068,1.0,0.0,0.88125,0.010622957319984961
ph2,0.15710641579684734,0.0013492864440593944,0.6895833333333333,0.004166666666666653,0.0636968766001024,0.00040962621607782963,0.0636968766001024,0.00040962621607782963,1.0,0.0,0.38750000000000007,0.004166666666666652
ph3,0.15622868497350645,0.01415935803493834,0.5625,0.10869081643077712,0.10146451960550636,0.021017595390227,0.15833333333333333,0.016666666666666663,0.25,0.0,0.94375,0.008333333333333304
pubchem,0.7471819716896944,0.0657854533821267,0.8067708333333332,0.09298589069345713,0.7869135824492968,0.052972671091966975,0.77,0.12884098726725127,0.75,0.0,0.9895833333333334,0.006588078458684136
rad2d,0.7404714284952357,0.0017761903238046274,0.9958333333333333,0.0020833333333333095,0.9319047619047618,0.02340610614751335,0.7142857142857142,0.07142857142857145,0.8,0.09999999999999999,0.9854166666666668,0.008333333333333349
rdkit,0.6055757869004822,0.025017140603351827,0.9640625,0.007619134811629079,0.8077777777777777,0.009764162856653743,0.52,0.039999999999999994,0.75,0.0,0.9708333333333332,0.004166666666666652
tt,0.6582766633337781,0.1266498060134087,0.8958333333333333,0.06389502159575677,0.7804383422323925,0.013856682998073746,0.625,0.22360679774997896,0.75,0.0,0.975,0.01816207893141949
