,MCC - mean,MCC - std,ROC-AUC - mean,ROC-AUC - std,PR-AUC - mean,PR-AUC - std,Precision - mean,Precision - std,Recall - mean,Recall - std,Specificity - mean,Specificity - std
map4,0.7996526084010438,0.07356953656738897,0.9947916666666667,0.0,0.8875,0.0,0.7699999999999999,0.024494897427831803,0.85,0.1224744871391589,0.9895833333333334,0.0
fcfp,0.39573363975831477,0.0,0.9234375,0.008494534599114631,0.7802107704123833,0.0027781943569576677,0.25,0.0,0.75,0.0,0.90625,0.0
estate,0.4536640055063127,0.013955997412155372,0.9697916666666666,0.006710468086835952,0.6407954545454546,0.07483659885995368,0.31333333333333335,0.01632993161855452,0.75,0.0,0.93125,0.00510310363079827
pubchem,0.3412434723418681,0.012248673990905264,0.9802083333333333,0.00353246353287773,0.8376068376068375,0.012011512241500212,0.15193325193325194,0.008145704152798942,1.0,0.0,0.7666666666666666,0.014129854131510971
rdkit,0.41357509497111444,0.07441186144952984,0.95,0.02260680668146954,0.6728077211745942,0.09601530012300571,0.25406926406926406,0.04723068710874084,0.8,0.09999999999999999,0.9,0.016925080009658245
rad2d,0.6891993741976449,0.041138330367891954,0.9890625,0.002551551815399126,0.8738095238095237,0.015552315827194725,0.66,0.07348469228349536,0.75,0.0,0.9833333333333334,0.0051031036307983245
ap,0.5107386977310543,0.04910189596757471,0.9630208333333334,0.01311424824168142,0.7980116401075479,0.022704398005622496,0.3866883116883117,0.06064045097249369,0.75,0.0,0.9479166666666666,0.0161374306091976
ph2,0.15643177257481763,0.0,0.6875,0.0,0.06349206349206349,0.0,0.06349206349206349,0.0,1.0,0.0,0.3854166666666667,0.0
maccs,0.3882177757302869,0.04200235997477219,0.9411458333333333,0.02709334750758321,0.5840224335348175,0.1628513256995455,0.2446886446886447,0.04493118593316806,0.75,0.0,0.9,0.019320038532282726
mhfp,0.64310149780551,0.02501714060335183,0.9848958333333334,0.0038273277230987217,0.8542929292929292,0.015100925644167755,0.58,0.039999999999999994,0.75,0.0,0.9770833333333332,0.004166666666666652
lstar,0.7233017475829762,0.025379238620110104,0.9958333333333332,0.0026557393299962524,0.9352380952380951,0.037142857142857165,0.5428571428571429,0.03499271061118824,1.0,0.0,0.9645833333333333,0.00510310363079827
daylight,0.4791666666666667,0.0,0.9859375,0.0012757759076995902,0.7857142857142857,0.008748177652797033,0.5,0.0,0.5,0.0,0.9791666666666666,0.0
lingo,0.7395833333333334,0.0,0.9635416666666666,0.005705443307345481,0.8064097744360902,0.007044445839423095,0.75,0.0,0.75,0.0,0.9895833333333334,0.0
dfs,0.5930672165988062,0.0,0.9895833333333334,0.00285272165367274,0.8771428571428572,0.0157467197750347,0.5,0.0,0.75,0.0,0.96875,0.0
asp,0.7227886802881038,0.03358930609045902,0.9817708333333334,0.007725206757391318,0.8477380952380953,0.026439294264014264,0.72,0.06000000000000001,0.75,0.0,0.9875,0.004166666666666696
ecfp,0.7395833333333334,0.0,0.9875,0.001041666666666652,0.8160714285714284,0.0071428571428571175,0.75,0.0,0.75,0.0,0.9895833333333334,0.0
avalon,0.5750512810448096,0.0111402413261215,0.9864583333333334,0.0025515518153991844,0.8252380952380953,0.03707959101094468,0.3575757575757576,0.01212121212121213,1.0,0.0,0.925,0.004166666666666697
ph3,0.17771364298619352,0.011761861046905412,0.6776041666666667,0.0029231698334171493,0.10411011485934088,0.006044329021548185,0.18666666666666668,0.01632993161855453,0.25,0.0,0.9541666666666666,0.0051031036307983245
tt,0.46831617892103755,0.03942588258365941,0.8864583333333333,0.00816895163612398,0.7586791443850267,0.025617046688609254,0.3323809523809524,0.049797776999624274,0.75,0.0,0.9354166666666668,0.012147816447594374
kr,0.42247419814855186,0.009897391593649841,0.9583333333333334,0.005462546084219526,0.7322385620915034,0.03328241657810706,0.2781818181818182,0.010909090909090912,0.75,0.0,0.91875,0.004166666666666696
