,ecfp,avalon,tt,maccs,fcfp,ap,rdkit,map4,mhfp,pubchem,daylight,kr,lingo,estate,dfs,asp,lstar,rad2d,ph2,ph3
Mean,0.11298098,0.047988303,0.026392542,0.4144932,0.14923723,0.04429539,0.27650627,0.01983409,0.060620543,0.41328132,0.19387628,0.23418705,0.12726034,0.4950122,0.08490325,0.07045167,0.050395254,0.12626374,0.7479064,0.58248806
STD,0.048324604,0.040359747,0.03557113,0.14925173,0.07269238,0.033836387,0.147873,0.03024869,0.04888128,0.1626122,0.11319651,0.14228502,0.08515236,0.18166935,0.048738267,0.04289174,0.020781428,0.059871744,0.27851534,0.29857638
Median,0.10869565,0.04054054,0.017857144,0.41025642,0.13953489,0.03785489,0.2605459,0.0107421875,0.052734375,0.39711192,0.17091836,0.21008404,0.114285715,0.5,0.07673267,0.063716814,0.048158642,0.11875,0.875,0.6393443
Percentile: 5,0.046875,0.00729927,0.0,0.17073171,0.05357143,0.00591716,0.06417489,0.0,0.0,0.16964285,0.059880238,0.04819277,0.01754386,0.1875,0.026153846,0.020242915,0.02631579,0.047169812,0.2,0.032432433
Percentile: 10,0.059602648,0.012448133,0.0,0.2238806,0.068627454,0.01038961,0.09709544,0.0,0.009765625,0.21468927,0.07619048,0.071428575,0.031914894,0.26666668,0.035369776,0.028169014,0.030864198,0.06153846,0.375,0.15
Percentile: 15,0.06849315,0.016666668,0.0,0.26,0.08,0.014159292,0.123032905,0.0,0.016601562,0.24696356,0.089171976,0.090322584,0.04411765,0.30769232,0.042431194,0.03405573,0.033950616,0.071428575,0.45454547,0.23026316
Percentile: 20,0.07594936,0.020408163,0.0,0.2888889,0.08974359,0.017632242,0.14545454,0.0009765625,0.022460938,0.27272728,0.10081744,0.10784314,0.054945055,0.33333334,0.04842105,0.038990825,0.036458332,0.08,0.5,0.2802198
Percentile: 25,0.08219178,0.023923445,0.0,0.31343284,0.09876543,0.02096436,0.16576576,0.001953125,0.028320312,0.29565218,0.111801244,0.125,0.06521739,0.36363637,0.0537514,0.043378994,0.038647342,0.08737864,0.5,0.32692307
Percentile: 30,0.08791209,0.027247956,0.0,0.33333334,0.10714286,0.024232633,0.18511066,0.00390625,0.033203125,0.3171806,0.12280702,0.14166667,0.07526882,0.4,0.058635395,0.047511313,0.040685225,0.09411765,0.5555556,0.37974682
Percentile: 35,0.093333334,0.030508475,0.009803922,0.35443038,0.115384616,0.027522936,0.20395869,0.0048828125,0.038085938,0.33774835,0.13414635,0.15833333,0.084745765,0.42105263,0.06324111,0.051526718,0.042613637,0.1,0.625,0.44262296
Percentile: 40,0.09859155,0.033766232,0.012345679,0.37333333,0.12328767,0.03084223,0.22267206,0.0068359375,0.04296875,0.35779816,0.1459854,0.175,0.0945946,0.45454547,0.067708336,0.055555556,0.044444446,0.10655738,0.75,0.5
Percentile: 45,0.10344828,0.037037037,0.014925373,0.3918919,0.13131313,0.034285713,0.24140821,0.0087890625,0.047851562,0.3773585,0.15822785,0.1923077,0.104477614,0.46666667,0.0721519,0.05956113,0.046296295,0.11258278,0.75,0.58064514
Percentile: 50,0.10869565,0.04054054,0.017857144,0.41025642,0.13953489,0.03785489,0.2605459,0.0107421875,0.052734375,0.39711192,0.17091836,0.21008404,0.114285715,0.5,0.07673267,0.063716814,0.048158642,0.11875,0.875,0.6393443
Percentile: 55,0.11377245,0.04416404,0.02097902,0.42857143,0.14772727,0.041666668,0.28002745,0.013671875,0.057617188,0.4173913,0.18435754,0.22875817,0.125,0.5,0.081549436,0.06806283,0.05,0.125,0.875,0.7169811
Percentile: 60,0.11904762,0.04804805,0.024390243,0.4477612,0.15625,0.045627378,0.3,0.015625,0.06347656,0.4390244,0.19863014,0.24827586,0.13559322,0.53846157,0.08672567,0.072660096,0.0520362,0.13157895,1.0,0.74603176
Percentile: 65,0.125,0.052287582,0.028169014,0.4680851,0.16666667,0.05,0.32087448,0.018554688,0.06933594,0.4623656,0.21384929,0.26956522,0.14705883,0.5625,0.09239766,0.077617325,0.054151624,0.1388889,1.0,0.78431374
Percentile: 70,0.13043478,0.05699482,0.032608695,0.48979592,0.17567568,0.05479452,0.34315068,0.022460938,0.07519531,0.48803827,0.23049645,0.292517,0.1594203,0.5833333,0.09876543,0.08306189,0.05643341,0.14655173,1.0,0.8095238
Percentile: 75,0.13725491,0.0625,0.03773585,0.5121951,0.1875,0.06020067,0.36763486,0.026367188,0.08300781,0.5168539,0.24937028,0.31791908,0.17333333,0.61538464,0.10612245,0.08921162,0.05901639,0.1554054,1.0,0.8305085
Percentile: 80,0.14492753,0.06884058,0.04385965,0.53846157,0.2,0.06666667,0.3957935,0.032226562,0.09082031,0.55,0.27142859,0.34736842,0.18965517,0.64285713,0.11493412,0.09642857,0.062015504,0.16666667,1.0,0.86440676
Percentile: 85,0.15463917,0.07692308,0.05172414,0.5714286,0.21666667,0.07438017,0.42996347,0.0390625,0.1015625,0.5898876,0.2991453,0.38323355,0.20967741,0.6923077,0.12605043,0.10536399,0.06575342,0.17880794,1.0,0.9206349
Percentile: 90,0.16751269,0.08841463,0.06315789,0.6097561,0.23913044,0.08494209,0.4746873,0.048828125,0.11621094,0.6403941,0.33772653,0.43137255,0.23636363,0.72727275,0.14148527,0.11764706,0.07090464,0.19672132,1.0,0.9375
Percentile: 95,0.19021739,0.108882524,0.083333336,0.6666667,0.27631578,0.102564104,0.5445705,0.06738281,0.14160156,0.7080745,0.4059406,0.50537634,0.28,0.8,0.16816546,0.1389728,0.079831935,0.22772278,1.0,0.984127
