,SMILES,y
924,O=C1OC(C(=O)N(C)C(C(=O)OC(C(=O)N(C)C(C(=O)OC(C(=O)N(C)C1C(C)C)C(C)C)C(C)CC)C(C)C)C(C)C)C(C)C,0.0
274,NC(CC(=O)CO)C(=O)O,1.0
298,NC(C(=O)O)C1ON=C(Cl)C1O,1.0
862,O=C1OC(=C)C(O)C1=CCCCCCCCCCCCCC,0.0
591,O=C(OC=1C=2C(=CC=C3C=C4C=CC=CC4=CC32)NC1CO)C5OC6(O)C(O)(CCC7(CO)CC(O)CC67O)C5O,0.0
41,CC(=O)C1C(C)=CC(=O)c2c1c(-c1c3c(c(O)c4c(O)cccc14)C(=O)CC(C)(O)C3C(C)=O)c1cccc(O)c1c2O,1.0
577,O=C1C=C(OC(C1)CCCCCCCCCCCCCC=CCCCCCCCC)C,0.0
623,O=C1OC=2C=C3C(C(=O)OC3)=C(O)C2OC4=CC(O)=CC(=C14)C,0.0
566,O=C1OC(C)CC2=CC(OC)=C3C(OC(C3)C(O)(C)C)=C12,0.0
540,O=C1C(O)=C(OC=2C1=C(O)C=C(OC3CC(CO)C(O)C(O)C3O)C2CC=C(C)C)C=4C=CC(O)=CC4,0.0
771,O=C1C2=C(CC3(OC2)OC(C)CCC3)C(O)C1(O)C,0.0
632,O=C(O)CC1=CC(OCCCC)=CC=C1O,0.0
254,C/C=C(\C)C(=O)Nc1ccn(C2CC(O)C(OC3OC(C)C(N(C)C)C(O)C3O)C(C)O2)c(=O)n1,1.0
957,O=C1OC=2C(=C3OC(C4=CC=C(O)C=C4)C5C=6C=C(O)C=C(O)C6C(C7=CC=C(O)C=C7)C8C(C2C(C=9C=C(O)C=C%10OC(C%11=CC=C(O)C=C%11)C(C=%12C=C(O)C=C(O)C%12)C%109)C8C%13=CC=C(O)C=C%13)=C35)C(C%14=CC=C(O)C=C%14)C1,0.0
175,Cc1c(/C(O)=N/C(/C(O)=N/C(C)C(O)C/C(O)=N/C(/C(O)=N/C(OC2OC(C)C(N)C(O)C2O)C(O)c2nc(-c3nc(/C(O)=N/CCCNCCCCN)cs3)cs2)C(C)O)C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(OC(=N)O)C2O)c2cnc[nH]2)nc(C(CC(=N)O)NCC(N)C(=N)O)[nH]c1=N,1.0
66,N=C(N)N(O)CCCCC/C=C/C=C/C(=O)CCC/C=C/C=C/CCCCC(O)CC(O)CC(O)C(O)/C(O)=N/CC(=O)O,1.0
820,OC1OC(CC1C(O)(C)C)C(C)C2CCC3C4CC=C5CC(O)CCC5(C)C4CCC23C,0.0
161,COc1cc2c(oc(=O)c3cc(C)cc(OC)c32)c2c(C3OC(C(C)O)C(O)C3O)ccc(O)c12,1.0
587,O=C(O)C12CCC(C)(C)CC2C3=CCC4C5(C)CCC(O)C(O)(C)C5CCC4(C)C3(C)CC1O,0.0
819,O=C1C2C(O)C(CC=3C=CNC3)CC4=CC=C(O)C(OC)=C4CC5=C(C=CC6=CC=CC(=C65)C(SSCC2CC(O)C1(C=7C=C(O)C=8C=CC9%10C=CCNC%10(C8C7)CCCC9CC=%11C=CC=CC%11)C%12C%13=CC=C(O)C(OC%14CCCCC%14CSSC%12)=C%13)CO)CC,0.0
53,C/C=C(\C)C(=O)C(C)/C=C(\C)C1OC(O)(C(C)(O)C(=O)NC2C(=O)N3CCCCC3C(=O)N(O)C(C)C(=O)N(C)C(CC(C)C)C(=O)N3CCCCC3C(=O)NC(C(C)O)C(=O)OC2C(C)C)CCC1C,1.0
281,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C2=C(C)C(=O)C1(C)O2,1.0
219,NC(=O)OCC1c2c(O)cc(C=O)cc2N2CC3NC3C1(O)O2,1.0
666,O=C1C=C(OC2=C(OC)C(OC)=CC(O)=C12)C=3C=CC(OC)=C(OC)C3OC,0.0
287,Cc1cc(Cl)c(O)c2c(=O)c3cc(Cl)n(C4C=C(CO)C(O)C(O)C4O)c3oc12,1.0
267,NCC1OC(OC2C(N)CC(N)C(O)C2OC2OC(CO)C(O)C2O)C(N)C(O)C1O,1.0
155,CCC(C(=O)C(C)C(O)C(C)C1OC(O)(CC(=O)O)C(C)CC1C)C1OC(C)(C2(O)OC(CC)(C(C)O)CC2C)CC1C,1.0
